"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,47944,0.00380894791395925,"DNA"
1,0,0,"DNA"
2,0,0,"DNA"
3,68,5.40231224239173e-06,"DNA"
4,47,3.73395110871193e-06,"DNA"
5,388,3.08249580889411e-05,"DNA"
6,433,3.44000176611121e-05,"DNA"
7,173,1.37441179107907e-05,"DNA"
8,517,4.10734621958313e-05,"DNA"
9,1661,0.000131959421097245,"DNA"
10,1689,0.000134183902608818,"DNA"
11,1839,0.000146100767849388,"DNA"
12,1561,0.000124014844270198,"DNA"
13,3310,0.000262965492975245,"DNA"
14,4018,0.000319213096910735,"DNA"
15,7042,0.000559457100160626,"DNA"
16,7927,0.000629766605079989,"DNA"
17,9285,0.000737653958391283,"DNA"
18,12622,0.00100276448710983,"DNA"
19,13227,0.00105082917691346,"DNA"
20,14850,0.00117976965881643,"DNA"
21,17893,0.00142152313166346,"DNA"
22,20198,0.00160464562752689,"DNA"
23,27042,0.00214837246556996,"DNA"
24,28466,0.0022615032395871,"DNA"
25,29286,0.00232664876956889,"DNA"
26,35268,0.00280189335536282,"DNA"
27,34959,0.00277734461296724,"DNA"
28,41301,0.00328118967533854,"DNA"
29,38946,0.00309409489106159,"DNA"
30,32737,0.00260081611587027,"DNA"
31,35880,0.00285051416554434,"DNA"
32,33264,0.0026426840357488,"DNA"
33,29469,0.00234118734516238,"DNA"
34,33502,0.00266159212859717,"DNA"
35,30426,0.00241721694539722,"DNA"
36,22675,0.00180143279553283,"DNA"
37,17968,0.00142748156428375,"DNA"
38,15498,0.00123125051665569,"DNA"
39,15834,0.00125794429479457,"DNA"
40,8390,0.000666549995789215,"DNA"
41,11412,0.000906635107502566,"DNA"
42,5719,0.000454350348738799,"DNA"
43,5744,0.000456336492945561,"DNA"
44,4376,0.000347654681951562,"DNA"
45,2634,0.000209260153624409,"DNA"
46,1588,0.000126159880013501,"DNA"
47,1372,0.00010899959406708,"DNA"
48,865,6.87205895539537e-05,"DNA"
49,802,6.37155061529143e-05,"DNA"
50,206,1.63658282637161e-05,"DNA"
51,470,3.73395110871193e-05,"DNA"
52,116,9.21570911937413e-06,"DNA"
53,0,0,"DNA"
54,0,0,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,1450968,0.115273267495862,"LINE"
1,11007271,0.874481101156228,"LINE"
2,17667160,1.40358109935726,"LINE"
3,8619220,0.684760554792172,"LINE"
4,7718834,0.613228697282199,"LINE"
5,8854134,0.70342347799966,"LINE"
6,8699562,0.691143386706558,"LINE"
7,7347720,0.583745260436273,"LINE"
8,5465727,0.434228880671633,"LINE"
9,3832234,0.304454774322204,"LINE"
10,2895569,0.230040703785147,"LINE"
11,2398335,0.19053756664495,"LINE"
12,2188399,0.173859039837321,"LINE"
13,1934933,0.153722238736879,"LINE"
14,1897450,0.150744373004797,"LINE"
15,1796835,0.142750937030264,"LINE"
16,1727840,0.137269576248443,"LINE"
17,1630922,0.129569851279206,"LINE"
18,1470358,0.116813720942627,"LINE"
19,1355238,0.107667924099331,"LINE"
20,1189131,0.0944714258692283,"LINE"
21,977988,0.0776970080192972,"LINE"
22,850525,0.0675706120582387,"LINE"
23,780157,0.0619801722365825,"LINE"
24,768661,0.0610668636845452,"LINE"
25,797592,0.063365309206378,"LINE"
26,882332,0.0700975436096174,"LINE"
27,922455,0.0732851461699333,"LINE"
28,898703,0.0713981502819732,"LINE"
29,953144,0.0757232573523857,"LINE"
30,831248,0.0660391359832889,"LINE"
31,768259,0.0610349264857005,"LINE"
32,722176,0.0573738271464925,"LINE"
33,641614,0.0509735171630872,"LINE"
34,616601,0.048986340161338,"LINE"
35,559860,0.0444785078239035,"LINE"
36,541511,0.0430207574219087,"LINE"
37,518914,0.0412255213963009,"LINE"
38,521973,0.0414685460014403,"LINE"
39,536120,0.0425924652851626,"LINE"
40,575627,0.0457311292522239,"LINE"
41,587493,0.0466738327385213,"LINE"
42,536047,0.0425866657440788,"LINE"
43,472612,0.0375470234338418,"LINE"
44,405889,0.0322461634375314,"LINE"
45,376291,0.0298947275882622,"LINE"
46,288175,0.0228942842713417,"LINE"
47,230428,0.0183065294910271,"LINE"
48,141019,0.0112033627957329,"LINE"
49,125671,0.00998402914431782,"LINE"
50,76493,0.00607704515231281,"LINE"
51,47445,0.00376930447559229,"LINE"
52,34392,0.00273229886235789,"LINE"
53,18472,0.00146752223149206,"LINE"
54,10373,0.000824090954269551,"LINE"
55,6807,0.000540787344617067,"LINE"
56,5219,0.000414627464603566,"LINE"
57,3709,0.000294664354515161,"LINE"
58,1199,9.52554761562895e-05,"LINE"
59,746,5.92665431297681e-05,"LINE"
60,517,4.10734621958313e-05,"LINE"
61,564,4.48074133045432e-05,"LINE"
62,280,2.22448151157307e-05,"LINE"
63,272,2.16092489695669e-05,"LINE"
64,0,0,"LINE"
65,391,3.10632953937525e-05,"LINE"
66,0,0,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,219483,0.0174369955573068,"LTR"
1,1239136,0.098444111511593,"LTR"
2,1551918,0.123293317802766,"LTR"
