"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,2559219,0.1447084093257,"DNA"
1,5483860,0.310079230251429,"DNA"
2,6992484,0.395382824555228,"DNA"
3,2938758,0.166169052188646,"DNA"
4,2186001,0.123605180914329,"DNA"
5,2174677,0.122964876967225,"DNA"
6,2365366,0.133747190581616,"DNA"
7,2383762,0.134787373503811,"DNA"
8,2345000,0.132595616033159,"DNA"
9,2095414,0.118483032057359,"DNA"
10,1844583,0.104300050835519,"DNA"
11,1676058,0.0947709778325394,"DNA"
12,1487427,0.0841050317140102,"DNA"
13,1305242,0.0738035680436473,"DNA"
14,1146213,0.0648114366056356,"DNA"
15,986758,0.0557952174352444,"DNA"
16,892983,0.0504928063932361,"DNA"
17,819791,0.0463542399417653,"DNA"
18,729355,0.0412406292246758,"DNA"
19,662244,0.0374459066713277,"DNA"
20,590823,0.0334074795955477,"DNA"
21,562210,0.0317895869040522,"DNA"
22,509166,0.0287902684149849,"DNA"
23,471115,0.0266387137089389,"DNA"
24,428320,0.0242189143962997,"DNA"
25,368109,0.0208143452547336,"DNA"
26,319168,0.0180470266857447,"DNA"
27,271424,0.0153473912521041,"DNA"
28,247180,0.0139765391774313,"DNA"
29,191512,0.0108288493039413,"DNA"
30,175516,0.00992437191627974,"DNA"
31,134733,0.00761833907675721,"DNA"
32,115225,0.00651527925689585,"DNA"
33,80747,0.00456575616538572,"DNA"
34,64672,0.00365681180387909,"DNA"
35,53822,0.00304330969984507,"DNA"
36,42406,0.00239780370725038,"DNA"
37,35416,0.0020025613379234,"DNA"
38,27919,0.00157865117442634,"DNA"
39,19373,0.00109542638354388,"DNA"
40,19459,0.00110028916519797,"DNA"
41,14588,0.000824863474068967,"DNA"
42,11870,0.000671176956210491,"DNA"
43,12487,0.000706064587379983,"DNA"
44,12323,0.00069679137585357,"DNA"
45,15091,0.000853305092348148,"DNA"
46,14365,0.000812254168151954,"DNA"
47,8412,0.000475647898537712,"DNA"
48,6266,0.000354304533076237,"DNA"
49,4460,0.000252186118340252,"DNA"
50,1227,6.93794545299302e-05,"DNA"
51,0,0,"DNA"
52,426,2.40877323795846e-05,"DNA"
53,106,5.99366110853513e-06,"DNA"
54,290,1.63977520893886e-05,"DNA"
55,0,0,"DNA"
56,99,5.59785329948092e-06,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,2772247,0.156753858746728,"LINE"
1,4390248,0.248242063154945,"LINE"
2,7930695,0.448433001746736,"LINE"
3,12802403,0.723898726008429,"LINE"
4,13052604,0.738046084527454,"LINE"
5,12862276,0.727284183287215,"LINE"
6,12189333,0.689233312651734,"LINE"
7,14163556,0.800863724110938,"LINE"
8,13964053,0.789583031920975,"LINE"
9,11892459,0.672446877293855,"LINE"
10,10378893,0.586863842676863,"LINE"
11,10530793,0.59545287213334,"LINE"
12,11833225,0.669097551613638,"LINE"
13,11813940,0.668007101099694,"LINE"
14,8155612,0.461150702459457,"LINE"
15,7197772,0.406990623627388,"LINE"
16,7759791,0.43876941063265,"LINE"
17,8848369,0.500321935370452,"LINE"
18,10841611,0.613027756646855,"LINE"
19,10877035,0.615030770336561,"LINE"
20,8782866,0.496618135525241,"LINE"
21,7916356,0.447622217721875,"LINE"
22,6967255,0.393956276667424,"LINE"
23,5742151,0.324684029509775,"LINE"
24,4624112,0.261465662791609,"LINE"
25,3985163,0.225336947964841,"LINE"
26,3600127,0.203565482883842,"LINE"
27,3242434,0.183340099648981,"LINE"
28,3062857,0.173186102659477,"LINE"
29,2884393,0.163095039111613,"LINE"
30,2612277,0.147708519430385,"LINE"
31,2358051,0.133333571421154,"LINE"
32,1930520,0.109159270219332,"LINE"
33,1839390,0.104006417985174,"LINE"
34,1847581,0.10446956966574,"LINE"
35,1958516,0.110742275279658,"LINE"
36,2142432,0.121141616566803,"LINE"
37,2219214,0.125483175880346,"LINE"
38,2442832,0.138127425972501,"LINE"
39,2517971,0.142376083538861,"LINE"
40,2099608,0.118720177478955,"LINE"
41,1528321,0.0864173409345049,"LINE"
42,1142974,0.064628290677989,"LINE"
43,653656,0.0369603070335909,"LINE"
44,438808,0.0248119475822083,"LINE"
45,283249,0.0160160237295421,"LINE"
46,158370,0.00895486895998782,"LINE"
47,120616,0.00682010781384031,"LINE"
48,84389,0.00477168931403935,"LINE"
49,60078,0.00339704879319409,"LINE"
50,40586,0.00229489367689629,"LINE"
51,22638,0.0012800424544813,"LINE"
52,18604,0.00105194406852064,"LINE"
53,6574,0.000371720076674622,"LINE"
54,5771,0.000326315266578832,"LINE"
55,1666,9.42022585549012e-05,"LINE"
56,1555,8.79258775827559e-05,"LINE"
57,936,5.29251584678196e-05,"LINE"
58,227,1.28354818079007e-05,"LINE"
59,259,1.46448889350057e-05,"LINE"
60,0,0,"LINE"
61,0,0,"LINE"
62,0,0,"LINE"
63,0,0,"LINE"
64,0,0,"LINE"
65,0,0,"LINE"
66,0,0,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,211810,0.0119765788622531,"LTR"
1,2263820,0.128005376327585,"LTR"
2,4540569,0.256741809678493,"LTR"
3,8193711,0.463304971276193,"LTR"
4,11224722,0.634690374580365,"LTR"
5,6677959,0.377598331534832,"LTR"
6,4565024,0.25812459253141,"LTR"
7,6593606,0.37282867780381,"LTR"
8,8459437,0.478330174971727,"LTR"
9,7077539,0.4001921721551,"LTR"
10,4716067,0.266665163803264,"LTR"
11,5712450,0.323004616975958,"LTR"
12,4477424,0.25317134052096,"LTR"
13,4384171,0.247898445432713,"LTR"
14,5081497,0.287328027755075,"LTR"
15,4241195,0.239814014388808,"LTR"
16,1978013,0.11184471311582,"LTR"
17,1455555,0.0823028622154137,"LTR"
18,1202682,0.0680044182012759,"LTR"
19,1225999,0.0693228540132355,"LTR"
20,1178663,0.0666462885204655,"LTR"
21,1053633,0.0595765956110301,"LTR"
22,1160119,0.0655977370903082,"LTR"
23,1288218,0.0728409634520275,"LTR"
24,1178685,0.0666475324878654,"LTR"
25,1225695,0.069305664645528,"LTR"
26,1237142,0.0699529235012771,"LTR"
27,1126001,0.063668569828978,"LTR"
28,1113212,0.0629454289618359,"LTR"
29,1142942,0.0646264812708619,"LTR"
30,1024561,0.0579327492360553,"LTR"
31,927371,0.0524372405272013,"LTR"
32,797855,0.0451138913561349,"LTR"
33,634022,0.0358501226731666,"LTR"
34,545272,0.0308318450940865,"LTR"
35,484439,0.0273921056014873,"LTR"
36,468195,0.0264736053085906,"LTR"
37,519619,0.0293813225618483,"LTR"
38,463000,0.0261798593702997,"LTR"
39,414729,0.0234504252630346,"LTR"
40,369358,0.0208849686766634,"LTR"
41,344669,0.0194889545341292,"LTR"
42,253268,0.014320778883363,"LTR"
43,189576,0.0107193801727515,"LTR"
44,129700,0.00733375326204723,"LTR"
45,90597,0.00512271429669771,"LTR"
46,58451,0.00330505174957535,"LTR"
47,36240,0.00204915357144635,"LTR"
48,20476,0.00115779438545628,"LTR"
49,10780,0.000609544025943478,"LTR"
50,6369,0.000360128562266606,"LTR"
51,918,5.19073669588231e-05,"LTR"
52,3248,0.000183654823401152,"LTR"
53,474,2.6801843070242e-05,"LTR"
54,356,2.01296542890425e-05,"LTR"
55,0,0,"LTR"
56,0,0,"LTR"
