"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,317844,0.023804274277467,"RC"
1,327096,0.0244971838356626,"RC"
2,157483,0.0117943661860483,"RC"
3,267256,0.0200155898060015,"RC"
4,470586,0.0352435729953565,"RC"
5,522315,0.039117710320897,"RC"
6,669088,0.0501099730300457,"RC"
7,688325,0.0515506886775824,"RC"
8,588635,0.0440846106559092,"RC"
9,454250,0.0340201217910025,"RC"
10,321121,0.0240496984692317,"RC"
11,227744,0.017056419630534,"RC"
12,177589,0.0133001638057069,"RC"
13,157048,0.0117617877535132,"RC"
14,165727,0.0124117836523004,"RC"
15,195742,0.0146596954972249,"RC"
16,258393,0.0193518136047166,"RC"
17,320545,0.0240065601309783,"RC"
18,465050,0.0348289656332542,"RC"
19,432050,0.0323574983374851,"RC"
20,395191,0.0295970191540078,"RC"
21,421637,0.0315776380662475,"RC"
22,521999,0.0390940441492163,"RC"
23,627394,0.0469873864412641,"RC"
24,701118,0.0525087941659088,"RC"
25,750977,0.0562428816780224,"RC"
26,707549,0.0529904307167904,"RC"
27,638722,0.0478357737602481,"RC"
28,554127,0.0415002047940184,"RC"
29,466906,0.0349679669454041,"RC"
30,370504,0.0277481369379275,"RC"
31,258602,0.0193674662309231,"RC"
32,188578,0.0141231624151979,"RC"
33,108427,0.00812041771146511,"RC"
34,68188,0.00510680036254238,"RC"
35,41008,0.00307121002620898,"RC"
36,25196,0.00188700272679383,"RC"
37,18223,0.001364774197903,"RC"
38,4667,0.000349525389980426,"RC"
39,2801,0.000209775148346941,"RC"
40,2053,0.000153755222976176,"RC"
41,1795,0.000134432842300164,"RC"
42,340,2.54636024412567e-05,"RC"
43,132,9.88586918307612e-06,"RC"
44,78,5.84164997181771e-06,"RC"
45,0,0,"RC"
46,0,0,"RC"
47,0,0,"RC"
48,0,0,"RC"
49,0,0,"RC"
50,0,0,"RC"
51,0,0,"RC"
52,0,0,"RC"
53,0,0,"RC"
54,0,0,"RC"
55,0,0,"RC"
56,0,0,"RC"
57,0,0,"RC"
58,0,0,"RC"
59,0,0,"RC"
60,0,0,"RC"
61,0,0,"RC"
62,0,0,"RC"
63,0,0,"RC"
64,0,0,"RC"
65,0,0,"RC"
66,0,0,"RC"
67,0,0,"RC"
68,0,0,"RC"
69,0,0,"RC"
70,0,0,"RC"
0,8385320,0.628001337713878,"DNA"
1,10358805,0.775801447901476,"DNA"
2,12118935,0.907622773092444,"DNA"
3,12199984,0.913692771663801,"DNA"
4,13840511,1.03655667555247,"DNA"
5,14714515,1.10201341198796,"DNA"
6,14253920,1.06751809443964,"DNA"
7,13199817,0.988573212898063,"DNA"
8,11362669,0.850983782610564,"DNA"
9,10411419,0.779741865486312,"DNA"
10,9392450,0.703428272792298,"DNA"
11,8867845,0.664139057619664,"DNA"
12,8511142,0.637424518262007,"DNA"
13,7999061,0.599073262374591,"DNA"
14,7088946,0.53091206668099,"DNA"
15,6451786,0.483193275706076,"DNA"
16,5818662,0.435776752670728,"DNA"
17,5271025,0.394762603111544,"DNA"
18,4748003,0.355591943476159,"DNA"
19,4227743,0.316628138164135,"DNA"
20,3809175,0.285280346556394,"DNA"
21,3386050,0.253591267782992,"DNA"
22,2965631,0.222104849327843,"DNA"
23,2516022,0.188432305710163,"DNA"
24,2222832,0.166474442181481,"DNA"
25,1798144,0.134668305729797,"DNA"
26,1614208,0.120892796380871,"DNA"
27,1407554,0.105415869031178,"DNA"
28,1263648,0.094638324404968,"DNA"
29,1112738,0.0833362295684679,"DNA"
30,1017824,0.076227840268146,"DNA"
31,882714,0.0661090540156807,"DNA"
32,766898,0.0574352523088084,"DNA"
33,660609,0.0494749557209298,"DNA"
34,565347,0.0423405036745798,"DNA"
35,429843,0.032192209600462,"DNA"
36,362969,0.0271838185720603,"DNA"
37,316200,0.0236811502703687,"DNA"
38,262333,0.0196468918212417,"DNA"
39,242348,0.0181501562483343,"DNA"
40,169752,0.0127132277694359,"DNA"
41,128798,0.00964606196243817,"DNA"
42,101195,0.00757879190894991,"DNA"
43,79978,0.00598978822366714,"DNA"
44,59853,0.00448256763798981,"DNA"
45,41069,0.00307577849605874,"DNA"
46,23438,0.00175534092358286,"DNA"
47,20765,0.00155515207262557,"DNA"
48,20686,0.0015492355297054,"DNA"
49,8477,0.000634867523219214,"DNA"
50,5255,0.000393562443614129,"DNA"
51,3463,0.000259354280159035,"DNA"
52,15682,0.00117447121612879,"DNA"
53,824,6.17117894458691e-05,"DNA"
54,137,1.02603339248593e-05,"DNA"
55,82,6.14122176524426e-06,"DNA"
56,61,4.56846984975487e-06,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,2313262,0.173247011501372,"LINE"
1,3699773,0.277086908220281,"LINE"
2,3575260,0.267761762541551,"LINE"
3,2874431,0.215274612437717,"LINE"
4,2111878,0.158164769989518,"LINE"
5,2120782,0.158831616801686,"LINE"
6,1737423,0.130120731012634,"LINE"
7,1180510,0.0884118744644939,"LINE"
8,929516,0.0696141937846681,"LINE"
9,798050,0.0597683174360144,"LINE"
10,717845,0.0537615285130703,"LINE"
11,710584,0.0532177308150528,"LINE"
12,710515,0.0532125632016161,"LINE"
13,737013,0.0551970765471703,"LINE"
14,694589,0.0520198181060883,"LINE"
15,687021,0.0514530282729253,"LINE"
16,609757,0.0456664995110981,"LINE"
17,540179,0.04045559795034,"LINE"
18,481646,0.0360718890041809,"LINE"
19,468486,0.0350862978038076,"LINE"
20,399210,0.0298980139134532,"LINE"
21,417641,0.0312783658446144,"LINE"
22,436387,0.0326823090545079,"LINE"
23,530608,0.0397387975416186,"LINE"
24,431069,0.0322840283551473,"LINE"
25,387687,0.0290350224695396,"LINE"
26,436398,0.0326831328769398,"LINE"
27,310807,0.0232772525998814,"LINE"
28,234067,0.017529967742993,"LINE"
29,217882,0.0163178253738408,"LINE"
30,192394,0.0144089539061269,"LINE"
31,188139,0.0140902844108694,"LINE"
32,195739,0.0146594708183798,"LINE"
33,251215,0.0188142320214126,"LINE"
34,247354,0.0185250703478077,"LINE"
35,186845,0.0139933729356959,"LINE"
36,177193,0.0132705061981576,"LINE"
37,148042,0.0110873018606133,"LINE"
38,151466,0.0113437353157864,"LINE"
39,140727,0.0105394599433845,"LINE"
40,91377,0.00684349294198445,"LINE"
41,76886,0.00575821922734841,"LINE"
42,71352,0.00534376165114278,"LINE"
43,67811,0.00507856572101193,"LINE"
44,41505,0.00310843182154223,"LINE"
45,28849,0.00216058666714063,"LINE"
46,18761,0.00140506660411887,"LINE"
47,12670,0.000948893655678594,"LINE"
48,9635,0.0007215935574162,"LINE"
49,2349,0.000175923535689741,"LINE"
50,992,7.42938047697842e-05,"LINE"
51,711,5.32488862815691e-05,"LINE"
52,976,7.3095517596078e-05,"LINE"
53,668,5.00284895022337e-05,"LINE"
54,576,4.31383382534231e-05,"LINE"
55,287,2.14942761783549e-05,"LINE"
56,0,0,"LINE"
57,0,0,"LINE"
58,0,0,"LINE"
59,0,0,"LINE"
60,0,0,"LINE"
61,0,0,"LINE"
62,0,0,"LINE"
63,0,0,"LINE"
64,0,0,"LINE"
65,0,0,"LINE"
66,0,0,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,361974,0.0271093000884454,"LTR"
1,657618,0.0492509509123951,"LTR"
2,547290,0.040988161706104,"LTR"
3,612196,0.0458491634121399,"LTR"
4,368562,0.027602694832219,"LTR"
5,363478,0.0272219390827738,"LTR"
6,397375,0.0297605853532187,"LTR"
7,400664,0.0300069082603637,"LTR"
8,419561,0.0314221603054591,"LTR"
9,464393,0.0347797609661839,"LTR"
10,481197,0.0360382620703688,"LTR"
11,456630,0.0341983670080913,"LTR"
12,405045,0.0303350142671142,"LTR"
13,428673,0.0321045848508848,"LTR"
14,565441,0.0423475436117253,"LTR"
15,415582,0.031124161263948,"LTR"
16,471869,0.0353396606480981,"LTR"
17,473834,0.0354868252916189,"LTR"
18,435608,0.0326239674477381,"LTR"
19,307848,0.0230556443656941,"LTR"
20,372293,0.0278821204225376,"LTR"
21,276400,0.0207004109257745,"LTR"
22,256910,0.0192407473623037,"LTR"
23,230021,0.0172269508739421,"LTR"
24,215841,0.0161649688662449,"LTR"
25,263978,0.0197700907212884,"LTR"
26,197942,0.0148244599836095,"LTR"
27,203242,0.0152213926098997,"LTR"
28,183860,0.0137698174848513,"LTR"
29,166939,0.0125025539057087,"LTR"
30,211004,0.0158027116750439,"LTR"
31,182080,0.0136365080367765,"LTR"
32,174595,0.0130759343183271,"LTR"
33,189846,0.0142181266737142,"LTR"
34,167515,0.0125456922439621,"LTR"
35,154796,0.011593128833814,"LTR"
36,138757,0.0103919208351219,"LTR"
37,122393,0.00916637262821391,"LTR"
38,75182,0.0056306016433487,"LTR"
39,81180,0.00607980954759182,"LTR"
40,58856,0.00440789936847824,"LTR"
41,40218,0.00301204459700724,"LTR"
42,41542,0.00311120286063143,"LTR"
43,28674,0.00214748040117822,"LTR"
44,17179,0.00128658595981867,"LTR"
45,12285,0.000920059870561289,"LTR"
46,5937,0.000444639434393356,"LTR"
47,2382,0.00017839500298551,"LTR"
48,1506,0.000112788780225096,"LTR"
49,498,3.72966882816054e-05,"LTR"
50,647,4.84557375867443e-05,"LTR"
51,0,0,"LTR"
52,0,0,"LTR"
53,0,0,"LTR"
54,0,0,"LTR"
55,0,0,"LTR"
56,0,0,"LTR"
57,0,0,"LTR"
58,0,0,"LTR"
59,0,0,"LTR"
60,0,0,"LTR"
61,0,0,"LTR"
62,0,0,"LTR"
63,0,0,"LTR"
64,0,0,"LTR"
65,0,0,"LTR"
66,0,0,"LTR"
67,0,0,"LTR"
68,0,0,"LTR"
69,0,0,"LTR"
70,0,0,"LTR"
0,5166007,0.386897495461027,"Unknown"
1,6727684,0.503856090371775,"Unknown"
2,10206017,0.764358704107962,"Unknown"
3,12976219,0.971827299431416,"Unknown"
4,15698880,1.17573540909705,"Unknown"
5,16050475,1.2020673952745,"Unknown"
6,16299221,1.22069671660642,"Unknown"
7,15805279,1.18370394390924,"Unknown"
8,14930625,1.11819852705732,"Unknown"
9,14018692,1.0499011759836,"Unknown"
10,13713318,1.02703081677214,"Unknown"
11,13161038,0.985668939253741,"Unknown"
12,12609125,0.944334547447384,"Unknown"
13,11613788,0.869790824908934,"Unknown"
14,10721335,0.802952388469208,"Unknown"
15,10297016,0.771173887515468,"Unknown"
16,9708891,0.727127472263221,"Unknown"
17,9208949,0.689685341875907,"Unknown"
18,8725657,0.653490179078731,"Unknown"
19,8267345,0.619165842131503,"Unknown"
20,7535582,0.564361953563206,"Unknown"
21,7016491,0.52548569810781,"Unknown"
22,6371318,0.477166789937714,"Unknown"
23,5662999,0.424118691650689,"Unknown"
24,5107372,0.382506147434135,"Unknown"
