"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,794,3.02410389546748e-05,"DNA"
1,286,1.08928679358148e-05,"DNA"
2,33203,0.00126460102822678,"DNA"
3,3730,0.000142064326575487,"DNA"
4,4415,0.000168153887890289,"DNA"
5,20657,0.000786762143182263,"DNA"
6,45605,0.00173695539235257,"DNA"
7,97002,0.00369451040388081,"DNA"
8,170747,0.00650323259243558,"DNA"
9,296740,0.0113019217876703,"DNA"
10,423300,0.0161222062840225,"DNA"
11,538263,0.0205007964116626,"DNA"
12,625918,0.0238393080861866,"DNA"
13,661926,0.0252107430114761,"DNA"
14,647314,0.0246542164860282,"DNA"
15,600809,0.0228829828379335,"DNA"
16,512779,0.0195301885568504,"DNA"
17,439798,0.0167505647987255,"DNA"
18,381718,0.014538474694837,"DNA"
19,344013,0.0131024062139982,"DNA"
20,325436,0.0123948649285309,"DNA"
21,325855,0.0124108233609264,"DNA"
22,354949,0.0135189251082152,"DNA"
23,392043,0.0149317224621002,"DNA"
24,412423,0.0157079345199041,"DNA"
25,445534,0.016969031548655,"DNA"
26,460773,0.01754943859227,"DNA"
27,497750,0.0189577797729085,"DNA"
28,462550,0.0176171191038852,"DNA"
29,450963,0.0171758056046814,"DNA"
30,435809,0.0165986359518865,"DNA"
31,405203,0.015432946734951,"DNA"
32,388810,0.0148085873500845,"DNA"
33,356047,0.0135607445802205,"DNA"
34,306792,0.0116847718173584,"DNA"
35,262791,0.0100089078941284,"DNA"
36,225613,0.00859291123637411,"DNA"
37,163502,0.00622729263371188,"DNA"
38,134255,0.00511336358294693,"DNA"
39,106207,0.00404510078622059,"DNA"
40,78570,0.00299249172628312,"DNA"
41,52140,0.00198585361599086,"DNA"
42,38682,0.00147327943179437,"DNA"
43,22631,0.00086194578410988,"DNA"
44,17560,0.000668806856478702,"DNA"
45,10613,0.00040421680910071,"DNA"
46,9717,0.000370090901161933,"DNA"
47,6625,0.000252326049212494,"DNA"
48,3328,0.000126753372344027,"DNA"
49,1778,6.77185985660098e-05,"DNA"
50,745,2.83747783642729e-05,"DNA"
51,765,2.91365173807635e-05,"DNA"
52,778,2.96316477414823e-05,"DNA"
53,580,2.20904314782259e-05,"DNA"
54,266,1.01311289193243e-05,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,1319083,0.0502398493544701,"LINE"
1,2188751,0.0833628517041352,"LINE"
2,4324274,0.164698411189783,"LINE"
3,8201860,0.312383838489659,"LINE"
4,14457855,0.550655612413148,"LINE"
5,18489965,0.704226387702233,"LINE"
6,18144403,0.691064984801408,"LINE"
7,17563893,0.668955128978262,"LINE"
8,16455155,0.626726679294977,"LINE"
9,15656453,0.596306555497525,"LINE"
10,14393373,0.548199689650081,"LINE"
11,12590514,0.479534287573524,"LINE"
12,11025002,0.419908709014317,"LINE"
13,10267423,0.391054834895622,"LINE"
14,9620736,0.366424498927761,"LINE"
15,9183333,0.34976515237626,"LINE"
16,8860142,0.33745579265233,"LINE"
17,8538677,0.325212171005523,"LINE"
18,8478910,0.322935828215594,"LINE"
19,8120721,0.309293501386707,"LINE"
20,7910445,0.301284729715129,"LINE"
21,7519751,0.286404386549691,"LINE"
22,7243344,0.275876886733136,"LINE"
23,7082199,0.269739365042517,"LINE"
24,6771783,0.257916566115371,"LINE"
25,6495633,0.247398854645178,"LINE"
26,6138629,0.233801660853018,"LINE"
27,6138934,0.233813277373019,"LINE"
28,5956566,0.226867436325052,"LINE"
29,5840621,0.222451444811702,"LINE"
30,5870177,0.223577142730272,"LINE"
31,5631312,0.214479503221571,"LINE"
32,5418509,0.206374485825259,"LINE"
33,5223247,0.19893755163336,"LINE"
34,5111817,0.194693522702983,"LINE"
35,4754273,0.181075761957378,"LINE"
36,4418666,0.168293514652011,"LINE"
37,3768376,0.143525951400329,"LINE"
38,3317404,0.126349803013091,"LINE"
