"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,157115,0.0104191407898437,"DNA"
1,1349869,0.0895170744922225,"DNA"
2,2072607,0.137445718963916,"DNA"
3,1889379,0.12529488467921,"DNA"
4,1803627,0.119608208289237,"DNA"
5,1685586,0.11178027462298,"DNA"
6,1541465,0.102222835869372,"DNA"
7,1423328,0.0943885359267204,"DNA"
8,1372006,0.0909850980397181,"DNA"
9,1304572,0.0865131867643955,"DNA"
10,1190696,0.0789614566521576,"DNA"
11,1040101,0.0689746921341516,"DNA"
12,848649,0.0562784801715945,"DNA"
13,709795,0.047070324519792,"DNA"
14,608337,0.0403420987854193,"DNA"
15,542683,0.0359882288849235,"DNA"
16,533999,0.0354123461326783,"DNA"
17,493464,0.0327242522402026,"DNA"
18,495319,0.0328472672684632,"DNA"
19,547541,0.0363103889966701,"DNA"
20,604856,0.0401112549507158,"DNA"
21,672590,0.0446030608397733,"DNA"
22,756459,0.0501648653708709,"DNA"
23,830567,0.0550793654864152,"DNA"
24,790367,0.0524134872459435,"DNA"
25,816263,0.0541307903035369,"DNA"
26,801254,0.0531354627783817,"DNA"
27,745243,0.0494210720787035,"DNA"
28,691900,0.0458836108105074,"DNA"
29,648667,0.0430165980251762,"DNA"
30,556592,0.0369106094930509,"DNA"
31,509560,0.0337916645824572,"DNA"
32,425290,0.028203267584334,"DNA"
33,358305,0.0237611319142345,"DNA"
34,305445,0.0202557009741515,"DNA"
35,248845,0.0165022505161739,"DNA"
36,189828,0.0125885157868724,"DNA"
37,151903,0.01007350503389,"DNA"
38,114599,0.00759967613133883,"DNA"
39,86658,0.00574675812345274,"DNA"
40,66146,0.00438649706702099,"DNA"
41,47456,0.00314706263133898,"DNA"
42,31334,0.0020779260892274,"DNA"
43,22983,0.00152412635822791,"DNA"
44,19162,0.00127073529462486,"DNA"
45,18097,0.0012001094158661,"DNA"
46,10406,0.000690077835083306,"DNA"
47,6442,0.00042720367226664,"DNA"
48,11532,0.000764748951968162,"DNA"
49,6914,0.000458504531209493,"DNA"
50,4255,0.000282171938139484,"DNA"
51,1975,0.00013097287375452,"DNA"
52,1764,0.000116980328760999,"DNA"
53,241,1.59820063670072e-05,"DNA"
54,562,3.72692430633114e-05,"DNA"
55,258,1.71093678119828e-05,"DNA"
56,0,0,"DNA"
57,168,1.11409836915237e-05,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,1522652,0.100975244642059,"LINE"
1,2271998,0.150668408721276,"LINE"
2,10469188,0.694268171258902,"LINE"
3,14031852,0.930527585082583,"LINE"
4,10669479,0.707550544857467,"LINE"
5,7632405,0.506145831143475,"LINE"
6,6025593,0.399589484194996,"LINE"
