"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,53861,0.00168487062323437,"DNA"
1,14878,0.000465411060553665,"DNA"
2,84047,0.0026291439310629,"DNA"
3,174298,0.00545236033286616,"DNA"
4,318818,0.00997321034437413,"DNA"
5,698134,0.0218389088149329,"DNA"
6,1270781,0.0397523546808339,"DNA"
7,2289048,0.0716056094460442,"DNA"
8,3602210,0.112683719346486,"DNA"
9,4397744,0.13756947836292,"DNA"
10,4190587,0.131089228391746,"DNA"
11,3546090,0.110928183070221,"DNA"
12,2904910,0.0908708995774262,"DNA"
13,2561421,0.0801259352153803,"DNA"
14,2428619,0.07597164568294,"DNA"
15,2496082,0.0780820117521786,"DNA"
16,2622385,0.0820330006741513,"DNA"
17,2673500,0.0836319713933474,"DNA"
18,2774365,0.0867872131343573,"DNA"
19,2699807,0.0844549024842189,"DNA"
20,2609809,0.0816396003853004,"DNA"
21,2583497,0.0808165128852811,"DNA"
22,2373034,0.0742328451855025,"DNA"
23,2317242,0.072487569349341,"DNA"
24,2197257,0.0687342190266813,"DNA"
25,2080972,0.0650966114734831,"DNA"
26,1882162,0.0588774709338491,"DNA"
27,1749693,0.0547335982506603,"DNA"
28,1563453,0.0489076703088997,"DNA"
29,1433818,0.0448524503307524,"DNA"
30,1256126,0.0392939194682775,"DNA"
31,1058750,0.0331196370722673,"DNA"
32,900597,0.028172321878038,"DNA"
33,732944,0.0229278293027588,"DNA"
34,603262,0.0188711390786211,"DNA"
35,447719,0.0140054694596066,"DNA"
36,379240,0.0118633210515104,"DNA"
37,295968,0.00925842053837526,"DNA"
38,219106,0.0068540365528748,"DNA"
39,175875,0.00550169177812043,"DNA"
40,134002,0.0041918277279414,"DNA"
41,99348,0.00310778720553068,"DNA"
42,71502,0.00223671337892917,"DNA"
43,51570,0.00161320395165698,"DNA"
44,40235,0.00125862441332012,"DNA"
45,36641,0.00114619751779452,"DNA"
46,18146,0.000567640079634817,"DNA"
47,13093,0.000409572994745875,"DNA"
48,13451,0.000420771889737018,"DNA"
49,5785,0.000180965384144573,"DNA"
50,3965,0.000124032454301336,"DNA"
51,1745,5.45867926244216e-05,"DNA"
52,2599,8.13014750893248e-05,"DNA"
53,159,4.97381090388713e-06,"DNA"
54,0,0,"DNA"
55,390,1.21999135378364e-05,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
