"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,2566,0.000222726950192988,"DNA"
1,10125,0.000878842700975839,"DNA"
2,42715,0.00370763120712918,"DNA"
3,32712,0.00283937801820461,"DNA"
4,20354,0.00176671252697898,"DNA"
5,16932,0.00146968539386893,"DNA"
6,10587,0.000918943967924069,"DNA"
7,10254,0.000890039807980864,"DNA"
8,11690,0.00101468357278099,"DNA"
9,5223,0.00045335263478487,"DNA"
10,4073,0.000353533463809836,"DNA"
11,7700,0.000668354449137181,"DNA"
12,7114,0.000617490071579468,"DNA"
13,10695,0.000928318290067812,"DNA"
14,7973,0.000692050652333863,"DNA"
15,9480,0.000822857165950711,"DNA"
16,16775,0.00145605790704886,"DNA"
17,23987,0.00208205430798098,"DNA"
18,21609,0.00187564562226043,"DNA"
19,25226,0.00218959861479669,"DNA"
20,28262,0.00245312122617078,"DNA"
21,39402,0.00342006519544197,"DNA"
22,39645,0.00344115742026539,"DNA"
23,42290,0.00367074151350797,"DNA"
24,41067,0.003564585995158,"DNA"
25,39922,0.00346520082057851,"DNA"
26,35320,0.00306575053812016,"DNA"
27,39967,0.0034691067881384,"DNA"
28,45364,0.00393756249748819,"DNA"
29,36077,0.00313145759240546,"DNA"
30,39065,0.00339081383838233,"DNA"
31,33071,0.00287053895940464,"DNA"
32,33788,0.00293277404252559,"DNA"
33,26137,0.00226867275806474,"DNA"
34,22544,0.00195680294822709,"DNA"
35,26535,0.00230321887115001,"DNA"
36,17953,0.00155830745783894,"DNA"
37,15159,0.00131579027200916,"DNA"
38,11495,0.000997757713354791,"DNA"
39,8387,0.000727985553884875,"DNA"
40,9690,0.000841085014563543,"DNA"
41,9021,0.000783016296839806,"DNA"
42,4870,0.00042271248925949,"DNA"
43,3904,0.000338864385640462,"DNA"
44,3075,0.000266907783259329,"DNA"
45,2229,0.000193475593133348,"DNA"
46,1018,8.83616661326818e-05,"DNA"
47,639,5.54647393504751e-05,"DNA"
48,872,7.5688971382808e-05,"DNA"
49,855,7.42133836379597e-05,"DNA"
50,0,0,"DNA"
51,365,3.16817368746846e-05,"DNA"
52,0,0,"DNA"
53,0,0,"DNA"
54,0,0,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,107664,0.00934515758596175,"LINE"
1,457577,0.039717353736733,"LINE"
2,697311,0.060526092114584,"LINE"
3,577336,0.0501123486035147,"LINE"
4,335239,0.0290985035291298,"LINE"
5,234614,0.0203643260688144,"LINE"
6,230276,0.0199877907960407,"LINE"
7,286442,0.0248629591064613,"LINE"
8,358567,0.0311233571121781,"LINE"
9,473066,0.041061787770848,"LINE"
10,615882,0.0534581136160396,"LINE"
11,758335,0.0658229313229148,"LINE"
12,942570,0.0818143965095107,"LINE"
13,1074819,0.0932935143723605,"LINE"
14,1246268,0.108175163976272,"LINE"
15,1363671,0.118365659741474,"LINE"
16,1540703,0.13373190972065,"LINE"
17,1600608,0.138931620535658,"LINE"
18,1608251,0.139595027425886,"LINE"
19,1604859,0.139300604271149,"LINE"
20,1590239,0.138031598810579,"LINE"
21,1465922,0.12724097282962,"LINE"
22,1376020,0.119437544039187,"LINE"
23,1249261,0.108434954218645,"LINE"
24,1090097,0.0946196337585836,"LINE"
25,971975,0.0843667293117028,"LINE"
26,838896,0.0728155680471928,"LINE"
27,744255,0.064600797473064,"LINE"
28,708362,0.0614853109480145,"LINE"
29,618474,0.0536830973474895,"LINE"
30,601776,0.052233722984932,"LINE"
31,605421,0.0525501063572833,"LINE"
32,539549,0.0468324642438334,"LINE"
33,565740,0.04910582416297,"LINE"
34,583729,0.0506672563948568,"LINE"
35,581115,0.0504403630792666,"LINE"
36,613128,0.0532190684013742,"LINE"
37,644828,0.0559706055491208,"LINE"
38,625203,0.0542671696966121,"LINE"
39,568105,0.0493111044580621,"LINE"
40,541531,0.0470045004150269,"LINE"
41,508959,0.0441772742958975,"LINE"
42,464388,0.0403085436267425,"LINE"
43,392560,0.034073925006921,"LINE"
44,351790,0.0305351183976583,"LINE"
45,268155,0.0232756606894001,"LINE"
46,207839,0.0180402753706783,"LINE"
47,136681,0.0118638122678596,"LINE"
48,117333,0.010184419815664,"LINE"
49,84013,0.0072922678357613,"LINE"
50,54891,0.00476449922955701,"LINE"
51,34109,0.00296063661111949,"LINE"
52,20895,0.0018136709369768,"LINE"
53,13218,0.00114731287125912,"LINE"
54,10963,0.00095158049686895,"LINE"
55,2683,0.000232882465848709,"LINE"
56,2254,0.000195645575111066,"LINE"
57,1775,0.000154068720417987,"LINE"
58,174,1.51030745649181e-05,"LINE"
59,689,5.98047033059114e-05,"LINE"
60,349,3.0292948408945e-05,"LINE"
61,0,0,"LINE"
62,34,2.95117548969664e-06,"LINE"
63,118,1.02423149348295e-05,"LINE"
64,0,0,"LINE"
65,110,9.54792070195973e-06,"LINE"
66,366,3.17685361537933e-05,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,878636,0.0762649713989735,"LTR"
