"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,55,5.39060314294196e-06,"DNA"
1,0,0,"DNA"
2,36,3.5283947844711e-06,"DNA"
3,100,9.80109662353084e-06,"DNA"
4,218,2.13663906392972e-05,"DNA"
5,143,1.40155681716491e-05,"DNA"
6,338,3.31277065875342e-05,"DNA"
7,2216,0.000217192301177443,"DNA"
8,1277,0.000125160003882489,"DNA"
9,1751,0.000171617201878025,"DNA"
10,887,8.69357270507185e-05,"DNA"
11,2346,0.000229933726788033,"DNA"
12,1660,0.000162698203950612,"DNA"
13,4030,0.000394984193928293,"DNA"
14,6793,0.00066578849363645,"DNA"
15,5223,0.000511911276647016,"DNA"
16,5542,0.000543176774876079,"DNA"
17,7622,0.00074703958464552,"DNA"
18,13211,0.00129482287493466,"DNA"
19,13540,0.00132706848282608,"DNA"
20,15125,0.00148241586430904,"DNA"
21,18867,0.00184917289996156,"DNA"
22,20455,0.00200481431434323,"DNA"
23,27289,0.00267462125759533,"DNA"
24,26770,0.00262375356611921,"DNA"
25,30449,0.0029843359108989,"DNA"
26,32838,0.00321848410923506,"DNA"
27,30261,0.00296590984924667,"DNA"
28,29717,0.00291259188361466,"DNA"
29,31843,0.00312096319783092,"DNA"
30,33546,0.00328787587332965,"DNA"
31,32471,0.0031825140846267,"DNA"
32,25890,0.00253750391583213,"DNA"
33,19787,0.00193934298889805,"DNA"
34,21958,0.0021521247965949,"DNA"
35,19147,0.00187661597050745,"DNA"
36,15512,0.0015203461082421,"DNA"
37,14939,0.00146418582458927,"DNA"
38,14320,0.00140351703648962,"DNA"
39,9035,0.000885529079936011,"DNA"
40,9002,0.000882294718050246,"DNA"
41,7665,0.000751254056193639,"DNA"
42,4771,0.000467610319908656,"DNA"
43,4111,0.000402923082193353,"DNA"
44,3963,0.000388417459190527,"DNA"
45,1868,0.000183084484927556,"DNA"
46,1766,0.000173087366371555,"DNA"
47,480,4.7045263792948e-05,"DNA"
48,564,5.52781849567139e-05,"DNA"
49,139,1.36235243067079e-05,"DNA"
50,139,1.36235243067079e-05,"DNA"
51,260,2.54828512211802e-05,"DNA"
52,0,0,"DNA"
53,0,0,"DNA"
54,0,0,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,2250,0.000220524674029444,"LINE"
1,3402,0.000333433307132519,"LINE"
2,8316,0.000815059195212824,"LINE"
3,20127,0.00197266671741805,"LINE"
4,34874,0.00341803443649014,"LINE"
5,75119,0.00736248577263013,"LINE"
6,116346,0.0114031838776132,"LINE"
7,198547,0.0194597833131218,"LINE"
8,266402,0.0261103174270186,"LINE"
9,412764,0.0404553984671508,"LINE"
10,560500,0.0549351465748903,"LINE"
11,714415,0.0700205044429978,"LINE"
12,862801,0.0845639596787903,"LINE"
13,1057266,0.10362366222774,"LINE"
14,1216502,0.119230536447185,"LINE"
15,1285671,0.126009856970715,"LINE"
16,1394195,0.136646399070436,"LINE"
17,1429026,0.140060219035378,"LINE"
18,1452288,0.142340150131944,"LINE"
19,1401985,0.137409904497409,"LINE"
20,1342535,0.13158315255472,"LINE"
21,1304566,0.127861774177731,"LINE"
22,1179587,0.115612461628609,"LINE"
23,1085523,0.106393158100651,"LINE"
24,984659,0.0965073800022925,"LINE"
25,893825,0.0876046518952745,"LINE"
26,851657,0.083471725471064,"LINE"
27,787035,0.0771380608110059,"LINE"
28,754290,0.0739286917216308,"LINE"
29,707484,0.0693411904360209,"LINE"
30,650820,0.0637874970452634,"LINE"
31,625374,0.0612935099984397,"LINE"
32,625524,0.061308211643375,"LINE"
33,602027,0.059005247969744,"LINE"
34,600379,0.0588437258973882,"LINE"
35,560763,0.0549609234590102,"LINE"
36,530190,0.0519644341882982,"LINE"
37,487741,0.0478039666825755,"LINE"
38,465596,0.0456335138352946,"LINE"
39,424162,0.0415725274603009,"LINE"
40,395199,0.0387338358452276,"LINE"
41,353491,0.0346459944654854,"LINE"
42,348852,0.0341913215931198,"LINE"
43,327710,0.0321191737449729,"LINE"
44,301060,0.0295071814948019,"LINE"
45,230310,0.0225729056336539,"LINE"
46,184313,0.0180646952197284,"LINE"
47,142296,0.0139465684514194,"LINE"
48,115201,0.0112909613212738,"LINE"
49,79084,0.00775109925375313,"LINE"
50,53893,0.00528210500331947,"LINE"
51,21477,0.00210498152183572,"LINE"
52,13429,0.00131618926557396,"LINE"
53,10412,0.00102049018044203,"LINE"
54,7382,0.000723516952749047,"LINE"
55,5018,0.000491819028568777,"LINE"
56,615,6.02767442347147e-05,"LINE"
57,2021,0.000198080162761558,"LINE"
58,408,3.99884742240058e-05,"LINE"
59,877,8.59556173883654e-05,"LINE"
60,210,2.05823029094148e-05,"LINE"
