"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,181395,0.0307783564079749,"DNA"
1,282438,0.0479229164373638,"DNA"
2,588357,0.0998299922331205,"DNA"
3,1385260,0.235045210715352,"DNA"
4,1296869,0.22004738993056,"DNA"
5,919912,0.156086878910516,"DNA"
6,687029,0.116572250748999,"DNA"
7,539400,0.0915231701340261,"DNA"
8,460024,0.0780549774151561,"DNA"
9,480570,0.0815411380632349,"DNA"
10,558308,0.0947314016892618,"DNA"
11,680634,0.115487173490921,"DNA"
12,803841,0.136392429743615,"DNA"
13,868674,0.147393026127188,"DNA"
14,881426,0.14955673295987,"DNA"
15,868255,0.147321931933109,"DNA"
16,829563,0.140756832751007,"DNA"
17,736019,0.124884672152161,"DNA"
18,683111,0.115907460647803,"DNA"
19,621465,0.105447621296519,"DNA"
20,570036,0.0967213604199475,"DNA"
21,502673,0.0852914840578074,"DNA"
22,448279,0.0760621341944959,"DNA"
23,406685,0.0690046356061483,"DNA"
24,359395,0.0609806632004418,"DNA"
25,306582,0.0520195709047645,"DNA"
26,280436,0.047583225323889,"DNA"
27,254125,0.0431188832226722,"DNA"
28,215765,0.0366101164330147,"DNA"
29,201911,0.034259426779628,"DNA"
30,173468,0.029433335700425,"DNA"
31,171989,0.0291823850726381,"DNA"
32,126282,0.0214270095863276,"DNA"
33,96810,0.0164263220257231,"DNA"
34,85615,0.014526800539534,"DNA"
35,75511,0.0128123954393594,"DNA"
36,67619,0.0114733133876394,"DNA"
37,55361,0.00939342644009977,"DNA"
38,57139,0.00969511015626273,"DNA"
39,42315,0.00717983489844515,"DNA"
40,38184,0.00647890383462672,"DNA"
41,29454,0.00499763339474899,"DNA"
42,25114,0.00426124007183154,"DNA"
43,15672,0.00265916040478394,"DNA"
44,14721,0.00249779864208936,"DNA"
45,7080,0.00120130523646441,"DNA"
46,6781,0.0011505721480883,"DNA"
47,2478,0.000420456832762545,"DNA"
48,2095,0.000355470970394484,"DNA"
49,3118,0.00052904939651074,"DNA"
50,1085,0.000184098330729363,"DNA"
51,2010,0.000341048520521677,"DNA"
52,1022,0.0001734087502354,"DNA"
53,123,2.08701333453563e-05,"DNA"
54,298,5.05634124952536e-05,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,105,1.78159674899383e-05,"DNA"
