"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,54,4.77759126238437e-06,"DNA"
1,0,0,"DNA"
2,81,7.16638689357656e-06,"DNA"
3,219,1.93757867863366e-05,"DNA"
4,256,2.26493215401926e-05,"DNA"
5,391,3.45932996961535e-05,"DNA"
6,1450,0.000128287172786247,"DNA"
7,648,5.73310951486125e-05,"DNA"
8,1624,0.000143681633520597,"DNA"
9,2670,0.000236225345751227,"DNA"
10,2512,0.00022224646761314,"DNA"
11,3847,0.000340359140488753,"DNA"
12,5507,0.00048722583485094,"DNA"
13,8757,0.000774766049716666,"DNA"
14,10876,0.000962242269809119,"DNA"
15,14111,0.00124845537599085,"DNA"
16,13875,0.00122757553269598,"DNA"
17,15909,0.0014075314702458,"DNA"
18,20025,0.00177169009313421,"DNA"
19,23466,0.00207612882524281,"DNA"
20,24976,0.00220972443276504,"DNA"
21,33051,0.00292415127431604,"DNA"
22,35403,0.00313224191596655,"DNA"
23,42065,0.00372165511948516,"DNA"
24,47092,0.00416641347644824,"DNA"
25,48014,0.00424798642355784,"DNA"
26,48424,0.00428426072758705,"DNA"
27,49958,0.00441997970900368,"DNA"
28,47757,0.00422524862810538,"DNA"
29,54086,0.00478520001883928,"DNA"
30,51824,0.00458507202929274,"DNA"
31,48365,0.00427904076676334,"DNA"
32,47082,0.00416552873732557,"DNA"
33,46607,0.00412350362899905,"DNA"
34,41380,0.00366105048958269,"DNA"
35,41887,0.00370590676310174,"DNA"
36,31629,0.00279834137107325,"DNA"
37,28122,0.00248806336075506,"DNA"
38,20055,0.0017743443105022,"DNA"
39,19031,0.00168374702434143,"DNA"
40,13573,0.00120085641119154,"DNA"
41,11331,0.00100249789989032,"DNA"
42,12595,0.00111432892499502,"DNA"
43,8875,0.000785205971364098,"DNA"
44,6348,0.000561632395066963,"DNA"
45,5055,0.000447235626506537,"DNA"
46,2812,0.000248788641293053,"DNA"
47,1531,0.000135453559679824,"DNA"
48,1598,0.000141381311801671,"DNA"
49,931,8.23692123199972e-05,"DNA"
50,610,5.39690864824901e-05,"DNA"
51,645,5.70656734118133e-05,"DNA"
52,913,8.07766818992025e-05,"DNA"
53,767,6.78594907083114e-05,"DNA"
54,946,8.36963210039929e-05,"DNA"
55,701,6.20202124987305e-05,"DNA"
56,0,0,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,45702,0.00404343473839797,"LINE"
1,32697,0.00289283150937374,"LINE"
2,46015,0.00407112707293735,"LINE"
3,84670,0.00749108615159416,"LINE"
4,173956,0.0153905678822099,"LINE"
5,381499,0.0337527090557107,"LINE"
6,579791,0.0512963780668351,"LINE"
7,744271,0.0658485671564089,"LINE"
8,947680,0.0838449571766004,"LINE"
9,1091521,0.0965711331909084,"LINE"
