"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,1004187,0.152629822711326,"DNA"
1,1758421,0.267268432554766,"DNA"
2,2330342,0.354196664880901,"DNA"
3,1919835,0.291802299457172,"DNA"
4,1597758,0.242848712715463,"DNA"
5,1314063,0.199728937659533,"DNA"
6,1162437,0.176682782413122,"DNA"
7,1026973,0.156093144921532,"DNA"
8,957733,0.145569120088974,"DNA"
9,902547,0.137181210868732,"DNA"
10,848520,0.128969462029497,"DNA"
11,836102,0.127082007662502,"DNA"
12,846340,0.128638116360303,"DNA"
13,828597,0.125941296998604,"DNA"
14,812841,0.123546488574834,"DNA"
15,779620,0.118497114961859,"DNA"
16,740470,0.112546572324732,"DNA"
17,695364,0.105690756840946,"DNA"
18,605261,0.0919956931568323,"DNA"
19,559078,0.0849761807529901,"DNA"
20,489883,0.0744589956246124,"DNA"
21,441861,0.0671599673099227,"DNA"
22,377216,0.0573343522709173,"DNA"
23,325674,0.049500307095878,"DNA"
24,258504,0.0392909086556276,"DNA"
25,202310,0.0307497900617399,"DNA"
26,156291,0.0237552045798003,"DNA"
27,118540,0.0180173007459772,"DNA"
28,93969,0.0142826702699404,"DNA"
29,71890,0.0109268074120828,"DNA"
30,59987,0.00911762965959958,"DNA"
31,45004,0.00684031215431043,"DNA"
32,33946,0.00515956884699631,"DNA"
33,32130,0.00488354878495231,"DNA"
34,24538,0.00372961469297105,"DNA"
35,27590,0.00419349862984234,"DNA"
36,21233,0.00322727641926214,"DNA"
37,21676,0.00329460950708454,"DNA"
38,20834,0.0031666310421941,"DNA"
39,13449,0.00204415958944363,"DNA"
40,11597,0.00176266776405515,"DNA"
41,11676,0.00177467524472777,"DNA"
42,7827,0.00118965254714665,"DNA"
43,4578,0.000695825905306931,"DNA"
44,2475,0.000376183729933302,"DNA"
45,2156,0.000327697826964121,"DNA"
46,330,5.01578306577735e-05,"DNA"
47,180,2.73588167224219e-05,"DNA"
48,116,1.76312374433386e-05,"DNA"
49,440,6.68771075436981e-05,"DNA"
50,0,0,"DNA"
51,0,0,"DNA"
52,0,0,"DNA"
53,11,1.67192768859245e-06,"DNA"
54,0,0,"DNA"
55,0,0,"DNA"
56,0,0,"DNA"
57,77,1.17034938201472e-05,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,449295,0.0682898864405587,"LINE"
1,1264048,0.192126986446356,"LINE"
2,1474455,0.224107467280326,"LINE"
3,1127058,0.17130540698633,"LINE"
4,929284,0.141245059105995,"LINE"
5,736798,0.111988452463595,"LINE"
6,594821,0.0904088817869319,"LINE"
7,507456,0.0771299761038519,"LINE"
8,501736,0.0762605737057838,"LINE"
9,475384,0.0722552429376213,"LINE"
10,428902,0.0651902844993345,"LINE"
11,422337,0.0641924476560973,"LINE"
12,386407,0.0587313238514494,"LINE"
13,381464,0.0579800203455664,"LINE"
14,369803,0.0562076250022322,"LINE"
15,345707,0.0525451914036573,"LINE"
16,309279,0.0470083748727441,"LINE"
17,306638,0.0466069602340557,"LINE"
18,274408,0.0417082121064798,"LINE"
19,246092,0.0374043662491903,"LINE"
20,234733,0.0356778729205793,"LINE"
21,215160,0.0327029055888683,"LINE"
22,186398,0.0283312706634778,"LINE"
23,175392,0.0266584310143279,"LINE"
24,162551,0.0247066834280356,"LINE"
