"divergence","sequence.lengths_bp","percent.of.genome","repeat.group"
0,6881,0.000266912102915498,"DNA"
1,5691,0.000220752329267853,"DNA"
2,18722,0.000726221245572438,"DNA"
3,77916,0.00302234027187384,"DNA"
4,227692,0.00883211023645335,"DNA"
5,605425,0.0234842697148111,"DNA"
6,1260108,0.0488792437408287,"DNA"
7,1654361,0.0641722094886478,"DNA"
8,2016755,0.07822937336366,"DNA"
9,2236326,0.0867464722372625,"DNA"
10,2516960,0.0976321881346013,"DNA"
11,2952997,0.114545943783339,"DNA"
12,3234810,0.125477392767342,"DNA"
13,3260764,0.12648414130957,"DNA"
14,3124540,0.121200049708413,"DNA"
15,2926131,0.113503819011223,"DNA"
16,2813643,0.109140440340571,"DNA"
17,2699386,0.104708442645059,"DNA"
18,2667526,0.103472601982527,"DNA"
19,2683058,0.104075084002943,"DNA"
20,2676929,0.103837341773795,"DNA"
21,2661795,0.103250298064229,"DNA"
22,2574442,0.0998618991504112,"DNA"
23,2499316,0.096947782213392,"DNA"
24,2352350,0.0912470113781821,"DNA"
25,2262220,0.087750893395945,"DNA"
26,2117791,0.0821485320949738,"DNA"
27,2013491,0.0781027636987979,"DNA"
28,1776706,0.0689179384860605,"DNA"
29,1652177,0.0640874927276004,"DNA"
30,1445920,0.056086840262691,"DNA"
31,1206279,0.0467912315931992,"DNA"
32,1095382,0.042489567376222,"DNA"
33,890566,0.0345448109061246,"DNA"
34,753765,0.0292383376332074,"DNA"
35,613472,0.0237964106379561,"DNA"
36,476027,0.0184649567816532,"DNA"
37,370107,0.0143563490297553,"DNA"
38,306982,0.0119077475915136,"DNA"
39,221788,0.00860309569559983,"DNA"
40,167879,0.00651198036991002,"DNA"
41,126179,0.00489444880595474,"DNA"
42,90125,0.00349592403360838,"DNA"
43,66368,0.00257439651886292,"DNA"
44,41647,0.0016154757084903,"DNA"
45,34826,0.00135089098912006,"DNA"
46,18508,0.000717920244261013,"DNA"
47,17053,0.000661481193288473,"DNA"
48,9987,0.000387392991108426,"DNA"
49,7014,0.000272071136440823,"DNA"
50,7574,0.000293793382863244,"DNA"
51,1898,7.36228994817054e-05,"DNA"
52,2338,9.06903788136076e-05,"DNA"
53,622,2.4127209419189e-05,"DNA"
54,293,1.13653896460167e-05,"DNA"
55,235,9.11558555226594e-06,"DNA"
56,1875,7.27307357893559e-05,"DNA"
57,0,0,"DNA"
58,0,0,"DNA"
59,0,0,"DNA"
60,0,0,"DNA"
61,0,0,"DNA"
62,0,0,"DNA"
63,0,0,"DNA"
64,0,0,"DNA"
65,0,0,"DNA"
66,0,0,"DNA"
67,0,0,"DNA"
68,0,0,"DNA"
69,0,0,"DNA"
70,0,0,"DNA"
0,1451027,0.0562849393921183,"LINE"
1,3797365,0.147298746939065,"LINE"
2,7077568,0.274536921727574,"LINE"
3,12351711,0.479119482286657,"LINE"
4,15483751,0.600610454938227,"LINE"
5,13418347,0.520494000206345,"LINE"
6,9837197,0.381582173821251,"LINE"
7,7828117,0.303650511602755,"LINE"
8,7362269,0.285580395439555,"LINE"
9,7867877,0.305192791098747,"LINE"
10,8814821,0.341924489163449,"LINE"
11,10266709,0.398242826509441,"LINE"
12,10587561,0.410688587597168,"LINE"
13,10606121,0.411408524907168,"LINE"
14,10831575,0.420153823737383,"LINE"
15,11197635,0.434353190747011,"LINE"
16,12066248,0.46804645080365,"LINE"
17,12639057,0.490265554823259,"LINE"
18,13120022,0.508922055270687,"LINE"
19,13182240,0.511335474427669,"LINE"
20,12868410,0.49916209479419,"LINE"
21,12886828,0.499876523963133,"LINE"
22,12426868,0.482034801705174,"LINE"
23,12056448,0.467666311491258,"LINE"
24,12147607,0.471202344101296,"LINE"
25,12123439,0.470264874009266,"LINE"
26,12102602,0.469456612493723,"LINE"
27,11761814,0.456237539433359,"LINE"
28,11544839,0.447821138687815,"LINE"
29,10874040,0.42180102944154,"LINE"
30,10481442,0.406572260689845,"LINE"
31,9945007,0.385764094154824,"LINE"
32,9395561,0.364451234498014,"LINE"
33,8731541,0.338694080802629,"LINE"
34,7901706,0.30650500873129,"LINE"
35,7136032,0.276804724254074,"LINE"
36,6183944,0.239873491840092,"LINE"
37,5339690,0.207125110713102,"LINE"
38,4371221,0.169558463801538,"LINE"
39,3484686,0.135170014279929,"LINE"
40,2771732,0.107514724144482,"LINE"
41,2163308,0.0839141240421333,"LINE"
42,1573449,0.061033655198414,"LINE"
43,1217311,0.0472191598477209,"LINE"
44,875671,0.0339670379410139,"LINE"
45,614801,0.0238479621834836,"LINE"
46,443445,0.0172011099371258,"LINE"
47,303380,0.0117680269993466,"LINE"
48,181861,0.00705433831540697,"LINE"
49,139879,0.00542586804878897,"LINE"
50,94127,0.00365116051607718,"LINE"
51,55694,0.00216035498616127,"LINE"
52,34832,0.00135112372747458,"LINE"
53,28884,0.00112040243868787,"LINE"
54,14265,0.00055333543788542,"LINE"
55,8737,0.000338905833915522,"LINE"
56,7212,0.000279751502140179,"LINE"
57,6292,0.000244064954446201,"LINE"
58,3294,0.000127773356634741,"LINE"
59,1477,5.72924249391353e-05,"LINE"
60,1130,4.38323901023852e-05,"LINE"
61,641,2.48642142085212e-05,"LINE"
62,0,0,"LINE"
63,58,2.24980409375074e-06,"LINE"
64,0,0,"LINE"
65,0,0,"LINE"
66,0,0,"LINE"
67,0,0,"LINE"
68,0,0,"LINE"
69,0,0,"LINE"
70,0,0,"LINE"
0,105643,0.00409786299786396,"LTR"
