species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Esox lucius,11,55408060,1906,3.43993274624667e-05,918731919,30964
Esox lucius,7,50849486,1765,3.47102820272362e-05,918731919,30964
Esox lucius,17,48487768,1480,3.05231620477973e-05,918731919,30964
Esox lucius,19,47534874,1481,3.11560729076509e-05,918731919,30964
Esox lucius,20,45703413,1780,3.89467631224828e-05,918731919,30964
Esox lucius,1,43167732,1223,2.83313471275257e-05,918731919,30964
Esox lucius,2,39970751,1019,2.54936415880702e-05,918731919,30964
Esox lucius,13,39760776,1391,3.49842266659987e-05,918731919,30964
Esox lucius,8,38781828,1174,3.02719098233327e-05,918731919,30964
Esox lucius,5,38248258,1251,3.27073719278928e-05,918731919,30964
Esox lucius,14,37473588,1335,3.56250914644202e-05,918731919,30964
Esox lucius,12,37358143,1457,3.90008678964583e-05,918731919,30964
Esox lucius,3,36486603,1441,3.94939479567336e-05,918731919,30964
Esox lucius,15,35391273,1141,3.22395862957515e-05,918731919,30964
Esox lucius,4,34969986,1051,3.00543443168665e-05,918731919,30964
Esox lucius,16,34844506,1018,2.92155096129071e-05,918731919,30964
Esox lucius,21,32541831,888,2.7287954387078e-05,918731919,30964
Esox lucius,6,31418460,983,3.12873387174292e-05,918731919,30964
Esox lucius,10,30920508,1184,3.82917382858005e-05,918731919,30964
Esox lucius,24,29716333,1214,4.08529545014858e-05,918731919,30964
Esox lucius,18,28550130,953,3.33798830338076e-05,918731919,30964
Esox lucius,9,26064393,1266,4.85720116328817e-05,918731919,30964
Esox lucius,23,25372640,847,3.33824150738749e-05,918731919,30964
Esox lucius,22,25236946,867,3.43543945452037e-05,918731919,30964
Esox lucius,25,22595819,728,3.22183497752394e-05,918731919,30964
Esox lucius,JAAIYR010000026.1,229003,31,0.000135369405640974,918731919,30964
Esox lucius,JAAIYR010000029.1,162128,2,1.23359321030297e-05,918731919,30964
Esox lucius,JAAIYR010000027.1,130927,22,0.000168032567766771,918731919,30964
Esox lucius,JAAIYR010000031.1,127474,5,3.92236848298477e-05,918731919,30964
Esox lucius,JAAIYR010000032.1,126222,3,2.37676474782526e-05,918731919,30964
Esox lucius,JAAIYR010000033.1,122495,8,6.53087881138006e-05,918731919,30964
Esox lucius,JAAIYR010000034.1,119936,2,1.6675560298826e-05,918731919,30964
Esox lucius,JAAIYR010000028.1,91183,3,3.29008696796552e-05,918731919,30964
Esox lucius,JAAIYR010000036.1,75415,9,0.000119339653915004,918731919,30964
Esox lucius,JAAIYR010000038.1,63962,3,4.69028485663363e-05,918731919,30964
Esox lucius,JAAIYR010000041.1,33925,2,5.89535740604274e-05,918731919,30964
Esox lucius,JAAIYR010000046.1,25130,3,0.000119379228014326,918731919,30964
Esox lucius,MT,16695,23,0.00137765798143157,918731919,30964
