species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Sus scrofa,1,274330532,3223,1.17486011363839e-05,2501895775,35670
Sus scrofa,13,208334590,2636,1.26527236787708e-05,2501895775,35670
Sus scrofa,6,170843587,3162,1.85081574059903e-05,2501895775,35670
Sus scrofa,2,151935994,2962,1.94950513174646e-05,2501895775,35670
Sus scrofa,14,141755446,1970,1.38971733050736e-05,2501895775,35670
Sus scrofa,15,140412725,1625,1.15730251656322e-05,2501895775,35670
Sus scrofa,9,139512083,2105,1.50882988393199e-05,2501895775,35670
Sus scrofa,8,138966237,1430,1.02902692831785e-05,2501895775,35670
Sus scrofa,3,132848913,2102,1.58224855027606e-05,2501895775,35670
Sus scrofa,4,130910915,1841,1.40629984902328e-05,2501895775,35670
Sus scrofa,X,125939595,1405,1.1156141958373e-05,2501895775,35670
Sus scrofa,7,121844099,2099,1.72269319337328e-05,2501895775,35670
Sus scrofa,5,104526007,1789,1.7115357711885e-05,2501895775,35670
Sus scrofa,16,79944280,864,1.0807527442864e-05,2501895775,35670
Sus scrofa,11,79169978,748,9.44802586657281e-06,2501895775,35670
Sus scrofa,10,69359453,882,1.27163632619767e-05,2501895775,35670
Sus scrofa,17,63494081,970,1.52770145614046e-05,2501895775,35670
Sus scrofa,12,61602749,1524,2.4739155715275e-05,2501895775,35670
Sus scrofa,18,55982971,793,1.41650217170504e-05,2501895775,35670
Sus scrofa,Y,43547828,131,3.00818676880969e-06,2501895775,35670
Sus scrofa,AEMK02000452.1,3843259,101,2.62797797390184e-05,2501895775,35670
Sus scrofa,AEMK02000698.1,2641821,29,1.09772766587895e-05,2501895775,35670
Sus scrofa,AEMK02000361.1,2125600,22,1.0350018818216e-05,2501895775,35670
Sus scrofa,AEMK02000598.1,2117578,47,2.21951682535425e-05,2501895775,35670
Sus scrofa,AEMK02000682.1,2088057,95,4.54968422796887e-05,2501895775,35670
Sus scrofa,AEMK02000449.1,1437513,41,2.85214811970396e-05,2501895775,35670
Sus scrofa,AEMK02000677.1,1284139,12,9.34478276884356e-06,2501895775,35670
Sus scrofa,AEMK02000408.1,1187208,9,7.58081145005762e-06,2501895775,35670
Sus scrofa,AEMK02000569.1,1159966,16,1.37935077407441e-05,2501895775,35670
Sus scrofa,AEMK02000393.1,914028,10,1.09405838770804e-05,2501895775,35670
Sus scrofa,AEMK02000510.1,899810,6,6.66807437125615e-06,2501895775,35670
Sus scrofa,AEMK02000328.1,734522,18,2.45057329800877e-05,2501895775,35670
Sus scrofa,AEMK02000465.1,725547,10,1.37827046352614e-05,2501895775,35670
Sus scrofa,AEMK02000133.1,663541,3,4.52119763511222e-06,2501895775,35670
Sus scrofa,AEMK02000661.1,658525,22,3.34079951406553e-05,2501895775,35670
Sus scrofa,AEMK02000261.1,631996,40,6.32915398198723e-05,2501895775,35670
Sus scrofa,AEMK02000324.1,463454,5,1.07885572246652e-05,2501895775,35670
