species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Crocodylus porosus,MDVP01000001.1,270692262,1816,6.70872520175697e-06,2049519336,19207
Crocodylus porosus,MDVP01000028.1,203625132,1297,6.36954774325205e-06,2049519336,19207
Crocodylus porosus,MDVP01000050.1,143779068,1270,8.83299646927743e-06,2049519336,19207
Crocodylus porosus,MDVP01000061.1,131974632,1188,9.00172996883219e-06,2049519336,19207
Crocodylus porosus,MDVP01000065.1,117929553,1076,9.12409122758228e-06,2049519336,19207
Crocodylus porosus,MDVP01000039.1,109106476,696,6.37908972515985e-06,2049519336,19207
Crocodylus porosus,MDVP01000067.1,84437661,731,8.65727438849828e-06,2049519336,19207
Crocodylus porosus,MDVP01000066.1,80678228,527,6.53212165244879e-06,2049519336,19207
Crocodylus porosus,MDVP01000030.1,75875076,499,6.57659967286227e-06,2049519336,19207
Crocodylus porosus,MDVP01000068.1,73173314,448,6.12245059722182e-06,2049519336,19207
Crocodylus porosus,MDVP01000029.1,66201059,710,1.0724903962639e-05,2049519336,19207
Crocodylus porosus,MDVP01000069.1,60305753,513,8.50665109844495e-06,2049519336,19207
Crocodylus porosus,MDVP01000031.1,45393205,440,9.69308071549475e-06,2049519336,19207
Crocodylus porosus,MDVP01000032.1,42306551,468,1.10621165974981e-05,2049519336,19207
Crocodylus porosus,MDVP01000036.1,41294510,444,1.07520345924918e-05,2049519336,19207
Crocodylus porosus,MDVP01000033.1,40567063,236,5.81752738668806e-06,2049519336,19207
Crocodylus porosus,MDVP01000035.1,37982970,441,1.16104664801094e-05,2049519336,19207
Crocodylus porosus,MDVP01000038.1,36309902,341,9.39137759171038e-06,2049519336,19207
Crocodylus porosus,MDVP01000034.1,35591774,203,5.70356509905913e-06,2049519336,19207
Crocodylus porosus,MDVP01000037.1,29738152,259,8.7093508702222e-06,2049519336,19207
Crocodylus porosus,MDVP01000041.1,28007247,414,1.47818884162374e-05,2049519336,19207
Crocodylus porosus,MDVP01000048.1,20852620,329,1.57773939198048e-05,2049519336,19207
Crocodylus porosus,MDVP01000045.1,20244435,382,1.88693831168911e-05,2049519336,19207
Crocodylus porosus,MDVP01000046.1,19343079,347,1.79392329421805e-05,2049519336,19207
Crocodylus porosus,MDVP01000043.1,18989148,196,1.03216847854364e-05,2049519336,19207
Crocodylus porosus,MDVP01000040.1,18284174,119,6.50836072769817e-06,2049519336,19207
Crocodylus porosus,MDVP01000044.1,18120080,189,1.04304175257504e-05,2049519336,19207
Crocodylus porosus,MDVP01000051.1,18085138,332,1.83576149653931e-05,2049519336,19207
Crocodylus porosus,MDVP01000042.1,17921272,255,1.42289007164224e-05,2049519336,19207
Crocodylus porosus,MDVP01000047.1,16556422,300,1.81198570560717e-05,2049519336,19207
Crocodylus porosus,MDVP01000055.1,12259890,159,1.29691212563897e-05,2049519336,19207
Crocodylus porosus,MDVP01000060.1,11555087,161,1.39332572744801e-05,2049519336,19207
Crocodylus porosus,MDVP01000049.1,10052167,123,1.22361675845616e-05,2049519336,19207
Crocodylus porosus,MDVP01000054.1,8906649,227,2.54865774995736e-05,2049519336,19207
