species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Urocitellus parryii,QVIC01000001.1,24880809,204,8.19909031093e-06,2520505282,23515
Urocitellus parryii,QVIC01000002.1,23469059,167,7.11575185012744e-06,2520505282,23515
Urocitellus parryii,QVIC01000003.1,23211823,136,5.85908310605332e-06,2520505282,23515
Urocitellus parryii,QVIC01000004.1,21667364,106,4.8921502403338e-06,2520505282,23515
Urocitellus parryii,QVIC01000005.1,20065445,227,1.13129810976034e-05,2520505282,23515
Urocitellus parryii,QVIC01000006.1,19143185,175,9.14163447723041e-06,2520505282,23515
Urocitellus parryii,QVIC01000007.1,18871970,143,7.57737533495443e-06,2520505282,23515
Urocitellus parryii,QVIC01000008.1,17576543,78,4.43773272138896e-06,2520505282,23515
Urocitellus parryii,QVIC01000009.1,16586688,120,7.23471738300015e-06,2520505282,23515
Urocitellus parryii,QVIC01000010.1,15721083,75,4.77066370045881e-06,2520505282,23515
Urocitellus parryii,QVIC01000011.1,13953922,80,5.73315516598129e-06,2520505282,23515
Urocitellus parryii,QVIC01000012.1,13355853,75,5.61551553464986e-06,2520505282,23515
Urocitellus parryii,QVIC01000014.1,12984965,52,4.00463151036603e-06,2520505282,23515
Urocitellus parryii,QVIC01000013.1,12922048,71,5.49448508471722e-06,2520505282,23515
Urocitellus parryii,QVIC01000015.1,12533742,74,5.90406280901586e-06,2520505282,23515
Urocitellus parryii,QVIC01000016.1,12504694,79,6.31762760448197e-06,2520505282,23515
Urocitellus parryii,QVIC01000017.1,12319474,37,3.00337498175653e-06,2520505282,23515
Urocitellus parryii,QVIC01000018.1,11606693,92,7.92646105139509e-06,2520505282,23515
Urocitellus parryii,QVIC01000019.1,11391601,62,5.44260635533144e-06,2520505282,23515
Urocitellus parryii,QVIC01000020.1,10654216,137,1.28587593868944e-05,2520505282,23515
Urocitellus parryii,QVIC01000021.1,10492428,65,6.19494362982524e-06,2520505282,23515
Urocitellus parryii,QVIC01000022.1,10188412,92,9.029866479683e-06,2520505282,23515
Urocitellus parryii,QVIC01000023.1,10093203,49,4.85475225258028e-06,2520505282,23515
Urocitellus parryii,QVIC01000026.1,9921298,198,1.99570661016331e-05,2520505282,23515
Urocitellus parryii,QVIC01000025.1,9737670,139,1.42744619606128e-05,2520505282,23515
Urocitellus parryii,QVIC01000024.1,9725443,95,9.76819256459577e-06,2520505282,23515
Urocitellus parryii,QVIC01000028.1,9710548,57,5.86990559132193e-06,2520505282,23515
Urocitellus parryii,QVIC01000027.1,9556525,160,1.67424874627545e-05,2520505282,23515
Urocitellus parryii,QVIC01000030.1,9251514,125,1.35113020420225e-05,2520505282,23515
Urocitellus parryii,QVIC01000034.1,9236436,99,1.07184199619853e-05,2520505282,23515
Urocitellus parryii,QVIC01000029.1,9190221,89,9.6842067236468e-06,2520505282,23515
Urocitellus parryii,QVIC01000032.1,9146616,51,5.5758326358076e-06,2520505282,23515
Urocitellus parryii,QVIC01000031.1,9080920,24,2.64290402294041e-06,2520505282,23515
Urocitellus parryii,QVIC01000035.1,9053616,42,4.63903041613428e-06,2520505282,23515
