species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Oreochromis niloticus,LG3,87567345,2553,2.91547037311683e-05,1005664923,33437
Oreochromis niloticus,LG7,64772279,2320,3.58177917439033e-05,1005664923,33437
Oreochromis niloticus,LG23,45655644,1535,3.36212539242684e-05,1005664923,33437
Oreochromis niloticus,LG6,42433576,1488,3.50665708683143e-05,1005664923,33437
Oreochromis niloticus,LG1,40673430,1187,2.91836710107803e-05,1005664923,33437
Oreochromis niloticus,LG14,40509636,1413,3.48805898922419e-05,1005664923,33437
Oreochromis niloticus,LG5,39714817,1419,3.57297378457013e-05,1005664923,33437
Oreochromis niloticus,LG15,39688505,1310,3.3007038183978e-05,1005664923,33437
Oreochromis niloticus,LG11,39275952,1399,3.56197604070807e-05,1005664923,33437
Oreochromis niloticus,LG22,39199643,1433,3.6556455373841e-05,1005664923,33437
Oreochromis niloticus,LG17,38839487,1081,2.78324994354328e-05,1005664923,33437
Oreochromis niloticus,LG18,38636442,1518,3.92893320766959e-05,1005664923,33437
Oreochromis niloticus,LG12,38600464,1385,3.58803977071364e-05,1005664923,33437
Oreochromis niloticus,LG20,37140374,1379,3.71294053204742e-05,1005664923,33437
Oreochromis niloticus,LG2,36523203,1092,2.98988015919633e-05,1005664923,33437
Oreochromis niloticus,LG16,36041493,1154,3.20186513916058e-05,1005664923,33437
Oreochromis niloticus,LG9,35850837,978,2.7279697821281e-05,1005664923,33437
Oreochromis niloticus,LG4,35549522,1606,4.5176416155469e-05,1005664923,33437
Oreochromis niloticus,LG13,34734273,1062,3.05749885710865e-05,1005664923,33437
Oreochromis niloticus,LG10,34704454,1231,3.54709513654933e-05,1005664923,33437
Oreochromis niloticus,LG19,30963196,1183,3.82066502437281e-05,1005664923,33437
Oreochromis niloticus,LG8,30527416,1080,3.53780352716391e-05,1005664923,33437
Oreochromis niloticus,MKQE02001612.1,1418946,44,3.10089319819077e-05,1005664923,33437
Oreochromis niloticus,MKQE02002456.1,994649,27,2.71452542555213e-05,1005664923,33437
Oreochromis niloticus,MKQE02000241.1,948737,13,1.37024275431442e-05,1005664923,33437
Oreochromis niloticus,MKQE02000530.1,932000,25,2.68240343347639e-05,1005664923,33437
Oreochromis niloticus,MKQE02000226.1,922739,15,1.62559510327406e-05,1005664923,33437
Oreochromis niloticus,MKQE02000095.1,918246,39,4.24722786704217e-05,1005664923,33437
Oreochromis niloticus,MKQE02000442.1,737563,18,2.44046949209762e-05,1005664923,33437
Oreochromis niloticus,MKQE02000205.1,649342,9,1.38601846176591e-05,1005664923,33437
Oreochromis niloticus,MKQE02001882.1,641214,14,2.18335844195542e-05,1005664923,33437
Oreochromis niloticus,MKQE02000096.1,552928,11,1.98940910932346e-05,1005664923,33437
Oreochromis niloticus,MKQE02000228.1,520329,34,6.53432731983034e-05,1005664923,33437
Oreochromis niloticus,MKQE02001809.1,519660,12,2.30920217065004e-05,1005664923,33437
Oreochromis niloticus,MKQE02000631.1,510643,10,1.95831530051327e-05,1005664923,33437
Oreochromis niloticus,MKQE02001523.1,503315,18,3.57628920258685e-05,1005664923,33437
Oreochromis niloticus,MKQE02000209.1,493719,14,2.83562107190527e-05,1005664923,33437
Oreochromis niloticus,MKQE02001780.1,485431,8,1.64802000696288e-05,1005664923,33437
Oreochromis niloticus,MKQE02000425.1,471617,12,2.54443754147963e-05,1005664923,33437
Oreochromis niloticus,MKQE02002458.1,458168,11,2.40086605786524e-05,1005664923,33437
Oreochromis niloticus,MKQE02000249.1,456129,18,3.94625204711825e-05,1005664923,33437
Oreochromis niloticus,MKQE02000416.1,441392,9,2.03900387863849e-05,1005664923,33437
Oreochromis niloticus,MKQE02000391.1,435223,6,1.378603612401e-05,1005664923,33437
Oreochromis niloticus,MKQE02000500.1,430706,11,2.553946311405e-05,1005664923,33437
