species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Aotus nancymaae,KZ203792.1,42888418,504,1.17514243589027e-05,2861668348,28919
Aotus nancymaae,KZ203698.1,37303394,423,1.1339450774908e-05,2861668348,28919
Aotus nancymaae,KZ202524.1,33973456,389,1.14501156432245e-05,2861668348,28919
Aotus nancymaae,KZ202280.1,33210471,337,1.01474020046268e-05,2861668348,28919
Aotus nancymaae,KZ206464.1,32172056,248,7.70855303745586e-06,2861668348,28919
Aotus nancymaae,KZ197258.1,27932887,274,9.80922594932633e-06,2861668348,28919
Aotus nancymaae,KZ206965.1,27760200,246,8.86160762530529e-06,2861668348,28919
Aotus nancymaae,KZ202417.1,25620257,99,3.86412985630862e-06,2861668348,28919
Aotus nancymaae,KZ197012.1,23613886,203,8.59663674161889e-06,2861668348,28919
Aotus nancymaae,KZ201897.1,22879264,138,6.03166255697736e-06,2861668348,28919
Aotus nancymaae,KZ202344.1,22291198,294,1.318906233752e-05,2861668348,28919
Aotus nancymaae,KZ204317.1,21849567,342,1.56524840972821e-05,2861668348,28919
Aotus nancymaae,KZ195829.1,21782819,151,6.93206880156329e-06,2861668348,28919
Aotus nancymaae,KZ199729.1,19681183,279,1.41759771249523e-05,2861668348,28919
Aotus nancymaae,KZ196594.1,18983484,112,5.89986537771465e-06,2861668348,28919
Aotus nancymaae,KZ207330.1,18318087,325,1.77420273197742e-05,2861668348,28919
Aotus nancymaae,KZ195588.1,17862339,117,6.55009402743952e-06,2861668348,28919
Aotus nancymaae,KZ201076.1,17510603,160,9.1373209706142e-06,2861668348,28919
Aotus nancymaae,KZ200543.1,17113052,128,7.47967107211502e-06,2861668348,28919
Aotus nancymaae,KZ208815.1,17091723,188,1.09994761792009e-05,2861668348,28919
Aotus nancymaae,KZ208238.1,16599674,208,1.25303665602108e-05,2861668348,28919
Aotus nancymaae,KZ204057.1,15889662,89,5.60112606548837e-06,2861668348,28919
Aotus nancymaae,KZ196241.1,15679484,163,1.03957502683124e-05,2861668348,28919
Aotus nancymaae,KZ200265.1,15618981,101,6.46649099579544e-06,2861668348,28919
Aotus nancymaae,KZ199586.1,15603535,227,1.45479854404787e-05,2861668348,28919
Aotus nancymaae,KZ198867.1,15413533,90,5.83902470640573e-06,2861668348,28919
Aotus nancymaae,KZ196472.1,15150071,132,8.71283045472196e-06,2861668348,28919
Aotus nancymaae,KZ206783.1,15105047,79,5.23003999921351e-06,2861668348,28919
Aotus nancymaae,KZ204805.1,15034901,75,4.98839333893851e-06,2861668348,28919
Aotus nancymaae,KZ201428.1,14941987,54,3.61397717719872e-06,2861668348,28919
Aotus nancymaae,KZ199521.1,14685415,118,8.03518320728423e-06,2861668348,28919
Aotus nancymaae,KZ198254.1,14511534,78,5.37503478267701e-06,2861668348,28919
Aotus nancymaae,KZ201810.1,14477005,217,1.49892881849526e-05,2861668348,28919
Aotus nancymaae,KZ200915.1,14285470,119,8.33014244543582e-06,2861668348,28919
Aotus nancymaae,KZ207216.1,13997296,62,4.42942694074627e-06,2861668348,28919
Aotus nancymaae,KZ203850.1,13996380,125,8.93088069915221e-06,2861668348,28919
Aotus nancymaae,KZ205749.1,13888026,50,3.60022367469646e-06,2861668348,28919
Aotus nancymaae,KZ200264.1,13565125,114,8.40390339197022e-06,2861668348,28919
Aotus nancymaae,KZ201139.1,13143376,77,5.85846437018921e-06,2861668348,28919
Aotus nancymaae,KZ204138.1,13018661,91,6.98996617240437e-06,2861668348,28919
Aotus nancymaae,KZ197741.1,12854749,117,9.10169463441099e-06,2861668348,28919
Aotus nancymaae,KZ201992.1,12763275,76,5.95458454040989e-06,2861668348,28919
Aotus nancymaae,KZ202296.1,12499708,80,6.4001495074925e-06,2861668348,28919
Aotus nancymaae,KZ205187.1,12431305,66,5.3091771137463e-06,2861668348,28919
Aotus nancymaae,KZ201208.1,12336536,205,1.66173065113254e-05,2861668348,28919
Aotus nancymaae,KZ202076.1,12317016,152,1.23406513395777e-05,2861668348,28919
Aotus nancymaae,KZ199182.1,12310364,94,7.63584244950028e-06,2861668348,28919
Aotus nancymaae,KZ203304.1,12282305,90,7.32761480845818e-06,2861668348,28919
Aotus nancymaae,KZ199799.1,12198231,50,4.09895500421332e-06,2861668348,28919
Aotus nancymaae,KZ202257.1,12159789,106,8.71725652476371e-06,2861668348,28919
Aotus nancymaae,KZ204886.1,12154212,84,6.91118436966543e-06,2861668348,28919
Aotus nancymaae,KZ199641.1,12037152,127,1.05506684637695e-05,2861668348,28919
Aotus nancymaae,KZ203443.1,11923251,405,3.39672460136921e-05,2861668348,28919
Aotus nancymaae,KZ202533.1,11824386,83,7.01939195828012e-06,2861668348,28919
