species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Pogona vitticeps,CEMB01017322.1,14681335,140,9.53591754428327e-06,1816116151,25723
Pogona vitticeps,CEMB01545309.1,12679790,146,1.1514386279268e-05,1816116151,25723
Pogona vitticeps,CEMB01010255.1,11886202,147,1.23672809868114e-05,1816116151,25723
Pogona vitticeps,CEMB01023031.1,10978853,203,1.84900918156022e-05,1816116151,25723
Pogona vitticeps,CEMB01545306.1,10472086,117,1.11725591252784e-05,1816116151,25723
Pogona vitticeps,CEMB01545308.1,9837478,170,1.7280851860609e-05,1816116151,25723
Pogona vitticeps,CEMB01545310.1,9770732,222,2.27209179414603e-05,1816116151,25723
Pogona vitticeps,CEMB01015345.1,9149714,148,1.61753689787462e-05,1816116151,25723
Pogona vitticeps,CEMB01031817.1,8758824,100,1.14170578150674e-05,1816116151,25723
Pogona vitticeps,CEMB01029512.1,8630157,86,9.96505625563938e-06,1816116151,25723
Pogona vitticeps,CEMB01023577.1,8409928,77,9.1558453294725e-06,1816116151,25723
Pogona vitticeps,CEMB01006654.1,7701900,65,8.4394759734611e-06,1816116151,25723
Pogona vitticeps,CEMB01011433.1,7555732,67,8.86743997801934e-06,1816116151,25723
Pogona vitticeps,CEMB01006607.1,7418202,78,1.05146772762456e-05,1816116151,25723
Pogona vitticeps,CEMB01024453.1,7401090,52,7.02599211737731e-06,1816116151,25723
Pogona vitticeps,CEMB01031415.1,7250539,78,1.07578209013151e-05,1816116151,25723
Pogona vitticeps,CEMB01019061.1,7249890,80,1.10346501808993e-05,1816116151,25723
Pogona vitticeps,CEMB01013270.1,7230300,96,1.32774573669142e-05,1816116151,25723
Pogona vitticeps,CEMB01009732.1,6887748,134,1.94548348749112e-05,1816116151,25723
Pogona vitticeps,CEMB01030757.1,6710416,65,9.68643374717752e-06,1816116151,25723
Pogona vitticeps,CEMB01005014.1,6710168,123,1.83303905356766e-05,1816116151,25723
Pogona vitticeps,CEMB01014574.1,6672639,87,1.30383196213672e-05,1816116151,25723
Pogona vitticeps,CEMB01005754.1,6553959,64,9.76509007761568e-06,1816116151,25723
Pogona vitticeps,CEMB01026989.1,6447829,65,1.00809125055891e-05,1816116151,25723
Pogona vitticeps,CEMB01002960.1,6427768,58,9.02334994044589e-06,1816116151,25723
Pogona vitticeps,CEMB01009036.1,6260683,73,1.1660069676104e-05,1816116151,25723
Pogona vitticeps,CEMB01024882.1,6222776,177,2.84438970645898e-05,1816116151,25723
Pogona vitticeps,CEMB01019488.1,6198032,41,6.61500295577693e-06,1816116151,25723
Pogona vitticeps,CEMB01009235.1,6165211,54,8.75882431274453e-06,1816116151,25723
Pogona vitticeps,CEMB01020745.1,6057022,74,1.22172249002893e-05,1816116151,25723
Pogona vitticeps,CEMB01024451.1,6053704,54,8.92015863345813e-06,1816116151,25723
Pogona vitticeps,CEMB01011937.1,5936712,269,4.53112766797513e-05,1816116151,25723
