"species","name","size.Mbp","genecount","genedens","asmblysize.Mbp"
"Pelusios castaneus","ML685755.1",57.519725,498,8.65789952924845,2044.278682
"Pelusios castaneus","ML685764.1",48.959711,501,10.2329035398105,2044.278682
"Pelusios castaneus","ML685769.1",42.20721,221,5.23607222557473,2044.278682
"Pelusios castaneus","ML685766.1",41.688964,238,5.70894493804164,2044.278682
"Pelusios castaneus","ML685756.1",35.343016,179,5.06464983067659,2044.278682
"Pelusios castaneus","ML685765.1",34.803302,396,11.3782307207517,2044.278682
"Pelusios castaneus","ML685768.1",34.195752,414,12.1067669457891,2044.278682
"Pelusios castaneus","ML685767.1",30.843272,197,6.38713039265095,2044.278682
"Pelusios castaneus","ML685785.1",30.428474,209,6.86856659325078,2044.278682
"Pelusios castaneus","ML685784.1",29.353827,149,5.07599911929712,2044.278682
"Pelusios castaneus","ML685779.1",28.796038,141,4.89650694307321,2044.278682
"Pelusios castaneus","ML685770.1",28.61253,357,12.4770511380853,2044.278682
"Pelusios castaneus","ML685783.1",28.448682,233,8.19018610422796,2044.278682
"Pelusios castaneus","ML685787.1",27.668512,187,6.758585355078,2044.278682
"Pelusios castaneus","ML685780.1",27.633038,119,4.30643927026771,2044.278682
"Pelusios castaneus","ML685793.1",26.194497,208,7.94059912660281,2044.278682
"Pelusios castaneus","ML685789.1",25.636679,239,9.32258035449911,2044.278682
"Pelusios castaneus","ML685777.1",24.99986,174,6.96003897621827,2044.278682
"Pelusios castaneus","ML685778.1",23.588692,255,10.8102645114871,2044.278682
"Pelusios castaneus","ML685781.1",22.799381,185,8.11425538263517,2044.278682
"Pelusios castaneus","ML685758.1",22.784192,161,7.06630281205495,2044.278682
"Pelusios castaneus","ML685771.1",22.14264,254,11.4710802325287,2044.278682
"Pelusios castaneus","ML685798.1",21.761752,132,6.06568809349541,2044.278682
"Pelusios castaneus","ML685786.1",21.541961,316,14.6690452183067,2044.278682
"Pelusios castaneus","ML685797.1",20.907102,103,4.92655557905634,2044.278682
"Pelusios castaneus","ML685791.1",19.979173,119,5.95620249146449,2044.278682
"Pelusios castaneus","ML685810.1",18.528947,224,12.0891921165299,2044.278682
"Pelusios castaneus","ML685763.1",18.185288,127,6.9836672369445,2044.278682
"Pelusios castaneus","ML685814.1",17.163207,239,13.9251364852734,2044.278682
"Pelusios castaneus","ML685804.1",16.780701,238,14.1829593412099,2044.278682
"Pelusios castaneus","ML685796.1",16.422054,92,5.60222247472819,2044.278682
"Pelusios castaneus","ML685809.1",16.096544,89,5.52913718621836,2044.278682
"Pelusios castaneus","ML685802.1",16.042184,60,3.74013912320168,2044.278682
"Pelusios castaneus","ML685801.1",15.63829,131,8.37687496522958,2044.278682
