species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count
Salvator merianae,QVOM01000001.1,99024201,800,8.0788331733169e-06,2026218827,23693
Salvator merianae,QVOM01000002.1,93665499,881,9.40581120482794e-06,2026218827,23693
Salvator merianae,QVOM01000003.1,68109538,601,8.82402109378572e-06,2026218827,23693
Salvator merianae,QVOM01000004.1,62440877,572,9.16066569660769e-06,2026218827,23693
Salvator merianae,QVOM01000005.1,61379431,448,7.29886205689981e-06,2026218827,23693
Salvator merianae,QVOM01000006.1,60754928,746,1.22788393395841e-05,2026218827,23693
Salvator merianae,QVOM01000007.1,57347249,672,1.17180860759337e-05,2026218827,23693
Salvator merianae,QVOM01000008.1,50031478,423,8.45467727337577e-06,2026218827,23693
Salvator merianae,QVOM01000009.1,39772266,438,1.10126991507097e-05,2026218827,23693
Salvator merianae,QVOM01000010.1,39635923,284,7.16521727020208e-06,2026218827,23693
Salvator merianae,QVOM01000011.1,37830480,337,8.90816082693109e-06,2026218827,23693
Salvator merianae,QVOM01000012.1,36672259,276,7.52612485639349e-06,2026218827,23693
Salvator merianae,QVOM01000013.1,34356789,418,1.21664454731203e-05,2026218827,23693
Salvator merianae,QVOM01000014.1,33325121,317,9.51234355608191e-06,2026218827,23693
Salvator merianae,QVOM01000015.1,32088578,273,8.5077001542418e-06,2026218827,23693
Salvator merianae,QVOM01000016.1,31337073,228,7.27572737887805e-06,2026218827,23693
Salvator merianae,QVOM01000017.1,30706083,417,1.35803710294146e-05,2026218827,23693
Salvator merianae,QVOM01000018.1,30703665,255,8.30519744141294e-06,2026218827,23693
Salvator merianae,QVOM01000019.1,30658616,435,1.41885074003341e-05,2026218827,23693
Salvator merianae,QVOM01000020.1,29816890,341,1.1436471073945e-05,2026218827,23693
Salvator merianae,QVOM01000021.1,28311015,196,6.92310042575302e-06,2026218827,23693
Salvator merianae,QVOM01000022.1,28146161,231,8.20715834035057e-06,2026218827,23693
Salvator merianae,QVOM01000023.1,27705407,292,1.05394589583181e-05,2026218827,23693
Salvator merianae,QVOM01000024.1,27684940,132,4.76793520231577e-06,2026218827,23693
Salvator merianae,QVOM01000025.1,27455217,253,9.21500638658219e-06,2026218827,23693
Salvator merianae,QVOM01000026.1,26398167,212,8.03086062755797e-06,2026218827,23693
Salvator merianae,QVOM01000027.1,26163555,209,7.98821108217136e-06,2026218827,23693
Salvator merianae,QVOM01000028.1,25691292,295,1.14824898646592e-05,2026218827,23693
Salvator merianae,QVOM01000029.1,25514213,243,9.52410329097746e-06,2026218827,23693
Salvator merianae,QVOM01000030.1,23081504,215,9.31481761327165e-06,2026218827,23693
Salvator merianae,QVOM01000031.1,22993189,131,5.69733932948579e-06,2026218827,23693
Salvator merianae,QVOM01000032.1,21916984,193,8.80595614798095e-06,2026218827,23693
Salvator merianae,QVOM01000033.1,20776777,469,2.25732797728926e-05,2026218827,23693
Salvator merianae,QVOM01000034.1,20360204,181,8.88989128006772e-06,2026218827,23693
Salvator merianae,QVOM01000035.1,19612771,127,6.47537260288207e-06,2026218827,23693
Salvator merianae,QVOM01000036.1,18972029,170,8.96055977987384e-06,2026218827,23693
Salvator merianae,QVOM01000037.1,17769004,169,9.51094388858261e-06,2026218827,23693
Salvator merianae,QVOM01000038.1,17201959,118,6.85968383019632e-06,2026218827,23693
