"sp","assembly","accession","lower","N","assem.sz","date"
"Mus_musculus","ASM4379274v1","GCA_043792745.1",1164.653898,6.928223,1722.755394,"2024-10-28"
"Mus_musculus","ASM4379311v1","GCA_043793115.1",1134.274984,2.059354,1718.962508,"2024-10-28"
"Mus_musculus","ASM4397272v1","GCA_043972725.1",1010.013234,0.040155,1710.392542,"2024-10-28"
"Mus_musculus","CAST_EiJ_T2T_v1","GCA_964188545.1",1195.733152,3.015303,1751.801665,"2024-06-23"
"Mus_musculus","C57BL_6J_T2T_v1","GCA_964188535.1",1089.112871,3.989246,1638.204783,"2024-06-23"
"Mus_musculus","BALBC_Nude","GCA_031761455.1",993.838117,8.447189,1751.876016,"2023-09-22"
"Mus_musculus","NOD_SCID","GCA_031763685.1",1008.295909,1.195024,1708.443964,"2023-09-22"
"Mus_musculus","NEI_Mmus_1.0","GCA_030265425.1",1035.035043,48.933362,1706.948063,"2023-06-13"
"Mus_musculus","mMusMuc1.1","GCA_949316315.1",1063.686042,0.0202,1707.262493,"2023-04-08"
"Mus_musculus","ASM2923741v1","GCA_029237415.1",864.706181,0.009479,1670.323696,"2023-03-17"
"Mus_musculus","ASM2923726v1","GCA_029237265.1",843.182142,0.004091,1668.525573,"2023-03-17"
"Mus_musculus","ASM2923744v1","GCA_029237445.1",860.556337,0.005934,1667.6389,"2023-03-17"
"Mus_musculus","ASM2923748v1","GCA_029237485.1",860.14466,0.005078,1666.551618,"2023-03-17"
"Mus_musculus","ASM2925569v1","GCA_029255695.1",860.038481,0.004297,1666.534622,"2023-03-17"
"Mus_musculus","ASM2923746v1","GCA_029237465.1",860.585582,0.003975,1666.141905,"2023-03-17"
"Mus_musculus","ASM2923329v1","GCA_029233295.1",858.912915,0.002907,1665.642495,"2023-03-17"
"Mus_musculus","ASM2925566v1","GCA_029255665.1",859.075753,0.003521,1665.144229,"2023-03-17"
"Mus_musculus","ASM2923718v1","GCA_029237185.1",857.479319,0.004106,1665.080625,"2023-03-17"
"Mus_musculus","ASM2923382v1","GCA_029233825.1",848.193585,0.004138,1664.71037,"2023-03-17"
"Mus_musculus","ASM2923369v1","GCA_029233695.1",845.132086,0.00296,1664.07209,"2023-03-17"
"Mus_musculus","ASM2923606v1","GCA_029236065.1",858.00653,0.005784,1663.887438,"2023-03-17"
"Mus_musculus","ASM2923370v1","GCA_029233705.1",857.103823,0.0031,1663.617296,"2023-03-17"
"Mus_musculus","ASM2923720v1","GCA_029237205.1",853.308537,0.007959,1663.590352,"2023-03-17"
"Mus_musculus","ASM2923452v1","GCA_029234525.1",852.731603,0.005579,1663.093512,"2023-03-17"
"Mus_musculus","ASM2923722v1","GCA_029237225.1",853.896335,0.003949,1662.839485,"2023-03-17"
"Mus_musculus","ASM2923403v1","GCA_029234035.1",851.312595,0.006855,1661.525579,"2023-03-17"
"Mus_musculus","ASM2923400v1","GCA_029234005.1",856.09454,0.007847,1661.09578,"2023-03-17"
"Mus_musculus","ASM2923740v1","GCA_029237405.1",855.467054,0.004398,1660.666841,"2023-03-17"
"Mus_musculus","ASM2923401v1","GCA_029234015.1",851.235285,0.00357,1652.890571,"2023-03-17"
"Mus_musculus","LP_J_v3","GCA_947599735.1",1123.231861,0.347757,1732.746794,"2022-12-18"
"Mus_musculus","NZO_HlLtJ_v3","GCA_947593165.1",1098.022455,0.044812,1724.854281,"2022-12-18"
"Mus_musculus","JF1_MsJ_v3","GCA_921999095.2",967.672256,0.115853,1759.646067,"2022-07-01"
"Mus_musculus","DBA_2J_v3","GCA_921998315.2",896.8735,0.093627,1706.20595,"2022-07-01"
"Mus_musculus","PWK_PhJ_v3","GCA_921998335.2",841.870512,2.813974,1662.439874,"2022-07-01"
"Mus_musculus","BALB_cJ_v3","GCA_921997145.2",853.42245,4.941394,1661.549228,"2022-07-01"
