"species","thrs","clade","class","order","family","chromnum.1n","chromnum.est","chromnum.source","chromnum.database","est.gnsz.Mb","est.gnsz.source","est.gnsz.database","asmblysize.Mb","rsq","total.rep.pct","total.rep.median","line.rep.pct","line.rep.median","sine.rep.pct","sine.rep.median","ltr.rep.pct","ltr.rep.median","dna.rep.pct","dna.rep.median","rc.rep.pct","rc.rep.median","name","size.Mb","genecount","genedens"
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"1",212.770937,1572,7.38822708667209
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"2",199.809881,1833,9.17372049283188
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"3",147.62792,1094,7.4105223456376
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"4",144.794249,1682,11.6164834695886
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"7",141.533052,1085,7.66605386281079
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"6",131.587389,1061,8.06308270164096
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"5",130.990914,1141,8.71052781569262
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"8",129.24572,1472,11.3891585732974
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"X",112.850221,868,7.69161098940161
"Ailuropoda melanoleuca",0.8,"Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,0.597725010616401,30.5282605848653,19,17.2554671048092,21,6.80462806010404,11,4.03768056569585,25,2.02265123573429,23,0.00710137859250582,31,"10",110.580333,1174,10.6167160845862
