"clade","thrs","repeat","phylosig","n","stat","intercept","median.trans","rep.prop","median.trans:rep.prop","f2"
"Total",0.9,"total","TRUE","85","p",3.1272376617153e-06,0.000309786149301106,NA,NA,0.170797190159404
"Total",0.9,"total","TRUE","85","beta",2.15349517463502,-1.64623202786245,NA,NA,0.170797190159404
"Total",0.9,"line","TRUE","85","p",0.00229234990480154,NA,NA,NA,0
"Total",0.9,"line","TRUE","85","beta",0.795224005343414,NA,NA,NA,0
"Total",0.9,"sine","FALSE","88","p",3.89984628781469e-10,0.0126319977755206,0.16990914289861,0.113442502497733,0.35447128212289
"Total",0.9,"sine","FALSE","88","beta",1.14248780593033,-0.516617396785757,7.50329292017987,-10.3711852132468,0.35447128212289
"Total",0.9,"ltr","TRUE","85","p",0.000183652208437746,0.0106883657747645,NA,NA,0.0821850206170821
"Total",0.9,"ltr","TRUE","85","beta",1.85390291889621,-1.29303661450809,NA,NA,0.0821850206170821
"Total",0.9,"dna","TRUE","85","p",0.00040696205927282,NA,0.0535688150331568,NA,0.0461981742685337
"Total",0.9,"dna","TRUE","85","beta",0.9797788173839,NA,-2.7277945048724,NA,0.0461981742685337
"Total",0.9,"rc","TRUE","84","p",0.000226252521339898,NA,0.000326559294878681,NA,0.171644391036145
"Total",0.9,"rc","TRUE","84","beta",0.921123334620656,NA,-29.4598851587187,NA,0.171644391036145
"Mammalia",0.9,"total","TRUE","40","p",0.000639277746590228,0.00287871835550724,0.0212930603308341,NA,0.413944608291495
"Mammalia",0.9,"total","TRUE","40","beta",1.85095482090303,-1.87601454139282,0.752297560174209,NA,0.413944608291495
"Mammalia",0.9,"line","TRUE","40","p",0.00269298031664889,NA,NA,NA,0
"Mammalia",0.9,"line","TRUE","40","beta",0.78292069813002,NA,NA,NA,0
"Mammalia",0.9,"sine","FALSE","41","p",0.763726343220343,0.273220573549132,0.00382016558624449,0.00477726954147315,0.598912200419181
"Mammalia",0.9,"sine","FALSE","41","beta",-0.192819277242114,0.883061297522104,29.7174311393198,-34.9872936758092,0.598912200419181
"Mammalia",0.9,"ltr","TRUE","40","p",0.00269298031664889,NA,NA,NA,0
"Mammalia",0.9,"ltr","TRUE","40","beta",0.78292069813002,NA,NA,NA,0
"Mammalia",0.9,"dna","FALSE","41","p",3.08134672406016e-15,NA,0.00181883476183366,NA,0.287213242828253
"Mammalia",0.9,"dna","FALSE","41","beta",0.778039824752919,NA,-9.49825188723708,NA,0.287213242828253
"Mammalia",0.9,"rc","FALSE","41","p",1.52787415935172e-17,NA,0.000715985644457464,NA,0.346100028753114
"Mammalia",0.9,"rc","FALSE","41","beta",0.75156458595837,NA,-2817.68558257792,NA,0.346100028753114
"Actinopterygii",0.9,"total","FALSE","30","p",0.0667530646234336,0.161901516876356,0.0330008526073774,0.0323109830874651,0.274272264653708
"Actinopterygii",0.9,"total","FALSE","30","beta",2.84740998107799,-2.49481271483947,-13.8238510952254,15.972659704444,0.274272264653708
"Actinopterygii",0.9,"line","FALSE","30","p",4.87460247232637e-19,NA,NA,NA,0
"Actinopterygii",0.9,"line","FALSE","30","beta",0.694770783435254,NA,NA,NA,0
"Actinopterygii",0.9,"sine","FALSE","30","p",1.22166566650525e-12,NA,0.00702476374690054,NA,0.302247787236655
"Actinopterygii",0.9,"sine","FALSE","30","beta",0.58395917092565,NA,20.4723153613485,NA,0.302247787236655
"Actinopterygii",0.9,"ltr","FALSE","30","p",1.13999880126265e-08,NA,0.118643895176334,NA,0.0925602286155071
"Actinopterygii",0.9,"ltr","FALSE","30","beta",0.587887819138147,NA,6.06288542859664,NA,0.0925602286155071
"Actinopterygii",0.9,"dna","FALSE","30","p",0.0677270591788415,0.233136244509309,0.146066823031339,0.133860041759139,0.146170095057205
"Actinopterygii",0.9,"dna","FALSE","30","beta",1.81823718921177,-1.33398296276299,-23.0133089740297,26.5732964711964,0.146170095057205
"Actinopterygii",0.9,"rc","FALSE","30","p",4.87460247232637e-19,NA,NA,NA,0
"Actinopterygii",0.9,"rc","FALSE","30","beta",0.694770783435254,NA,NA,NA,0
"Sauria",0.9,"total","TRUE","14","p",0.00017623126602917,NA,NA,NA,0
"Sauria",0.9,"total","TRUE","14","beta",0.791069441113617,NA,NA,NA,0
"Sauria",0.9,"line","FALSE","15","p",0.28899008226262,0.066550688761746,0.033578227431492,0.0321341865024552,0.568634128144471
"Sauria",0.9,"line","FALSE","15","beta",-1.02001962564661,2.55176839466567,39.7254611245845,-51.0292926163801,0.568634128144471
"Sauria",0.9,"sine","FALSE","15","p",0.0901122550729292,0.343049668480521,0.203706541931964,0.1559358552102,0.359192734813159
"Sauria",0.9,"sine","FALSE","15","beta",0.593464686024213,0.524489009239978,79.6343229006411,-123.442443776409,0.359192734813159
"Sauria",0.9,"ltr","FALSE","15","p",0.0115147101299219,0.0343000002680631,0.16852030709523,0.15609305140148,0.903541696208213
"Sauria",0.9,"ltr","FALSE","15","beta",4.28236653189935,-4.20145601854186,-90.9906482357175,113.507973905648,0.903541696208213
"Sauria",0.9,"dna","TRUE","14","p",0.00017623126602917,NA,NA,NA,0
"Sauria",0.9,"dna","TRUE","14","beta",0.791069441113617,NA,NA,NA,0
"Sauria",0.9,"rc","TRUE","13","p",0.000306909083530815,NA,NA,NA,0
"Sauria",0.9,"rc","TRUE","13","beta",0.792721743360379,NA,NA,NA,0
