"clade","thrs","repeat","phylosig","n","stat","intercept","chromnum.1n","median.trans","rep.prop","chromnum.1n:median.trans","chromnum.1n:rep.prop","median.trans:rep.prop","chromnum.1n:median.trans:rep.prop","R2"
"Total",0,"total","TRUE","93","p",6.0446110339285e-09,NA,2.03908515885587e-05,NA,NA,NA,NA,NA,0.181725826931108
"Total",0,"total","TRUE","93","beta",1.96999149312304,NA,-1.40233704411276,NA,NA,NA,NA,NA,0.181725826931108
"Total",0,"line","TRUE","93","p",2.13085470401886e-05,NA,0.022456755160341,NA,NA,NA,NA,NA,0.0559415075709917
"Total",0,"line","TRUE","93","beta",1.42026550633974,NA,-0.731882453436822,NA,NA,NA,NA,NA,0.0559415075709917
"Total",0,"sine","TRUE","93","p",4.64865771885314e-05,NA,NA,0.151035288911077,NA,NA,NA,NA,0.0225237953778918
"Total",0,"sine","TRUE","93","beta",0.789411560245373,NA,NA,1.13899535464638,NA,NA,NA,NA,0.0225237953778918
"Total",0,"ltr","TRUE","93","p",4.78128137082479e-08,NA,0.000144925907843874,NA,NA,NA,NA,NA,0.147439273936349
"Total",0,"ltr","TRUE","93","beta",1.81436462091005,NA,-1.23241525391986,NA,NA,NA,NA,NA,0.147439273936349
"Total",0,"dna","TRUE","93","p",0.000164306977048945,NA,0.112146356195562,0.0238296223366525,NA,NA,0.0456851045501376,NA,0.154827464294527
"Total",0,"dna","TRUE","93","beta",1.62323493099625,NA,-0.767907923781376,-24.4531968704829,NA,NA,24.6948699762112,NA,0.154827464294527
"Total",0,"rc","TRUE","92","p",2.3172475338562e-07,NA,0.046161702798172,0.00416712620410475,NA,NA,NA,NA,0.211133627360752
"Total",0,"rc","TRUE","92","beta",1.1799359588402,NA,-0.346616320422996,-19.0419164457458,NA,NA,NA,NA,0.211133627360752
"Mammalia",0,"total","TRUE","39","p",6.62478537516442e-06,NA,0.00327522330270869,NA,NA,NA,NA,NA,0.210874438567308
"Mammalia",0,"total","TRUE","39","beta",1.76505258195184,NA,-1.28659527006862,NA,NA,NA,NA,NA,0.210874438567308
"Mammalia",0,"line","TRUE","39","p",0.000299092067795215,NA,0.0738490539328538,NA,NA,NA,NA,NA,0.0838051543012252
"Mammalia",0,"line","TRUE","39","beta",1.37534106310642,NA,-0.776556778248512,NA,NA,NA,NA,NA,0.0838051543012252
"Mammalia",0,"sine","FALSE","62","p",0.000299092067795215,NA,0.0738490539328538,NA,NA,NA,NA,NA,0.417310377310546
"Mammalia",0,"sine","FALSE","62","beta",1.37534106310642,NA,-0.776556778248512,NA,NA,NA,NA,NA,0.417310377310546
"Mammalia",0,"ltr","TRUE","39","p",0.00155642253915844,NA,0.0449674208831312,NA,NA,NA,NA,NA,0.104263521486189
