"species","prop.dna","age.dna","prop.line","age.line","prop.ltr","age.ltr","prop.sine","age.sine","prop.unknown","age.unknown","prop.others","age.others"
"Ailuropoda_melanoleuca",0.0202270143207856,23,0.172558953355155,21,0.0403778076923077,25,0.0680479693126023,11,0.00378995253682488,11,0.000288484860883797,13
"Amazona_collaria",0.000566248610007943,29,0.0946654519459889,7,0.0288759150119142,8,0.000289237490071485,31,0.00754138125496426,12,0.000180099285146942,20
"Amphiprion_percula",0.0762709878987899,11,0.0954994697469747,4,0.0258119636963696,16,0.00264225192519252,8,0.187898931793179,11,0.00138748184818482,3
"Anabas_testudineus",0.0319318507194245,13,0.0325318669064748,7,0.00488696582733813,12,0.00230267625899281,12,0.0390490161870504,16,0.000972638489208633,5
"Anas_platyrhynchos",0.00071356600660066,29,0.0947660420792079,14,0.0257389727722772,8,0.000371370462046205,31,0.0315757153465347,12,0.00154335561056106,11
"Anas_zonorhyncha",0.000637463768115942,30,0.0403319916094584,19,0.0119101372997712,12,0.000260482837528604,32,0.0087712112890923,14,0.000103998474446987,24
"Anolis_carolinensis",0.0499293802112285,10,0.157781248471373,11,0.0293868071150639,7,0.026235870483602,8,0.183759522512507,14,0.0136273140633685,5
"Anser_brachyrhynchus",0.000921921217547001,30,0.0410014897045658,20,0.0113002999104745,13,0.00031051387645479,32,0.00398999194270367,22,0.000114970456580125,24
"Anser_cygnoides",0.000887006194690266,29,0.0367316318584071,21,0.00980670176991151,14,0.000276943362831858,32,0.00383303805309735,21,0.000157199115044248,21
"Aotus_nancymaae",0.0237692655485674,19,0.160811396575821,20,0.0677208609364081,19,0.116880890286513,10,0.00354744304682041,19,0.00139426030747729,15
"Aquila_chrysaetos_chrysaetos",0.00107726932668329,30,0.0260027680798005,25,0.0222770457190357,8,0.000442036575228595,32,0.00903393349958437,20,8.57049044056525e-05,12
"Astatotilapia_calliptera",0.1193585875,5,0.0753293375,5,0.0207389795454545,12,0.00252376022727273,9,0.0981878556818182,12,0.00528047272727273,14
"Astyanax_mexicanus",0.162925213483146,9,0.0253219438202247,7,0.00981972734082397,15,0.000505701872659176,17,0.217589707116105,12,0.0113089400749064,20
"Athene_cunicularia",0.00114332843560933,28,0.03811992653414,19,0.0177751227312014,13,0.000407162489196197,32,0.0109115980985307,12,0.000109777009507347,22
"Balaenoptera_musculus",0.0256583155462185,20,0.236037441176471,16,0.0464800483193277,22,0.0511023399159664,7,0.00175182605042017,22,0.000623305462184874,29
"Betta_splendens",0.0227021859410431,8,0.0518834965986395,4,0.0299119319727891,12,0.00609204535147392,5,0.078389201814059,9,0.00324639002267574,6
"Bison_bison_bison",0.0177805758293839,24,0.281117726811104,10,0.0455368879485443,23,0.0726700186188219,12,0.0247562044685173,5,0.00115298578199052,13
"Bos_grunniens",0.0159312439110484,22,0.287011818213908,9,0.0370963918108013,23,0.0740895499470526,12,0.0155342379103424,5,0.00121078785739499,19
"Bos_taurus",0.0152641523423091,22,0.281234676134268,9,0.0379925706381409,22,0.0720733766137956,11,0.053624371080782,23,0.000976819992622648,16
"Bubo_bubo",0.00100938473767886,28,0.0407957845786963,17,0.0173526399046105,12,0.00045829173290938,32,0.0156427885532591,11,0.000289815580286169,17
"Buteo_japonicus",0.00127491428571429,29,0.0251560484126984,22,0.0273204793650794,9,0.000590407142857143,32,0.0120840920634921,17,0.000125209523809524,16
"Cairina_moschata_domestica",0.000909294860234445,29,0.0385130658250676,23,0.0105227330928765,13,0.000277628494138864,32,0.00566396032461677,14,0.000106110910730388,24
"Calidris_pugnax",0.000817582587469487,30,0.0599695020341741,15,0.00619979251423922,14,0.000382013832384052,32,0.00581812611879577,21,0.000235553295362083,25
"Calidris_pygmaea",0.000880105263157895,29,0.0610924974533107,17,0.0122219974533107,13,0.000314205432937182,32,0.00943694906621392,20,0.000418942275042445,13
"Callithrix_jacchus",0.0226436696113074,20,0.195207331448763,17,0.0700479416961131,20,0.126723269257951,11,0.00345359434628975,23,0.00383853816254417,21
"Camarhynchus_parvulus",0.00047049530075188,29,0.030305007518797,22,0.0224621992481203,15,0.000268896616541353,30,0.0384434661654135,17,0.00223452631578947,22
"Camelus_dromedarius",0.0226654558960074,23,0.164209038532962,23,0.0479707780872795,24,0.0175989832869081,24,0.0210270501392758,17,0.000245410399257196,12
"Canis_lupus_dingo",0.0177229602459016,23,0.164903755327869,21,0.0353775040983607,26,0.0931861643442623,14,0.00197558852459016,17,0.000297182786885246,11
"Canis_lupus_familiaris",0.0179096157697121,23,0.160113809762203,22,0.0348560479766375,26,0.100969092198582,14,0.00186589528577388,24,0.000555302044221944,31
"Capra_hircus",0.0140116609647622,23,0.285128443722203,9,0.0457373872733493,19,0.0694845579883681,12,0.0904880461854259,5,0.00104381936366746,16
"Carassius_auratus",0.162682983525535,8,0.0398473443163097,6,0.0413995485996705,13,0.0112064387699066,7,0.0907552548050522,10,0.0343065343218012,9
"Catagonus_wagneri",0.0134282037878788,24,0.168343929166667,19,0.0301029636363636,25,0.123841141287879,11,0.0445536026515152,8,0.000928148863636364,1
