"number","total.slope","total.p","total.r2","line.slope","line.p","line.r2","sine.slope","sine.p","sine.r2","ltr.slope","ltr.p","ltr.r2","dna.slope","dna.p","dna.r2","rc.slope","rc.p","rc.r2"
0,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.723714019945576,0.0479139720388498,0.0480263212069444,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.01,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.723714019945576,0.0479139720388498,0.0480263212069444,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.02,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643871813947287,0.0769500054697214,0.0395580990754212,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.03,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643871813947287,0.0769500054697214,0.0395580990754212,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.04,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643871813947287,0.0769500054697214,0.0395580990754212,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.05,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643871813947287,0.0769500054697214,0.0395580990754212,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.06,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643826329643458,0.0793585046232827,0.0394348147944466,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.07,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643826329643458,0.0793585046232827,0.0394348147944466,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.08,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643826329643458,0.0793585046232827,0.0394348147944466,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
0.09,-1.29293785527851,0.0301442773396688,0.102418805209124,-0.388789142698264,0.386470443100342,0.017092611483795,-0.643826329643458,0.0793585046232827,0.0394348147944466,0.56901367663705,0.28639413372939,0.0257856690446315,-1.33436919401264,0.0452724607389873,0.0880173509901118,-0.744775257534327,0.138039873460844,0.0493044890581933
