sp,file,lower,N,assembly_size,date
Arabidopsis_thaliana,araThaAn1v1,25988286,20000,94121552,12052019
Arabidopsis_thaliana,araThaC24v1,25712386,34000,93478794,01032020
Arabidopsis_thaliana,AT9943.Cdm-0.scaffold,29603778,4235334,96334222,09122020
Arabidopsis_thaliana,Ler Assembly,24247649,1777652,92865420,05272016
Arabidopsis_thaliana,TAIR10.1,26083523,185738,93399373,03152018
Gallus_gallus,bGalGal1.mat.broiler.GRCg7b,216353104,3383918,833595229,01192021
Gallus_gallus,bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ,212403645,4496311,833611283,10012021
Gallus_gallus,GRCg6a,216032072,9784460,839532118,03272018
Homo_sapiens,Ash1_v2.2,1264041650,100,1861396696,06022022
Homo_sapiens,ASM2283312v2,1176690543,60184004,1910613557,09082005
Homo_sapiens,CHM1_1.1,1032066309,210229880,1795586992,06142013
Homo_sapiens,GRCh38.p14,1191484670,161611379,1945816013,02032022
Homo_sapiens,hg01243.v3.0,1254860236,0,1861309575,09272021
Homo_sapiens,T2T-CHM13v2.0,1255459380,0,1861832690,01242022
Monodelphis_domestica,mMonDom1.pri,1531897160,31907317,2022379202,01182023
Monodelphis_domestica,MonDom5,1493396286,98844429,2008246934,01252007
Oryzias_latipes,ASM223467v1,250688937,491000,482860435,06272017
Oryzias_latipes,ASM31367v1,221406082,169431611,478963801,05092007
Rattus_norvegicus,GRCr8,1084864549,4130577,1760602381,01312024
Rattus_norvegicus,mRatBN7.2,934089778,21334956,1692490994,11102020
Rattus_norvegicus,Rn_Celera,1020155749,123960745,1787527098,12062006
Rattus_norvegicus,Rnor_6.0,909904273,140322104,1819957816,07012014
Xenopus_laevis,Xenopus_laevis_v10.1,1182269508,1674718,1558507567,04122021
Xenopus_laevis,Xenopus_laevis_v2,948290736,309709018,1460416498,08092016
