"clade","thrs","repeat","phylosig","n","stat","intercept","median.trans","rep.prop","median.trans:rep.prop","f2"
"Total",0.8,"total","TRUE","101","p",0.00255501872606567,NA,6.07276817516933e-05,NA,0.177311615936058
"Total",0.8,"total","TRUE","101","beta",0.648997551994258,NA,0.395518458928292,NA,0.177311615936058
"Total",0.8,"line","TRUE","101","p",0.00141442087170018,0.103594096742632,NA,NA,0.0272609760481621
"Total",0.8,"line","TRUE","101","beta",0.738860844613947,0.186422174468038,NA,NA,0.0272609760481621
"Total",0.8,"sine","TRUE","101","p",0.000420419945207584,NA,NA,NA,0
"Total",0.8,"sine","TRUE","101","beta",0.811666422401974,NA,NA,NA,0
"Total",0.8,"ltr","TRUE","101","p",0.00313563445078158,0.000188020359396024,NA,NA,0.152098827750672
"Total",0.8,"ltr","TRUE","101","beta",0.644130191074685,0.424686998002588,NA,NA,0.152098827750672
"Total",0.8,"dna","TRUE","101","p",3.54278435872324e-05,NA,0.0183085467960677,NA,0.0581365822774545
"Total",0.8,"dna","TRUE","101","beta",1.00277898735202,NA,-0.518173169935448,NA,0.0581365822774545
"Mammalia",0.8,"total","TRUE","46","p",0.0110137086863384,NA,0.00208171271179669,NA,0.243314189210399
"Mammalia",0.8,"total","TRUE","46","beta",0.546701957812581,NA,0.360237434946643,NA,0.243314189210399
"Mammalia",0.8,"line","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.8,"line","TRUE","46","beta",0.789946163038713,NA,NA,NA,0
"Mammalia",0.8,"sine","FALSE","47","p",1.4263190287327e-08,0.903987848451888,0.199584946068281,0.00514721969095941,0.708201786525018
"Mammalia",0.8,"sine","FALSE","47","beta",0.519190573108728,0.0200874235083387,-0.280135115717302,1.95458647291569,0.708201786525018
"Mammalia",0.8,"ltr","TRUE","46","p",0.0132832687998405,0.00779404440210696,NA,NA,0.176715466598236
"Mammalia",0.8,"ltr","TRUE","46","beta",0.554184951036366,0.467495885104551,NA,NA,0.176715466598236
"Mammalia",0.8,"dna","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.8,"dna","TRUE","46","beta",0.789946163038713,NA,NA,NA,0
"Actinopterygii",0.8,"total","FALSE","35","p",5.3091782107421e-06,0.0259414277551858,0.263096624774,0.019642753910602,0.300595211557402
"Actinopterygii",0.8,"total","FALSE","35","beta",0.607650929822959,0.498782830660265,0.240767852600257,-1.28509936780496,0.300595211557402
"Actinopterygii",0.8,"line","FALSE","35","p",4.38938862205965e-15,NA,0.101795739422867,NA,0.0858427237249524
"Actinopterygii",0.8,"line","FALSE","35","beta",0.648280017599724,NA,0.179483416387899,NA,0.0858427237249524
"Actinopterygii",0.8,"sine","FALSE","35","p",2.28653156922931e-15,NA,0.00749491391906621,NA,0.245980768444624
"Actinopterygii",0.8,"sine","FALSE","35","beta",0.613883372518376,NA,0.280855245295912,NA,0.245980768444624
"Actinopterygii",0.8,"ltr","FALSE","35","p",3.72321137528454e-22,NA,NA,NA,0
"Actinopterygii",0.8,"ltr","FALSE","35","beta",0.710058830306522,NA,NA,NA,0
"Actinopterygii",0.8,"dna","FALSE","35","p",3.72321137528454e-22,NA,NA,NA,0
"Actinopterygii",0.8,"dna","FALSE","35","beta",0.710058830306522,NA,NA,NA,0
"Sauria",0.8,"total","TRUE","19","p",1.76661649620158e-06,NA,0.0599051375969328,NA,0.239034071625293
"Sauria",0.8,"total","TRUE","19","beta",0.79280970404444,NA,0.163815533508855,NA,0.239034071625293
"Sauria",0.8,"line","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.8,"line","TRUE","19","beta",0.867465882115566,NA,NA,NA,0
"Sauria",0.8,"sine","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.8,"sine","TRUE","19","beta",0.867465882115566,NA,NA,NA,0
"Sauria",0.8,"ltr","TRUE","19","p",1.67108839210783e-06,0.061551803479913,NA,NA,0.235669209364215
"Sauria",0.8,"ltr","TRUE","19","beta",0.795111009424004,0.16795088704285,NA,NA,0.235669209364215
"Sauria",0.8,"dna","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.8,"dna","TRUE","19","beta",0.867465882115566,NA,NA,NA,0
