"species","rsq","gini","cv","assem.sz","class","order","family","clade"
"ailuropoda_melanoleuca",0.597934871423245,0.161805426700435,0.332768454858946,2444,"Mammalia","Carnivora","Ursidae","Mammalia"
"amphiprion_percula",0.581392632735058,0.0696661488263686,0.124685566028839,909,"Actinopterygii",NA,"Pomacentridae","Actinopterygii"
"anabas_testudineus",0.501898088703859,0.0751639883126585,0.133836155635473,556,"Actinopterygii","Anabantiformes","Anabantidae","Actinopterygii"
"anas_platyrhynchos",0.960890216334006,0.194603162156748,0.343822789096882,1212,"Aves","Anseriformes","Anatidae","Sauropsida"
"aquila_chrysaetos_chrysaetos",0.49450193018588,0.211323214455372,0.37679850907768,1203,"Aves","Accipitriformes","Accipitridae","Sauropsida"
"astatotilapia_calliptera",0.793115494484874,0.0603118793726732,0.113493794918245,880,"Actinopterygii","Cichliformes","Cichlidae","Actinopterygii"
"athene_cunicularia",0.925736166389872,0.195816301576556,0.376590254872574,1157,"Aves","Strigiformes","Strigidae","Sauropsida"
"balaenoptera_musculus",0.465928176050975,0.200717544222925,0.434553708971862,2380,"Mammalia","Artiodactyla","Balaenoptera","Mammalia"
"betta_splendens",0.794144980559885,0.0663319844620483,0.117993435002642,441,"Actinopterygii","Anabantiformes","Osphronemidae","Actinopterygii"
"bos_grunniens",0.377934323777981,0.203173126580599,0.407555200349788,2833,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"bos_taurus",0.358570533716739,0.180924671925431,0.358786771567062,2711,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"cairina_moschata_domestica",0.963282270098646,0.19635747962386,0.342299889613638,1109,"Aves","Anseriformes","Anatidae","Sauropsida"
"callithrix_jacchus",0.714665003907611,0.121413814361177,0.36363636618043,2830,"Mammalia","Primates","Callitrichidae","Mammalia"
"camarhynchus_parvulus",0.964310309904732,0.203082434922973,0.35378091204616,1064,"Aves","Passeriformes","Thraupidae","Sauropsida"
"camelus_dromedarius",0.470824766150017,0.236886449555507,0.442800387452166,2154,"Mammalia","Artiodactyla","Camelidae","Mammalia"
"canis_lupus_dingo",0.731516538437763,0.202486220277769,0.498759853899565,2440,"Mammalia","Carnivora","Canidae","Mammalia"
"canis_lupus_familiaris",0.680484174124964,0.145436633013477,0.267287854301773,2397,"Mammalia","Carnivora","Canidae","Mammalia"
"capra_hircus",0.363983155000082,0.193520868000474,0.390301311487682,2923,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"catharus_ustulatus",0.914063783839515,0.214761794501085,0.393678561260506,1132,"Aves","Passeriformes","Turdidae","Sauropsida"
"cervus_hanglu_yarkandensis",0.520154079268888,0.206793413254761,0.395905423484895,2594,"Mammalia","Artiodactyla","Cervidae","Mammalia"
"chlorocebus_sabaeus",0.272971124349043,0.209788955475415,0.50443148167894,2790,"Mammalia","Primaes","Cercopithecidae","Mammalia"
"clupea_harengus",0.734439433884614,0.0571234551269417,0.11027143666894,786,"Actinopterygii","Clupeiformes","Clupeidae","Actinopterygii"
"corvus_moneduloides",0.9188584723723,0.224390959336566,0.402596066178508,1113,"Aves","Passeriformes","Corvidae","Sauropsida"
"cottoperca_gobio",0.667516758829527,0.0691225197504636,0.121745317298524,609,"Actinopterygii","Perciformes","Bovichtidae","Actinopterygii"
"coturnix_japonica",0.984127328108088,0.153712127403315,0.281290967093464,928,"Aves","Galliformes","Phasianidae","Sauropsida"
"crocodylus_porosus",0.922376715229273,0.174588123548794,0.374232185996104,2050,"Reptilia","Crocodilia","Crocodylidae","Sauropsida"
"cyclopterus_lumpus",0.617768490348022,0.0881654971438317,0.157873507161384,573,"Actinopterygii","Scorpaeniformes","Cyclopteridae","Actinopterygii"
"cynoglossus_semilaevis",0.707305498520066,0.0837074212774389,0.167502532099347,470,"Actinopterygii","Pleuronectiformes","Cynoglossidae","Actinopterygii"
"cyprinus_carpio_carpio",0.822292343710404,0.0481240561031485,0.0842065768846745,1460,"Actinopterygii","Cypriniformes","Cyprinidae","Actinopterygii"
"danio_rerio",0.728288344082858,0.0727440847331612,0.129369293571536,1679,"Actinopterygii","Cypriniformes","Cyprinidae","Actinopterygii"
"delphinapterus_leucas",0.525386259549699,0.254628491305256,0.612956040282674,2363,"Mammalia","Artiodactyla","Monodontidae","Mammalia"
"denticeps_clupeoides",0.859721830817436,0.0583275429611353,0.109703246990653,567,"Actinopterygii","Clupeiformes","Denticipitidae","Actinopterygii"
"dicentrarchus_labrax",0.727590544985437,0.068651300044211,0.129855562346415,696,"Actinopterygii","Moroniformes","Moronidae","Actinopterygii"
"echeneis_naucrates",0.485577521592614,0.069869483877571,0.126021486953314,544,"Actinopterygii","Carangiformes","Echeneidae","Actinopterygii"
"electrophorus_electricus",0.884942134779373,0.0676954924834726,0.128126145537774,589,"Actinopterygii","Gymnotiformes","Gymnotidae","Actinopterygii"
"equus_asinus",0.686734571121526,0.207609585991392,0.496909274891838,2432,"Mammalia","Perissodactyla","Equidae","Mammalia"
"equus_caballus",0.785037848076939,0.135254655412204,0.272668686604342,2507,"Mammalia","Perissodactyla","Equidae","Mammalia"
"erpetoichthys_calabaricus",0.719574662251514,0.139763521931121,0.258713686677632,3811,"Actinopterygii","Polypteriformes","Polypteridae","Actinopterygii"
"esox_lucius",0.703855921986096,0.0785818936827122,0.147558799457689,919,"Actinopterygii","Esociformes","Esocidae","Actinopterygii"
"felis_catus",0.650171917621118,0.148105396573003,0.319408567993146,2522,"Mammalia","Carnivora","Felidae","Mammalia"
"ficedula_albicollis",0.949627981323848,0.214116664502211,0.361921003519345,1118,"Aves","Passeriformes","Muscicapidae","Sauropsida"
"gadus_morhua",0.570606539875001,0.0719262210485963,0.12487117975012,670,"Actinopterygii","Gadiformes","Gadidae","Actinopterygii"
"gallus_gallus",0.985617704800507,0.128510138377427,0.259299772112162,1053,"Aves","Galliformes","Phasianidae","Sauropsida"
"gasterosteus_aculeatus",0.801617372940681,0.0647874777325312,0.127886696152355,472,"Actinopterygii","Scorpaeniformes","Gasterosteidae","Actinopterygii"
"gopherus_evgoodei",0.943080113812799,0.181083921905353,0.423279734682891,2299,"Reptilia","Testudines","Testudinidae","Sauropsida"
"gorilla_gorilla",0.529501150073155,0.180369797611328,0.450196351773514,3063,"Mammalia","Primates","Hominidae","Mammalia"
"gouania_willdenowi",0.828657886313595,0.0687604330894565,0.130862994448322,937,"Actinopterygii","Gobiesociformes","Gobiesocidae","Actinopterygii"
"heterocephalus_glaber",0.363278188708362,0.195497037291326,0.58456818215369,2500,"Mammalia","Rodentia","Heterocephalidae","Mammalia"
"homo_sapiens",0.700982074876887,0.146508683466757,0.367486630474271,3292,"Mammalia","Primates","Hominidae","Mammalia"
