"response","clade","dropped.species","predictor","coef"
"rsq","All","ailuropoda_melanoleuca","(Intercept)",0.635985495040837
"rsq","All","ailuropoda_melanoleuca","age.line",0.20376224623915
"rsq","All","ailuropoda_melanoleuca","age.ltr",0.170595293150971
"rsq","All","ailuropoda_melanoleuca","age.sine",0.063127986730152
"rsq","All","ailuropoda_melanoleuca","age.unknown",-0.172777040326567
"rsq","All","ailuropoda_melanoleuca","prop.ltr",0.812439896295267
"rsq","All","ailuropoda_melanoleuca","prop.sine",-0.505349350260895
"rsq","All","ailuropoda_melanoleuca","age.ltr:prop.ltr",-1.77797239073534
"rsq","All","ailuropoda_melanoleuca","age.sine:prop.sine",1.64087884950584
"rsq","All","amphiprion_percula","(Intercept)",0.635939989123334
"rsq","All","amphiprion_percula","age.line",0.194502807820827
"rsq","All","amphiprion_percula","age.ltr",0.175897884532534
"rsq","All","amphiprion_percula","age.sine",0.0649651922177492
"rsq","All","amphiprion_percula","age.unknown",-0.167307179657578
"rsq","All","amphiprion_percula","prop.ltr",0.823333516105865
"rsq","All","amphiprion_percula","prop.sine",-0.507627586632177
"rsq","All","amphiprion_percula","age.ltr:prop.ltr",-1.79684912663883
"rsq","All","amphiprion_percula","age.sine:prop.sine",1.63971423621877
"rsq","All","anabas_testudineus","(Intercept)",0.642835631796922
"rsq","All","anabas_testudineus","age.line",0.19105524472239
"rsq","All","anabas_testudineus","age.ltr",0.161463774472248
"rsq","All","anabas_testudineus","age.sine",0.0655859845482925
"rsq","All","anabas_testudineus","age.unknown",-0.156305831322659
"rsq","All","anabas_testudineus","prop.ltr",0.789201731124292
"rsq","All","anabas_testudineus","prop.sine",-0.504927352353863
"rsq","All","anabas_testudineus","age.ltr:prop.ltr",-1.75382258198887
"rsq","All","anabas_testudineus","age.sine:prop.sine",1.64043124492732
"rsq","All","anas_platyrhynchos","(Intercept)",0.632967619566654
"rsq","All","anas_platyrhynchos","age.line",0.207980957236639
"rsq","All","anas_platyrhynchos","age.ltr",0.174682263990823
"rsq","All","anas_platyrhynchos","age.sine",0.0492418661536197
"rsq","All","anas_platyrhynchos","age.unknown",-0.162346533200138
"rsq","All","anas_platyrhynchos","prop.ltr",0.822565490498331
"rsq","All","anas_platyrhynchos","prop.sine",-0.525173881554383
"rsq","All","anas_platyrhynchos","age.ltr:prop.ltr",-1.80337112975144
"rsq","All","anas_platyrhynchos","age.sine:prop.sine",1.69198410869049
"rsq","All","aquila_chrysaetos_chrysaetos","(Intercept)",0.635888238951711
"rsq","All","aquila_chrysaetos_chrysaetos","age.line",0.230639681329506
"rsq","All","aquila_chrysaetos_chrysaetos","age.ltr",0.130725900306375
"rsq","All","aquila_chrysaetos_chrysaetos","age.sine",0.0815551053845904
"rsq","All","aquila_chrysaetos_chrysaetos","age.unknown",-0.151932846374956
"rsq","All","aquila_chrysaetos_chrysaetos","prop.ltr",0.799859302823618
"rsq","All","aquila_chrysaetos_chrysaetos","prop.sine",-0.495142983150548
"rsq","All","aquila_chrysaetos_chrysaetos","age.ltr:prop.ltr",-1.7751365483791
"rsq","All","aquila_chrysaetos_chrysaetos","age.sine:prop.sine",1.57385251770713
"rsq","All","astatotilapia_calliptera","(Intercept)",0.632209048029549
"rsq","All","astatotilapia_calliptera","age.line",0.205853226637392
"rsq","All","astatotilapia_calliptera","age.ltr",0.167833735388462
"rsq","All","astatotilapia_calliptera","age.sine",0.0643719820021954
"rsq","All","astatotilapia_calliptera","age.unknown",-0.168533903348294
"rsq","All","astatotilapia_calliptera","prop.ltr",0.815772061506721
"rsq","All","astatotilapia_calliptera","prop.sine",-0.503696870176768
"rsq","All","astatotilapia_calliptera","age.ltr:prop.ltr",-1.78357326377751
"rsq","All","astatotilapia_calliptera","age.sine:prop.sine",1.64319190112518
"rsq","All","athene_cunicularia","(Intercept)",0.634912675418691
"rsq","All","athene_cunicularia","age.line",0.201938544014562
"rsq","All","athene_cunicularia","age.ltr",0.169353976126449
"rsq","All","athene_cunicularia","age.sine",0.057889909450351
"rsq","All","athene_cunicularia","age.unknown",-0.16359736456062
"rsq","All","athene_cunicularia","prop.ltr",0.819581349899716
"rsq","All","athene_cunicularia","prop.sine",-0.512251139375232
"rsq","All","athene_cunicularia","age.ltr:prop.ltr",-1.79247800103256
"rsq","All","athene_cunicularia","age.sine:prop.sine",1.66466728554818
"rsq","All","balaenoptera_musculus","(Intercept)",0.635086630316711
"rsq","All","balaenoptera_musculus","age.line",0.200726243679801
"rsq","All","balaenoptera_musculus","age.ltr",0.169399026737958
"rsq","All","balaenoptera_musculus","age.sine",0.0634263298310171
"rsq","All","balaenoptera_musculus","age.unknown",-0.165700334188046
"rsq","All","balaenoptera_musculus","prop.ltr",0.815095735550374
"rsq","All","balaenoptera_musculus","prop.sine",-0.505330343194448
"rsq","All","balaenoptera_musculus","age.ltr:prop.ltr",-1.78319657337254
"rsq","All","balaenoptera_musculus","age.sine:prop.sine",1.63669733326638
"rsq","All","betta_splendens","(Intercept)",0.632629935066433
"rsq","All","betta_splendens","age.line",0.203838590938725
"rsq","All","betta_splendens","age.ltr",0.165224350731529
"rsq","All","betta_splendens","age.sine",0.0667991498592595
"rsq","All","betta_splendens","age.unknown",-0.165033567244807
"rsq","All","betta_splendens","prop.ltr",0.806327589335896
"rsq","All","betta_splendens","prop.sine",-0.501952550154069
"rsq","All","betta_splendens","age.ltr:prop.ltr",-1.770868580163
"rsq","All","betta_splendens","age.sine:prop.sine",1.64001217386619
"rsq","All","bos_grunniens","(Intercept)",0.646019413568173
"rsq","All","bos_grunniens","age.line",0.173143472871214
"rsq","All","bos_grunniens","age.ltr",0.183189413438436
"rsq","All","bos_grunniens","age.sine",0.0948914776274883
"rsq","All","bos_grunniens","age.unknown",-0.216572304174385
"rsq","All","bos_grunniens","prop.ltr",0.784346935917048
"rsq","All","bos_grunniens","prop.sine",-0.448528395861153
"rsq","All","bos_grunniens","age.ltr:prop.ltr",-1.70720484374097
"rsq","All","bos_grunniens","age.sine:prop.sine",1.55174633363968
"rsq","All","bos_taurus","(Intercept)",0.632941755687259
"rsq","All","bos_taurus","age.line",0.180924660661366
"rsq","All","bos_taurus","age.ltr",0.177636946518186
"rsq","All","bos_taurus","age.sine",0.0736179772688966
"rsq","All","bos_taurus","age.unknown",-0.153211736473515
"rsq","All","bos_taurus","prop.ltr",0.809939591388877
"rsq","All","bos_taurus","prop.sine",-0.490169785069415
"rsq","All","bos_taurus","age.ltr:prop.ltr",-1.77980740973582
"rsq","All","bos_taurus","age.sine:prop.sine",1.60648739740584
"rsq","All","cairina_moschata_domestica","(Intercept)",0.634706222906073
"rsq","All","cairina_moschata_domestica","age.line",0.198492887619859
"rsq","All","cairina_moschata_domestica","age.ltr",0.170862041060751
"rsq","All","cairina_moschata_domestica","age.sine",0.0583731852217431
"rsq","All","cairina_moschata_domestica","age.unknown",-0.163522954174273
"rsq","All","cairina_moschata_domestica","prop.ltr",0.823043478166778
"rsq","All","cairina_moschata_domestica","prop.sine",-0.51095691992903
"rsq","All","cairina_moschata_domestica","age.ltr:prop.ltr",-1.79473717522929
"rsq","All","cairina_moschata_domestica","age.sine:prop.sine",1.6643051661922
"rsq","All","callithrix_jacchus","(Intercept)",0.62672905533346
"rsq","All","callithrix_jacchus","age.line",0.215746374799229
"rsq","All","callithrix_jacchus","age.ltr",0.194008900393584
"rsq","All","callithrix_jacchus","age.sine",0.0509836094273005
"rsq","All","callithrix_jacchus","age.unknown",-0.170236720060435
"rsq","All","callithrix_jacchus","prop.ltr",0.868505789540963
"rsq","All","callithrix_jacchus","prop.sine",-0.554396387336591
"rsq","All","callithrix_jacchus","age.ltr:prop.ltr",-1.89848453830574
"rsq","All","callithrix_jacchus","age.sine:prop.sine",1.72214910737164
"rsq","All","camelus_dromedarius","(Intercept)",0.63301304364381
"rsq","All","camelus_dromedarius","age.line",0.209765640661361
"rsq","All","camelus_dromedarius","age.ltr",0.177542242429502
"rsq","All","camelus_dromedarius","age.sine",0.0699038865270588
"rsq","All","camelus_dromedarius","age.unknown",-0.179261970932129
"rsq","All","camelus_dromedarius","prop.ltr",0.789121485507616
"rsq","All","camelus_dromedarius","prop.sine",-0.537650201540719
"rsq","All","camelus_dromedarius","age.ltr:prop.ltr",-1.71529327149911
"rsq","All","camelus_dromedarius","age.sine:prop.sine",1.66875209130608
"rsq","All","canis_lupus_dingo","(Intercept)",0.635791241915152
"rsq","All","canis_lupus_dingo","age.line",0.19872117960391
"rsq","All","canis_lupus_dingo","age.ltr",0.165258647379432
"rsq","All","canis_lupus_dingo","age.sine",0.0656256303132378
"rsq","All","canis_lupus_dingo","age.unknown",-0.165138040682756
"rsq","All","canis_lupus_dingo","prop.ltr",0.816814410928165
"rsq","All","canis_lupus_dingo","prop.sine",-0.501537535113471
"rsq","All","canis_lupus_dingo","age.ltr:prop.ltr",-1.78240677843607
"rsq","All","canis_lupus_dingo","age.sine:prop.sine",1.62581230881524
"rsq","All","canis_lupus_familiaris","(Intercept)",0.636071285815644
"rsq","All","canis_lupus_familiaris","age.line",0.19967628159783
"rsq","All","canis_lupus_familiaris","age.ltr",0.166731429655628
"rsq","All","canis_lupus_familiaris","age.sine",0.0655843977225967
"rsq","All","canis_lupus_familiaris","age.unknown",-0.16840378216149
"rsq","All","canis_lupus_familiaris","prop.ltr",0.815692687255263
"rsq","All","canis_lupus_familiaris","prop.sine",-0.501959189972376
"rsq","All","canis_lupus_familiaris","age.ltr:prop.ltr",-1.78081206735522
"rsq","All","canis_lupus_familiaris","age.sine:prop.sine",1.63080845538567
"rsq","All","capra_hircus","(Intercept)",0.650014105449096
"rsq","All","capra_hircus","age.line",0.174535018477751
"rsq","All","capra_hircus","age.ltr",0.172770324052784
"rsq","All","capra_hircus","age.sine",0.0951202709143314
"rsq","All","capra_hircus","age.unknown",-0.221991666840242
"rsq","All","capra_hircus","prop.ltr",0.792142304684218
"rsq","All","capra_hircus","prop.sine",-0.442670060398424
"rsq","All","capra_hircus","age.ltr:prop.ltr",-1.70487736896153
"rsq","All","capra_hircus","age.sine:prop.sine",1.54932077234957
"rsq","All","catharus_ustulatus","(Intercept)",0.634678854446098
"rsq","All","catharus_ustulatus","age.line",0.202290112504543
"rsq","All","catharus_ustulatus","age.ltr",0.168824105573551
"rsq","All","catharus_ustulatus","age.sine",0.0649329707842236
"rsq","All","catharus_ustulatus","age.unknown",-0.167411410995705
"rsq","All","catharus_ustulatus","prop.ltr",0.819799386614532
"rsq","All","catharus_ustulatus","prop.sine",-0.505258644466714
"rsq","All","catharus_ustulatus","age.ltr:prop.ltr",-1.7915162935713
"rsq","All","catharus_ustulatus","age.sine:prop.sine",1.64012477681372
"rsq","All","cervus_hanglu_yarkandensis","(Intercept)",0.635235812816628
"rsq","All","cervus_hanglu_yarkandensis","age.line",0.194597521555403
"rsq","All","cervus_hanglu_yarkandensis","age.ltr",0.174567020588916
"rsq","All","cervus_hanglu_yarkandensis","age.sine",0.0682488276567826
"rsq","All","cervus_hanglu_yarkandensis","age.unknown",-0.169021219744953
"rsq","All","cervus_hanglu_yarkandensis","prop.ltr",0.812478485211513
"rsq","All","cervus_hanglu_yarkandensis","prop.sine",-0.503206989403437
"rsq","All","cervus_hanglu_yarkandensis","age.ltr:prop.ltr",-1.77616311885709
"rsq","All","cervus_hanglu_yarkandensis","age.sine:prop.sine",1.63491451954385
"rsq","All","clupea_harengus","(Intercept)",0.637175973237537
"rsq","All","clupea_harengus","age.line",0.201965357735114
"rsq","All","clupea_harengus","age.ltr",0.165392615801735
"rsq","All","clupea_harengus","age.sine",0.0625187307486182
"rsq","All","clupea_harengus","age.unknown",-0.166611504350108
"rsq","All","clupea_harengus","prop.ltr",0.813008994064009
"rsq","All","clupea_harengus","prop.sine",-0.506712258261951
"rsq","All","clupea_harengus","age.ltr:prop.ltr",-1.78099490335182
"rsq","All","clupea_harengus","age.sine:prop.sine",1.64798445899342
"rsq","All","corvus_moneduloides","(Intercept)",0.634240559028312
"rsq","All","corvus_moneduloides","age.line",0.206688200534903
"rsq","All","corvus_moneduloides","age.ltr",0.170600618249248
"rsq","All","corvus_moneduloides","age.sine",0.0604070074208359
"rsq","All","corvus_moneduloides","age.unknown",-0.16834444851676
"rsq","All","corvus_moneduloides","prop.ltr",0.831037720249995
"rsq","All","corvus_moneduloides","prop.sine",-0.511679732149912
"rsq","All","corvus_moneduloides","age.ltr:prop.ltr",-1.81134532939918
"rsq","All","corvus_moneduloides","age.sine:prop.sine",1.65454125215892
"rsq","All","coturnix_japonica","(Intercept)",0.637925190452408
"rsq","All","coturnix_japonica","age.line",0.196940997666125
"rsq","All","coturnix_japonica","age.ltr",0.166468310803934
"rsq","All","coturnix_japonica","age.sine",0.0575901372927974
"rsq","All","coturnix_japonica","age.unknown",-0.169426460967873
"rsq","All","coturnix_japonica","prop.ltr",0.81905465959295
"rsq","All","coturnix_japonica","prop.sine",-0.50756349415454
"rsq","All","coturnix_japonica","age.ltr:prop.ltr",-1.77800418528769
"rsq","All","coturnix_japonica","age.sine:prop.sine",1.66626127749234
"rsq","All","crocodylus_porosus","(Intercept)",0.639695057309921
"rsq","All","crocodylus_porosus","age.line",0.202758519144007
"rsq","All","crocodylus_porosus","age.ltr",0.157987632213108
"rsq","All","crocodylus_porosus","age.sine",0.0600509340577081
"rsq","All","crocodylus_porosus","age.unknown",-0.167749839597449
"rsq","All","crocodylus_porosus","prop.ltr",0.803003786569496
"rsq","All","crocodylus_porosus","prop.sine",-0.505392747095165
"rsq","All","crocodylus_porosus","age.ltr:prop.ltr",-1.75705251472191
"rsq","All","crocodylus_porosus","age.sine:prop.sine",1.65287767031213
"rsq","All","cynoglossus_semilaevis","(Intercept)",0.627970587889312
