"species","prop.total","age.total","prop.dna","age.dna","prop.line","age.line","prop.ltr","age.ltr","prop.sine","age.sine","prop.unknown","age.unknown","prop.others","age.others"
"ailuropoda_melanoleuca",0.30529018207856,18,0.0202270143207856,22,0.172558953355155,20,0.0403778076923077,24,0.0680479693126023,10,0.00378995253682488,10,0.000288484860883797,12
"amazona_collaria",NA,6,NA,28,NA,6,NA,7,NA,30,NA,11,NA,19
"amphiprion_percula",0.389511086908691,8,0.0762709878987899,10,0.0954994697469747,3,0.0258119636963696,15,0.00264225192519252,7,0.187898931793179,10,0.00138748184818482,2
"anabas_testudineus",0.111675014388489,11,0.0319318507194245,12,0.0325318669064748,6,0.00488696582733813,11,0.00230267625899281,11,0.0390490161870504,15,0.000972638489208633,4
"anas_platyrhynchos",0.154709022277228,12,0.00071356600660066,28,0.0947660420792079,13,0.0257389727722772,7,0.000371370462046205,30,0.0315757153465347,11,0.00154335561056106,10
"anas_zonorhyncha",NA,16,NA,29,NA,18,NA,11,NA,31,NA,13,NA,23
"anolis_carolinensis",NA,10,NA,9,NA,10,NA,6,NA,7,NA,13,NA,4
"anser_brachyrhynchus",NA,18,NA,29,NA,19,NA,12,NA,31,NA,21,NA,23
"anser_cygnoides",NA,18,NA,28,NA,20,NA,13,NA,31,NA,20,NA,20
"aotus_nancymaae",NA,15,NA,18,NA,19,NA,18,NA,9,NA,18,NA,14
"aquila_chrysaetos_chrysaetos",0.0589187581047382,13,0.00107726932668329,29,0.0260027680798005,24,0.0222770457190357,7,0.000442036575228595,31,0.00903393349958437,19,8.57049044056525e-05,11
"astatotilapia_calliptera",0.321418993181818,6,0.1193585875,4,0.0753293375,4,0.0207389795454545,11,0.00252376022727273,8,0.0981878556818182,11,0.00528047272727273,13
"astyanax_mexicanus",NA,10,NA,8,NA,6,NA,14,NA,16,NA,11,NA,19
"athene_cunicularia",0.068466915298185,14,0.00114332843560933,27,0.03811992653414,18,0.0177751227312014,12,0.000407162489196197,31,0.0109115980985307,11,0.000109777009507347,21
"balaenoptera_musculus",0.361653276470588,16,0.0256583155462185,19,0.236037441176471,15,0.0464800483193277,21,0.0511023399159664,6,0.00175182605042017,21,0.000623305462184874,28
"betta_splendens",0.19222525170068,6,0.0227021859410431,7,0.0518834965986395,3,0.0299119319727891,11,0.00609204535147392,4,0.078389201814059,8,0.00324639002267574,5
"bison_bison_bison",NA,11,NA,23,NA,9,NA,22,NA,11,NA,4,NA,12
"bos_grunniens",0.430874029650547,10,0.0159312439110484,21,0.287011818213908,8,0.0370963918108013,22,0.0740895499470526,11,0.0155342379103424,4,0.00121078785739499,18
"bos_taurus",0.461165966801918,11,0.0152641523423091,21,0.281234676134268,8,0.0379925706381409,21,0.0720733766137956,10,0.053624371080782,22,0.000976819992622648,15
"bubo_bubo",NA,12,NA,27,NA,16,NA,11,NA,31,NA,10,NA,16
"buteo_japonicus",NA,13,NA,28,NA,21,NA,8,NA,31,NA,16,NA,15
"cairina_moschata_domestica",0.0559927935076646,19,0.000909294860234445,28,0.0385130658250676,22,0.0105227330928765,12,0.000277628494138864,31,0.00566396032461677,13,0.000106110910730388,23
"calidris_pugnax",NA,15,NA,29,NA,14,NA,13,NA,31,NA,20,NA,24
"calidris_pygmaea",NA,16,NA,28,NA,16,NA,12,NA,31,NA,19,NA,12
"callithrix_jacchus",0.421914344522968,14,0.0226436696113074,19,0.195207331448763,16,0.0700479416961131,19,0.126723269257951,10,0.00345359434628975,22,0.00383853816254417,20
"camarhynchus_parvulus",0.0941845911654135,17,0.00047049530075188,28,0.030305007518797,21,0.0224621992481203,14,0.000268896616541353,29,0.0384434661654135,NA,0.00223452631578947,21
"camelus_dromedarius",0.27371671634169,22,0.0226654558960074,22,0.164209038532962,22,0.0479707780872795,23,0.0175989832869081,23,0.0210270501392758,16,0.000245410399257196,11
"canis_lupus_dingo",0.313463155327869,19,0.0177229602459016,22,0.164903755327869,20,0.0353775040983607,25,0.0931861643442623,13,0.00197558852459016,16,0.000297182786885246,10
"canis_lupus_familiaris",0.31626976303713,19,0.0179096157697121,22,0.160113809762203,21,0.0348560479766375,25,0.100969092198582,13,0.00186589528577388,23,0.000555302044221944,30
"capra_hircus",0.505893915497776,7,0.0140116609647622,22,0.285128443722203,8,0.0457373872733493,18,0.0694845579883681,11,0.0904880461854259,4,0.00104381936366746,15
"carassius_auratus",NA,NA,NA,7,NA,5,NA,12,NA,6,NA,NA,NA,8
"catagonus_wagneri",NA,13,NA,23,NA,18,NA,24,NA,10,NA,7,NA,0
"catharus_ustulatus",0.10339410335689,16,0.00590310424028269,10,0.0280601254416961,22,0.0339713454063604,9,0.000253572438162544,28,0.0336296969964664,15,0.00157625883392226,24
"cavia_aperea",NA,15,NA,21,NA,14,NA,17,NA,13,NA,13,NA,7
"cavia_porcellus",NA,16,NA,22,NA,15,NA,19,NA,14,NA,15,NA,14
"cebus_imitator",NA,15,NA,18,NA,19,NA,18,NA,10,NA,21,NA,11
"cercocebus_atys",NA,15,NA,18,NA,20,NA,16,NA,9,NA,23,NA,26
"cervus_hanglu_yarkandensis",0.383646682729375,12,0.0166394086353123,22,0.277487552428682,10,0.0390853519660756,22,0.0467258384734002,12,0.00340377833461835,14,0.000304752891287587,8
"chelydra_serpentina",NA,12,NA,8,NA,11,NA,14,NA,23,NA,14,NA,10
"chinchilla_lanigera",NA,20,NA,20,NA,24,NA,21,NA,14,NA,21,NA,8
"chlorocebus_sabaeus",0.419724725448029,15,0.0259759756272401,18,0.160634365232975,20,0.0797670745519713,17,0.134237340143369,9,0.00172708064516129,NA,0.0173828892473118,21
"chrysemys_picta_bellii",NA,14,NA,8,NA,13,NA,20,NA,25,NA,14,NA,10
"clupea_harengus",0.253290176844784,9,0.0635625063613232,4,0.0378246526717557,10,0.0185093218829517,5,0.0013782048346056,9,0.129410918575064,12,0.00260457251908397,13
"colobus_angolensis_palliatus",NA,15,NA,18,NA,21,NA,16,NA,8,NA,25,NA,22
"corvus_moneduloides",0.088313781671159,14,0.000812871518418688,26,0.0340313297394429,19,0.0407932893081761,7,0.000652386343216532,16,0.0109872416891285,11,0.00103666307277628,18
"coturnix_japonica",0.0760456594827586,20,0.00649199676724138,16,0.051390474137931,23,0.0046236411637931,14,0.000194023706896552,31,0.0132276433189655,18,0.000117880387931034,13
"crocodylus_porosus",0.310296327804878,16,0.0407314956097561,13,0.120153531707317,17,0.00508103365853659,22,0.0020354512195122,30,0.141070217560976,16,0.00122459804878049,11
"cyanistes_caeruleus",NA,19,NA,26,NA,21,NA,14,NA,19,NA,16,NA,21
"cynoglossus_semilaevis",0.0866796787234042,10,0.0325404127659574,10,0.00921398936170213,5,0.00285513829787234,7,0.00246823191489362,8,0.0392942744680851,11,0.000307631914893617,12
"cyprinus_carpio_carpio",0.359170434931507,9,0.16928178630137,9,0.0380044452054795,7,0.0322476089041096,14,0.00519008287671233,5,0.0933313280821918,10,0.0211151835616438,11
"dasypus_novemcinctus",NA,16,NA,20,NA,17,NA,16,NA,8,NA,11,NA,16
"delphinapterus_leucas",0.362210272958104,15,0.0248289500634786,19,0.249994648328396,14,0.0447212831146847,21,0.0393686622936945,8,0.00168544646635633,17,0.00161128269149386,16
"dicentrarchus_labrax",0.192682642241379,10,0.0399551364942529,9,0.027066558908046,4,0.00413162787356322,8,0.00475050287356322,8,0.110233145114943,12,0.00654567097701149,9
"dipodomys_ordii",NA,15,NA,27,NA,13,NA,23,NA,14,NA,15,NA,25
"dromaius_novaehollandiae",NA,24,NA,29,NA,28,NA,8,NA,32,NA,20,NA,22
"electrophorus_electricus",0.172832290322581,13,0.0322589032258065,13,0.0312911782682513,10,0.0229753870967742,12,0.00821214261460102,12,0.0765070594227504,15,0.00158761969439728,15
"eptatretus_burgeri",NA,10,NA,7,NA,9,NA,9,NA,11,NA,11,NA,NA
"equus_asinus",0.330163409128289,20,0.0262051994243421,20,0.189280355263158,21,0.0603310953947368,21,0.0507532117598684,10,0.00286458388157895,25,0.000728963404605263,27
"equus_caballus",0.331241913841245,20,0.0267157475069805,20,0.187502076984444,21,0.0593768843238931,21,0.0502586996410052,9,0.00717141204627044,15,0.000217093338651775,22
"erpetoichthys_calabaricus",0.514114459721858,9,0.146909941485175,6,0.130904044870113,7,0.0337720325373918,8,0.012117502492784,10,0.168383882707951,13,0.022027055628444,5
"erythrura_gouldiae",NA,17,NA,17,NA,20,NA,14,NA,20,NA,11,NA,18
"esox_lucius",0.377396785636561,7,0.180962314472252,6,0.0584721773667029,4,0.016986795429815,8,0.00237579216539717,19,0.117335880304679,11,0.00126382589771491,6
"falco_tinnunculus",NA,17,NA,22,NA,23,NA,14,NA,32,NA,14,NA,14
"felis_catus",0.323483437747819,16,0.0283235642347343,17,0.160791776764473,19,0.037427986518636,24,0.092853192704203,9,0.00381685170499604,24,0.000270065820777161,10
"ficedula_albicollis",0.054774217352415,19,0.000705499105545617,29,0.0283182021466905,21,0.0192210035778175,16,0.000188177996422182,31,0.00409459928443649,21,0.00224673524150268,18
"fukomys_damarensis",NA,19,NA,20,NA,19,NA,24,NA,15,NA,18,NA,11
