"species","prop.dna","age.dna","prop.line","age.line","prop.ltr","age.ltr","prop.sine","age.sine","prop.unknown","age.unknown","prop.others","age.others"
"Ailuropoda_melanoleuca",0.0202270143207856,23,0.172558953355155,21,0.0403778076923077,25,0.0680479693126023,11,0.00378995253682488,11,0.000288484860883797,13
"Amazona_collaria",NA,29,NA,7,NA,8,NA,31,NA,12,NA,20
"Amphiprion_percula",0.0762709878987899,11,0.0954994697469747,4,0.0258119636963696,16,0.00264225192519252,8,0.187898931793179,11,0.00138748184818482,3
"Anabas_testudineus",0.0319318507194245,13,0.0325318669064748,7,0.00488696582733813,12,0.00230267625899281,12,0.0390490161870504,16,0.000972638489208633,5
"Anas_platyrhynchos",0.00071356600660066,29,0.0947660420792079,14,0.0257389727722772,8,0.000371370462046205,31,0.0315757153465347,12,0.00154335561056106,11
"Anas_zonorhyncha",NA,30,NA,19,NA,12,NA,32,NA,14,NA,24
"Anolis_carolinensis",NA,10,NA,11,NA,7,NA,8,NA,14,NA,5
"Anser_brachyrhynchus",NA,30,NA,20,NA,13,NA,32,NA,22,NA,24
"Anser_cygnoides",NA,29,NA,21,NA,14,NA,32,NA,21,NA,21
"Aotus_nancymaae",NA,19,NA,20,NA,19,NA,10,NA,19,NA,15
"Aquila_chrysaetos_chrysaetos",0.00107726932668329,30,0.0260027680798005,25,0.0222770457190357,8,0.000442036575228595,32,0.00903393349958437,20,8.57049044056525e-05,12
"Astatotilapia_calliptera",0.1193585875,5,0.0753293375,5,0.0207389795454545,12,0.00252376022727273,9,0.0981878556818182,12,0.00528047272727273,14
"Astyanax_mexicanus",NA,9,NA,7,NA,15,NA,17,NA,12,NA,20
"Athene_cunicularia",0.00114332843560933,28,0.03811992653414,19,0.0177751227312014,13,0.000407162489196197,32,0.0109115980985307,12,0.000109777009507347,22
"Balaenoptera_musculus",0.0256583155462185,20,0.236037441176471,16,0.0464800483193277,22,0.0511023399159664,7,0.00175182605042017,22,0.000623305462184874,29
"Betta_splendens",0.0227021859410431,8,0.0518834965986395,4,0.0299119319727891,12,0.00609204535147392,5,0.078389201814059,9,0.00324639002267574,6
"Bison_bison_bison",NA,24,NA,10,NA,23,NA,12,NA,5,NA,13
"Bos_grunniens",0.0159312439110484,22,0.287011818213908,9,0.0370963918108013,23,0.0740895499470526,12,0.0155342379103424,5,0.00121078785739499,19
"Bos_taurus",0.0152641523423091,22,0.281234676134268,9,0.0379925706381409,22,0.0720733766137956,11,0.053624371080782,23,0.000976819992622648,16
"Bubo_bubo",NA,28,NA,17,NA,12,NA,32,NA,11,NA,17
"Buteo_japonicus",NA,29,NA,22,NA,9,NA,32,NA,17,NA,16
"Cairina_moschata_domestica",0.000909294860234445,29,0.0385130658250676,23,0.0105227330928765,13,0.000277628494138864,32,0.00566396032461677,14,0.000106110910730388,24
"Calidris_pugnax",NA,30,NA,15,NA,14,NA,32,NA,21,NA,25
"Calidris_pygmaea",NA,29,NA,17,NA,13,NA,32,NA,20,NA,13
"Callithrix_jacchus",0.0226436696113074,20,0.195207331448763,17,0.0700479416961131,20,0.126723269257951,11,0.00345359434628975,23,0.00383853816254417,21
"Camarhynchus_parvulus",0.00047049530075188,29,0.030305007518797,22,0.0224621992481203,15,0.000268896616541353,30,0.0384434661654135,17,0.00223452631578947,22
"Camelus_dromedarius",0.0226654558960074,23,0.164209038532962,23,0.0479707780872795,24,0.0175989832869081,24,0.0210270501392758,17,0.000245410399257196,12
"Canis_lupus_dingo",0.0177229602459016,23,0.164903755327869,21,0.0353775040983607,26,0.0931861643442623,14,0.00197558852459016,17,0.000297182786885246,11
"Canis_lupus_familiaris",0.0179096157697121,23,0.160113809762203,22,0.0348560479766375,26,0.100969092198582,14,0.00186589528577388,24,0.000555302044221944,31
"Capra_hircus",0.0140116609647622,23,0.285128443722203,9,0.0457373872733493,19,0.0694845579883681,12,0.0904880461854259,5,0.00104381936366746,16
"Carassius_auratus",NA,8,NA,6,NA,13,NA,7,NA,10,NA,9
"Catagonus_wagneri",NA,24,NA,19,NA,25,NA,11,NA,8,NA,1
"Catharus_ustulatus",0.00590310424028269,11,0.0280601254416961,23,0.0339713454063604,10,0.000253572438162544,29,0.0336296969964664,16,0.00157625883392226,25
"Cavia_aperea",NA,22,NA,15,NA,18,NA,14,NA,14,NA,8
"Cavia_porcellus",NA,23,NA,16,NA,20,NA,15,NA,16,NA,15
"Cebus_imitator",NA,19,NA,20,NA,19,NA,11,NA,22,NA,12
"Cercocebus_atys",NA,19,NA,21,NA,17,NA,10,NA,24,NA,27
"Cervus_hanglu_yarkandensis",0.0166394086353123,23,0.277487552428682,11,0.0390853519660756,23,0.0467258384734002,13,0.00340377833461835,15,0.000304752891287587,9
"Chelydra_serpentina",NA,9,NA,12,NA,15,NA,24,NA,15,NA,11
"Chinchilla_lanigera",NA,21,NA,25,NA,22,NA,15,NA,22,NA,9
"Chlorocebus_sabaeus",0.0259759756272401,19,0.160634365232975,21,0.0797670745519713,18,0.134237340143369,10,0.00172708064516129,26,0.0173828892473118,22
"Chrysemys_picta_bellii",NA,9,NA,14,NA,21,NA,26,NA,15,NA,11
"Clupea_harengus",0.0635625063613232,5,0.0378246526717557,11,0.0185093218829517,6,0.0013782048346056,10,0.129410918575064,13,0.00260457251908397,14
"Colobus_angolensis_palliatus",NA,19,NA,22,NA,17,NA,9,NA,26,NA,23
"Corvus_moneduloides",0.000812871518418688,27,0.0340313297394429,20,0.0407932893081761,8,0.000652386343216532,17,0.0109872416891285,12,0.00103666307277628,19
"Coturnix_japonica",0.00649199676724138,17,0.051390474137931,24,0.0046236411637931,15,0.000194023706896552,32,0.0132276433189655,19,0.000117880387931034,14
"Crocodylus_porosus",0.0407314956097561,14,0.120153531707317,18,0.00508103365853659,23,0.0020354512195122,31,0.141070217560976,17,0.00122459804878049,12
"Cyanistes_caeruleus",NA,27,NA,22,NA,15,NA,20,NA,17,NA,22
"Cynoglossus_semilaevis",0.0325404127659574,11,0.00921398936170213,6,0.00285513829787234,8,0.00246823191489362,9,0.0392942744680851,12,0.000307631914893617,13
"Cyprinus_carpio_carpio",0.16928178630137,10,0.0380044452054795,8,0.0322476089041096,15,0.00519008287671233,6,0.0933313280821918,11,0.0211151835616438,12
"Dasypus_novemcinctus",NA,21,NA,18,NA,17,NA,9,NA,12,NA,17
"Delphinapterus_leucas",0.151213425257732,20,1.52251895360825,15,0.272361835051546,22,0.239763270618557,9,0.0102647164948454,18,0.00981304381443299,17
"Dicentrarchus_labrax",0.0399551364942529,10,0.027066558908046,5,0.00413162787356322,9,0.00475050287356322,9,0.110233145114943,13,0.00654567097701149,10
"Dipodomys_ordii",NA,28,NA,14,NA,24,NA,15,NA,16,NA,26
"Dromaius_novaehollandiae",NA,30,NA,29,NA,9,NA,33,NA,21,NA,23
"Electrophorus_electricus",0.0322589032258065,14,0.0312911782682513,11,0.0229753870967742,13,0.00821214261460102,13,0.0765070594227504,16,0.00158761969439728,16
"Eptatretus_burgeri",NA,8,NA,10,NA,10,NA,12,NA,12,NA,12
"Equus_asinus",0.0262051994243421,21,0.189280355263158,22,0.0603310953947368,22,0.0507532117598684,11,0.00286458388157895,26,0.000728963404605263,28
"Equus_caballus",0.0267157475069805,21,0.187502076984444,22,0.0593768843238931,22,0.0502586996410052,10,0.00717141204627044,16,0.000217093338651775,23
"Erpetoichthys_calabaricus",0.146909941485175,7,0.130904044870113,8,0.0337720325373918,9,0.012117502492784,11,0.168383882707951,14,0.022027055628444,6
"Erythrura_gouldiae",NA,18,NA,21,NA,15,NA,21,NA,12,NA,19
"Esox_lucius",0.180962314472252,7,0.0584721773667029,5,0.016986795429815,9,0.00237579216539717,20,0.117335880304679,12,0.00126382589771491,7
