"dataset","species","dropped.rsq","dropped.gini","dropped.cv","n.responses"
"Actinopterygii","cyprinus_carpio_carpio",TRUE,TRUE,TRUE,3
"Actinopterygii","scophthalmus_maximus",TRUE,TRUE,TRUE,3
"Actinopterygii","anabas_testudineus",FALSE,FALSE,TRUE,1
"Actinopterygii","electrophorus_electricus",FALSE,FALSE,TRUE,1
"Actinopterygii","oreochromis_niloticus",FALSE,TRUE,FALSE,1
"Actinopterygii","oryzias_javanicus",TRUE,FALSE,FALSE,1
"Actinopterygii","salarias_fasciatus",FALSE,TRUE,FALSE,1
"Actinopterygii","tetraodon_nigroviridis",TRUE,FALSE,FALSE,1
"All","mus_musculus",TRUE,TRUE,TRUE,3
"All","scophthalmus_maximus",TRUE,TRUE,TRUE,3
"All","camelus_dromedarius",TRUE,TRUE,FALSE,2
"All","delphinapterus_leucas",FALSE,TRUE,TRUE,2
"All","melopsittacus_undulatus",FALSE,TRUE,TRUE,2
"All","ornithorhynchus_anatinus",TRUE,TRUE,FALSE,2
"All","oryctolagus_cuniculus",FALSE,TRUE,TRUE,2
"All","sarcophilus_harrisii",FALSE,TRUE,TRUE,2
"All","aquila_chrysaetos_chrysaetos",TRUE,FALSE,FALSE,1
"All","bos_grunniens",TRUE,FALSE,FALSE,1
"All","canis_lupus_dingo",FALSE,FALSE,TRUE,1
"All","capra_hircus",TRUE,FALSE,FALSE,1
"All","corvus_moneduloides",FALSE,TRUE,FALSE,1
"All","equus_caballus",FALSE,FALSE,TRUE,1
"All","erpetoichthys_calabaricus",FALSE,TRUE,FALSE,1
"All","gopherus_evgoodei",FALSE,FALSE,TRUE,1
"All","gorilla_gorilla",TRUE,FALSE,FALSE,1
"All","monodelphis_domestica",FALSE,TRUE,FALSE,1
"All","nomascus_leucogenys",FALSE,FALSE,TRUE,1
"All","rhinolophus_ferrumequinum",TRUE,FALSE,FALSE,1
"All","sciurus_vulgaris",FALSE,FALSE,TRUE,1
"All","suricata_suricatta",TRUE,FALSE,FALSE,1
"All","tetraodon_nigroviridis",TRUE,FALSE,FALSE,1
"Mammalia","sarcophilus_harrisii",TRUE,TRUE,TRUE,3
"Mammalia","mus_musculus",FALSE,TRUE,TRUE,2
"Mammalia","rhinolophus_ferrumequinum",TRUE,FALSE,TRUE,2
"Mammalia","bos_taurus",FALSE,FALSE,TRUE,1
"Mammalia","camelus_dromedarius",TRUE,FALSE,FALSE,1
"Mammalia","capra_hircus",FALSE,TRUE,FALSE,1
"Mammalia","equus_caballus",TRUE,FALSE,FALSE,1
"Mammalia","monodelphis_domestica",FALSE,TRUE,FALSE,1
"Mammalia","ovis_aries_rambouillet",FALSE,TRUE,FALSE,1
"Mammalia","sciurus_vulgaris",FALSE,FALSE,TRUE,1
"Mammalia","suricata_suricatta",TRUE,FALSE,FALSE,1
"Sauropsida","aquila_chrysaetos_chrysaetos",TRUE,FALSE,FALSE,1
"Sauropsida","crocodylus_porosus",FALSE,FALSE,TRUE,1
"Sauropsida","ficedula_albicollis",FALSE,FALSE,TRUE,1
"Sauropsida","melopsittacus_undulatus",TRUE,FALSE,FALSE,1
"Sauropsida","naja_naja",FALSE,TRUE,FALSE,1
"Sauropsida","podarcis_muralis",FALSE,TRUE,FALSE,1
