"file","lower","N","assem_sz"
"./GCA_036927025.1/GCA_036927025.1_ASM3692702v1_genomic.fna",39021725,10203,133191536
"./GCA_964341225.1/GCA_964341225.1_Col0_assembly_genomic.fna",37979132,137632,133233903
"./GCA_949796525.1/GCA_949796525.1_6923_genomic.fna",38978769,1700,134098913
"./GCA_036927475.1/GCA_036927475.1_ASM3692747v1_genomic.fna",43241761,10404,137601218
"./GCA_024498475.1/GCA_024498475.1_ASM2449847v1_genomic.fna",29474490,11100,123948801
"./GCA_028009825.2/GCA_028009825.2_Col-CC_genomic.fna",39487648,0,142481470
"./GCA_949796385.1/GCA_949796385.1_9852_genomic.fna",44445661,1100,138593127
"./GCA_036927355.1/GCA_036927355.1_ASM3692735v1_genomic.fna",41480481,14625,135627156
"./GCA_036927365.1/GCA_036927365.1_ASM3692736v1_genomic.fna",35873403,6400,129607611
"./GCA_946415005.1/GCA_946415005.1_ANGE-B-2.PacbioHiFiAssembly_genomic.fna",42382117,500,136497803
"./GCA_949796645.1/GCA_949796645.1_6137_genomic.fna",41914270,700,136505197
"./GCA_902460305.1/GCA_902460305.1_Arabidopsis_thaliana_Kyo_genomic.fna",26773513,23000,122220815
"./GCA_965117495.1/GCA_965117495.1_LANT-B-1.22039.PacbioHiFiAssembly_genomic.fna",42142165,400,136948702
"./GCA_946409815.1/GCA_946409815.1_SALE-A-17.PacbioHiFiAssembly_genomic.fna",40473936,1000,134914949
"./GCA_965117675.1/GCA_965117675.1_BOULO-A-1.22023.PacbioHiFiAssembly_genomic.fna",40994921,1100,135515045
"./GCA_902651935.1/GCA_902651935.1_araThaAn1v1_genomic.fna",25995393,20000,120141237
"./GCA_964199895.1/GCA_964199895.1_MA32-59.Col-0.PacbioHiFiAssembly_genomic.fna",39179657,700,134338085
"./GCA_036927085.1/GCA_036927085.1_ASM3692708v1_genomic.fna",37154934,7602,131394465
"./GCA_023115395.1/GCA_023115395.1_ASM2311539v1_genomic.fna",37634076,0,132081574
"./GCA_965117655.1/GCA_965117655.1_NAUV-B-14.22051.PacbioHiFiAssembly_genomic.fna",41448440,1400,136968187
"./GCA_933208065.1/GCA_933208065.1_ddAraThal4.1_genomic.fna",41733394,7600,138837971
"./GCA_902460315.1/GCA_902460315.1_Arabidopsis_thaliana_Eri-1_genomic.fna",26311939,29000,120809609
"./GCA_946413285.1/GCA_946413285.1_IP-Hum-2.9549.PacbioHiFiAssembly_genomic.fna",43965299,900,140009531
"./GCA_965117725.1/GCA_965117725.1_AUZE-A-11.22011.PacbioHiFiAssembly_genomic.fna",39982751,900,134374616
"./GCA_946409395.1/GCA_946409395.1_BROU-A-10.PacbioHiFiAssembly_genomic.fna",38494196,100,133376183
"./GCA_965117685.1/GCA_965117685.1_CARL-A-16.22030.PacbioHiFiAssembly_genomic.fna",41108186,700,136449696
"./GCA_946409825.1/GCA_946409825.1_Tanz-1.10024.PacbioHiFiAssembly_genomic.fna",48413901,0,143501748
"./GCA_904420315.1/GCA_904420315.1_AT9943.Cdm-0.scaffold_genomic.fna",29604101,4235334,130173803
"./GCA_965117645.1/GCA_965117645.1_BROU-A-2.22026.PacbioHiFiAssembly_genomic.fna",40692065,1300,134872207
"./GCA_965117525.1/GCA_965117525.1_NAUV-B-7.22052.PacbioHiFiAssembly_genomic.fna",40035646,1200,135060692
"./GCA_902460295.1/GCA_902460295.1_Arabidopsis_thaliana_Sha_genomic.fna",26919260,24500,120299383
"./GCA_946405905.1/GCA_946405905.1_MONTM-B-16.PacbioHiFiAssembly_genomic.fna",42877644,1600,138390031
"./GCA_043165235.1/GCA_043165235.1_IMAGED_Live_21_genomic.fna",34218806,0,128064326
"./GCA_965117595.1/GCA_965117595.1_MONF-A-14.22046.PacbioHiFiAssembly_genomic.fna",42574967,900,137847692
