sp,assem,lowercase,N,assembly_size,date
Homo_sapiens,GRCh37,1060612707,239850799,3.13714e+09,15-Feb-2009
Homo_sapiens,GRCh38,1158503838,159970223,3.20929e+09,15-Dec-2013
Homo_sapiens,hg10,1375578294,367884803,3.22091e+09,15-Dec-2001
Homo_sapiens,hg11,1282077035,318223684,3.20273e+09,15-Apr-2002
Homo_sapiens,hg12,1364202620,233640785,3.05829e+09,15-Jun-2002
Homo_sapiens,hg13,1384293152,209232771,3.07007e+09,15-Nov-2002
Homo_sapiens,hg16,1389875606,232929687,3.09803e+09,15-Jul-2003
Homo_sapiens,hg17,1392070433,228904256,3.09502e+09,15-May-2004
Homo_sapiens,hg18,1407515073,226248662,3.10768e+09,15-Mar-2006
Homo_sapiens,hg4,24275861,606300317,3.27223e+09,15-Sep-2000
Homo_sapiens,hg5,24275924,287609295,2.98021e+09,15-Oct-2000
Homo_sapiens,hg6,24275861,617960324,3.33413e+09,15-Dec-2000
Homo_sapiens,hg7,89139708,550332490,3.31609e+09,15-Apr-2001
Homo_sapiens,hg8,135272658,545772359,3.47523e+09,15-Aug-2001
Homo_sapiens,T2T-CHM13v2.0,1255459380,0,3.11728e+09,15-Jan-2022
Mus_musculus,GRCm39,967259241,73600764,2.72823e+09,15-Jun-2020
Mus_musculus,mm1,913828458,911891581,3.27409e+09,15-Nov-2001
Mus_musculus,mm10,1198521320,78082998,2.73087e+09,15-Dec-2011
Mus_musculus,mm2,1037964728,247552690,2.727e+09,15-Feb-2002
Mus_musculus,mm3,1081834408,198798051,2.70822e+09,15-Feb-2003
Mus_musculus,mm4,1132556679,324703171,2.95261e+09,15-Oct-2003
Mus_musculus,mm5,1138994515,548340599,3.16495e+09,15-May-2004
Mus_musculus,mm6,1111856622,481761839,3.07963e+09,15-Mar-2005
Mus_musculus,mm7,1094259908,264043531,2.84772e+09,15-Aug-2005
Mus_musculus,mm8,1089364010,97158250,2.66446e+09,15-Feb-2006
Mus_musculus,mm9,1155321795,105405978,2.72577e+09,15-Jul-2007
