species,divergence,totalength.Mbp,percent.cvrg,repeat.class
Ailuropoda melanoleuca,0,0.015233,0.000623266038070783,DNA
Ailuropoda melanoleuca,1,0.019946,0.000816100859670441,DNA
Ailuropoda melanoleuca,2,0.032869,0.00134485205838302,DNA
Ailuropoda melanoleuca,3,0.031578,0.0012920301286811,DNA
Ailuropoda melanoleuca,4,0.023279,0.00095247227074442,DNA
Ailuropoda melanoleuca,5,0.034344,0.0014052024428217,DNA
Ailuropoda melanoleuca,6,0.056392,0.00230730771475662,DNA
Ailuropoda melanoleuca,7,0.100292,0.00410349881771122,DNA
Ailuropoda melanoleuca,8,0.208578,0.00853407626132264,DNA
Ailuropoda melanoleuca,9,0.425347,0.0174032915049756,DNA
Ailuropoda melanoleuca,10,0.806848,0.0330126013447998,DNA
Ailuropoda melanoleuca,11,1.396688,0.0571462086378918,DNA
Ailuropoda melanoleuca,12,1.770606,0.0724452561284288,DNA
Ailuropoda melanoleuca,13,1.892416,0.0774291749951919,DNA
Ailuropoda melanoleuca,14,1.721472,0.0704349132206254,DNA
Ailuropoda melanoleuca,15,1.707062,0.0698453206512956,DNA
Ailuropoda melanoleuca,16,1.800143,0.0736537776912527,DNA
Ailuropoda melanoleuca,17,1.917163,0.0784417112417709,DNA
Ailuropoda melanoleuca,18,2.091117,0.0855591287161072,DNA
Ailuropoda melanoleuca,19,2.310317,0.0945278095764181,DNA
Ailuropoda melanoleuca,20,2.399808,0.0981893799179787,DNA
Ailuropoda melanoleuca,21,2.608195,0.10671564131596,DNA
Ailuropoda melanoleuca,22,2.615067,0.106996812734172,DNA
Ailuropoda melanoleuca,23,2.537335,0.103816367932011,DNA
Ailuropoda melanoleuca,24,2.435938,0.0996676574703647,DNA
Ailuropoda melanoleuca,25,2.378583,0.0973209481147848,DNA
Ailuropoda melanoleuca,26,2.186898,0.0894780576462232,DNA
Ailuropoda melanoleuca,27,2.127433,0.0870450165542598,DNA
Ailuropoda melanoleuca,28,1.902758,0.0778523232500155,DNA
Ailuropoda melanoleuca,29,1.681698,0.0688075395320396,DNA
Ailuropoda melanoleuca,30,1.536167,0.0628530637369579,DNA
Ailuropoda melanoleuca,31,1.30361,0.0533378743444793,DNA
Ailuropoda melanoleuca,32,1.087516,0.0444962770733661,DNA
Ailuropoda melanoleuca,33,0.912479,0.0373345480964216,DNA
Ailuropoda melanoleuca,34,0.77021,0.0315135387108578,DNA
Ailuropoda melanoleuca,35,0.638141,0.0261098675770057,DNA
Ailuropoda melanoleuca,36,0.517079,0.0211565535153681,DNA
Ailuropoda melanoleuca,37,0.389802,0.0159489495287906,DNA
Ailuropoda melanoleuca,38,0.287564,0.0117658291191352,DNA
Ailuropoda melanoleuca,39,0.218214,0.00892833816264543,DNA
Ailuropoda melanoleuca,40,0.15786,0.00645892317795928,DNA
Ailuropoda melanoleuca,41,0.106862,0.0043723137504313,DNA
Ailuropoda melanoleuca,42,0.085134,0.00348330144325596,DNA
Ailuropoda melanoleuca,43,0.056561,0.00231422243677027,DNA
Ailuropoda melanoleuca,44,0.044698,0.00182884168382379,DNA
Ailuropoda melanoleuca,45,0.026832,0.00109784509509061,DNA
Ailuropoda melanoleuca,46,0.023575,0.00096458326314703,DNA
Ailuropoda melanoleuca,47,0.012534,0.000512835063426718,DNA
Ailuropoda melanoleuca,48,0.007896,0.000323068905442585,DNA
Ailuropoda melanoleuca,49,0.006461,0.000264355141598853,DNA
Ailuropoda melanoleuca,50,0.00197,8.06035643011516e-05,DNA
Ailuropoda melanoleuca,51,0.002427,9.93019545984238e-05,DNA
Ailuropoda melanoleuca,52,0.002069,8.4654200273646e-05,DNA
Ailuropoda melanoleuca,53,0.001036,4.23884734091335e-05,DNA
Ailuropoda melanoleuca,54,0.001157,4.73392507088489e-05,DNA
Ailuropoda melanoleuca,55,0.00081,3.31415670476816e-05,DNA
Ailuropoda melanoleuca,56,0.000334,1.36657819678095e-05,DNA
Ailuropoda melanoleuca,57,0.000174,7.11929958802049e-06,DNA
Ailuropoda melanoleuca,58,0.000248,1.01470476886729e-05,DNA
Ailuropoda melanoleuca,59,0,0,DNA
Ailuropoda melanoleuca,60,0,0,DNA
Ailuropoda melanoleuca,61,0,0,DNA
Ailuropoda melanoleuca,62,0,0,DNA
Ailuropoda melanoleuca,63,0,0,DNA
Ailuropoda melanoleuca,64,0,0,DNA
Ailuropoda melanoleuca,65,0,0,DNA
Ailuropoda melanoleuca,66,0,0,DNA
Ailuropoda melanoleuca,67,0,0,DNA
Ailuropoda melanoleuca,68,0,0,DNA
Ailuropoda melanoleuca,69,0,0,DNA
Ailuropoda melanoleuca,70,0,0,DNA
Ailuropoda melanoleuca,0,17.404812,0.712126844259622,LINE
Ailuropoda melanoleuca,1,5.195039,0.212557695473853,LINE
Ailuropoda melanoleuca,2,5.088762,0.208209317299623,LINE
Ailuropoda melanoleuca,3,5.752276,0.235357334235518,LINE
Ailuropoda melanoleuca,4,6.871953,0.281169495182737,LINE
Ailuropoda melanoleuca,5,7.91216,0.323730100162944,LINE
Ailuropoda melanoleuca,6,9.204179,0.376593722774522,LINE
Ailuropoda melanoleuca,7,8.856759,0.362378854597108,LINE
Ailuropoda melanoleuca,8,9.175934,0.375438064056915,LINE
Ailuropoda melanoleuca,9,10.258948,0.41975013948232,LINE
Ailuropoda melanoleuca,10,11.838265,0.484368707686077,LINE
Ailuropoda melanoleuca,11,11.960984,0.48938981875586,LINE
Ailuropoda melanoleuca,12,11.820709,0.483650394906955,LINE
Ailuropoda melanoleuca,13,11.21669,0.458936646528469,LINE
Ailuropoda melanoleuca,14,11.064949,0.452728085386022,LINE
Ailuropoda melanoleuca,15,11.913414,0.487443467713319,LINE
Ailuropoda melanoleuca,16,12.722383,0.520542850865166,LINE
Ailuropoda melanoleuca,17,13.662518,0.559008958440934,LINE
Ailuropoda melanoleuca,18,13.572522,0.555326725764363,LINE
Ailuropoda melanoleuca,19,13.489875,0.551945181206598,LINE
Ailuropoda melanoleuca,20,12.971321,0.530728277306791,LINE
Ailuropoda melanoleuca,21,12.586404,0.514979200068158,LINE
Ailuropoda melanoleuca,22,12.360608,0.50574064047174,LINE
Ailuropoda melanoleuca,23,12.271186,0.502081893300706,LINE
Ailuropoda melanoleuca,24,12.318669,0.504024684693453,LINE
Ailuropoda melanoleuca,25,12.193364,0.498897766102206,LINE
Ailuropoda melanoleuca,26,12.230499,0.500417163747041,LINE
Ailuropoda melanoleuca,27,12.086823,0.49453858623205,LINE
Ailuropoda melanoleuca,28,11.767523,0.481474262332883,LINE
Ailuropoda melanoleuca,29,11.658297,0.477005224305291,LINE
Ailuropoda melanoleuca,30,11.2805,0.461547465532558,LINE
Ailuropoda melanoleuca,31,10.791612,0.441544361296994,LINE
Ailuropoda melanoleuca,32,10.041648,0.410859198100269,LINE
Ailuropoda melanoleuca,33,9.448336,0.386583532139536,LINE
Ailuropoda melanoleuca,34,8.428897,0.344872660572225,LINE
Ailuropoda melanoleuca,35,7.639307,0.312566179183115,LINE
Ailuropoda melanoleuca,36,6.605966,0.270286500128031,LINE
Ailuropoda melanoleuca,37,5.652228,0.231263818803436,LINE
Ailuropoda melanoleuca,38,4.849463,0.198418275505866,LINE
Ailuropoda melanoleuca,39,4.002535,0.163765780324929,LINE
Ailuropoda melanoleuca,40,3.127245,0.127952839311145,LINE
Ailuropoda melanoleuca,41,2.351848,0.0962270718246369,LINE
Ailuropoda melanoleuca,42,1.821881,0.0745431991535768,LINE
Ailuropoda melanoleuca,43,1.33965,0.0548124695005268,LINE
Ailuropoda melanoleuca,44,0.940054,0.0384627934190633,LINE
Ailuropoda melanoleuca,45,0.627126,0.0256591831806721,LINE
Ailuropoda melanoleuca,46,0.472347,0.0193263207040386,LINE
Ailuropoda melanoleuca,47,0.321448,0.013152210425115,LINE
Ailuropoda melanoleuca,48,0.197685,0.00808838355780363,LINE
Ailuropoda melanoleuca,49,0.139787,0.00571945707764725,LINE
Ailuropoda melanoleuca,50,0.076614,0.0031347012565322,LINE
Ailuropoda melanoleuca,51,0.060287,0.00246667364518961,LINE
Ailuropoda melanoleuca,52,0.036194,0.00148089614533801,LINE
Ailuropoda melanoleuca,53,0.015024,0.000614714695462183,LINE
Ailuropoda melanoleuca,54,0.014719,0.000602235463425711,LINE
Ailuropoda melanoleuca,55,0.010622,0.00043460459898824,LINE
Ailuropoda melanoleuca,56,0.004602,0.00018829319944868,LINE
Ailuropoda melanoleuca,57,0.002345,9.59468823787819e-05,LINE
Ailuropoda melanoleuca,58,0.001774,7.25841233859101e-05,LINE
Ailuropoda melanoleuca,59,0.001514,6.1946089518753e-05,LINE
Ailuropoda melanoleuca,60,0.001544,6.31735549649635e-05,LINE
Ailuropoda melanoleuca,61,0.000401,1.64071214643461e-05,LINE
Ailuropoda melanoleuca,62,0.000475,1.94348695649985e-05,LINE
Ailuropoda melanoleuca,63,0,0,LINE
Ailuropoda melanoleuca,64,0.00047,1.92302919906301e-05,LINE
Ailuropoda melanoleuca,65,0.000109,4.45979112123123e-06,LINE
Ailuropoda melanoleuca,66,0,0,LINE
Ailuropoda melanoleuca,67,0,0,LINE
Ailuropoda melanoleuca,68,0,0,LINE
Ailuropoda melanoleuca,69,0,0,LINE
Ailuropoda melanoleuca,70,0,0,LINE
Ailuropoda melanoleuca,0,0.009983,0.000408459584983957,LTR
Ailuropoda melanoleuca,1,0.007435,0.000304206853085818,LTR
Ailuropoda melanoleuca,2,0.029745,0.00121703198991764,LTR
Ailuropoda melanoleuca,3,0.062432,0.00255443742459365,LTR
Ailuropoda melanoleuca,4,0.130483,0.00533877912726252,LTR
Ailuropoda melanoleuca,5,0.291894,0.0119429932985382,LTR
Ailuropoda melanoleuca,6,0.407768,0.0166840376690112,LTR
Ailuropoda melanoleuca,7,0.463983,0.0189841033376351,LTR
Ailuropoda melanoleuca,8,0.544103,0.0222622543893145,LTR
Ailuropoda melanoleuca,9,0.589064,0.02410185685355,LTR
Ailuropoda melanoleuca,10,0.618624,0.025311319473216,LTR
Ailuropoda melanoleuca,11,0.789489,0.0323023489221075,LTR
Ailuropoda melanoleuca,12,0.946425,0.0387234661643235,LTR
Ailuropoda melanoleuca,13,1.176049,0.0481186503516777,LTR
Ailuropoda melanoleuca,14,1.566036,0.0640751692507199,LTR
Ailuropoda melanoleuca,15,2.035443,0.0832811983410299,LTR
Ailuropoda melanoleuca,16,2.663562,0.108981010627972,LTR
Ailuropoda melanoleuca,17,3.395048,0.138910136940861,LTR
Ailuropoda melanoleuca,18,4.175874,0.170858034757618,LTR
Ailuropoda melanoleuca,19,4.866893,0.199131432930114,LTR
Ailuropoda melanoleuca,20,5.390255,0.220545058625433,LTR
Ailuropoda melanoleuca,21,5.546537,0.226939417120922,LTR
Ailuropoda melanoleuca,22,5.674217,0.232163510059994,LTR
Ailuropoda melanoleuca,23,5.55353,0.227225539316434,LTR
Ailuropoda melanoleuca,24,5.213499,0.213312995878421,LTR
Ailuropoda melanoleuca,25,5.084893,0.208051015172576,LTR
Ailuropoda melanoleuca,26,4.75903,0.194718162749294,LTR
Ailuropoda melanoleuca,27,4.331792,0.177237500005692,LTR
Ailuropoda melanoleuca,28,4.111109,0.168208141436824,LTR
Ailuropoda melanoleuca,29,3.812662,0.155997028769318,LTR
Ailuropoda melanoleuca,30,3.556758,0.145526584851084,LTR
Ailuropoda melanoleuca,31,3.210677,0.131366502548085,LTR
Ailuropoda melanoleuca,32,2.911323,0.11911827950859,LTR
Ailuropoda melanoleuca,33,2.574461,0.105335397337212,LTR
Ailuropoda melanoleuca,34,2.232454,0.0913420048418087,LTR
Ailuropoda melanoleuca,35,1.914353,0.0783267386449758,LTR
Ailuropoda melanoleuca,36,1.651878,0.0675874388785064,LTR
Ailuropoda melanoleuca,37,1.356036,0.0554829111272469,LTR
Ailuropoda melanoleuca,38,1.12763,0.0461375620370089,LTR
Ailuropoda melanoleuca,39,0.897593,0.036725479742012,LTR
Ailuropoda melanoleuca,40,0.710897,0.0290867167771552,LTR
Ailuropoda melanoleuca,41,0.607967,0.0248752828312072,LTR
Ailuropoda melanoleuca,42,0.447807,0.0183222539690385,LTR
Ailuropoda melanoleuca,43,0.313174,0.0128136754550502,LTR
Ailuropoda melanoleuca,44,0.246129,0.0100704947603442,LTR
Ailuropoda melanoleuca,45,0.203441,0.00832389326141654,LTR
Ailuropoda melanoleuca,46,0.143747,0.00588148251654702,LTR
Ailuropoda melanoleuca,47,0.100724,0.00412117432013665,LTR
Ailuropoda melanoleuca,48,0.061582,0.00251965923695102,LTR
Ailuropoda melanoleuca,49,0.052538,0.00214961932043345,LTR
Ailuropoda melanoleuca,50,0.051661,0.00211373641388923,LTR
Ailuropoda melanoleuca,51,0.022188,0.000907833444017234,LTR
Ailuropoda melanoleuca,52,0.014624,0.000598348489512711,LTR
Ailuropoda melanoleuca,53,0.011678,0.000477811382694847,LTR
Ailuropoda melanoleuca,54,0.008032,0.000328633415465406,LTR
Ailuropoda melanoleuca,55,0.001577,6.45237669557949e-05,LTR
Ailuropoda melanoleuca,56,0.002885,0.00011804126041057,LTR
Ailuropoda melanoleuca,57,0.001691,6.91881356513946e-05,LTR
Ailuropoda melanoleuca,58,0,0,LTR
Ailuropoda melanoleuca,59,0,0,LTR
Ailuropoda melanoleuca,60,0,0,LTR
Ailuropoda melanoleuca,61,0,0,LTR
Ailuropoda melanoleuca,62,0,0,LTR
Ailuropoda melanoleuca,63,0,0,LTR
Ailuropoda melanoleuca,64,0,0,LTR
Ailuropoda melanoleuca,65,0,0,LTR
Ailuropoda melanoleuca,66,0,0,LTR
Ailuropoda melanoleuca,67,0,0,LTR
Ailuropoda melanoleuca,68,0,0,LTR
Ailuropoda melanoleuca,69,0,0,LTR
Ailuropoda melanoleuca,70,0,0,LTR
Ailuropoda melanoleuca,0,1.940486,0.0793959837951698,SINE
Ailuropoda melanoleuca,1,6.971583,0.285245907929602,SINE
Ailuropoda melanoleuca,2,10.030969,0.410422261316933,SINE
Ailuropoda melanoleuca,3,9.541443,0.390393052982879,SINE
Ailuropoda melanoleuca,4,8.129866,0.332637653244033,SINE
Ailuropoda melanoleuca,5,7.297962,0.298599872758559,SINE
Ailuropoda melanoleuca,6,7.473574,0.305785128156556,SINE
Ailuropoda melanoleuca,7,8.03493,0.328753297923986,SINE
Ailuropoda melanoleuca,8,8.826687,0.361148443233827,SINE
Ailuropoda melanoleuca,9,9.646769,0.394702520502465,SINE
Ailuropoda melanoleuca,10,10.000619,0.409180475440517,SINE
Ailuropoda melanoleuca,11,9.677056,0.395941728701444,SINE
Ailuropoda melanoleuca,12,8.990567,0.367853677811326,SINE
Ailuropoda melanoleuca,13,7.840697,0.320806154723526,SINE
Ailuropoda melanoleuca,14,6.593947,0.269794736554764,SINE
Ailuropoda melanoleuca,15,5.347452,0.218793751842295,SINE
Ailuropoda melanoleuca,16,4.347488,0.17787970992715,SINE
Ailuropoda melanoleuca,17,3.403357,0.139250103953946,SINE
Ailuropoda melanoleuca,18,2.776669,0.113608841768789,SINE
Ailuropoda melanoleuca,19,2.346031,0.0959890662746167,SINE
Ailuropoda melanoleuca,20,1.981898,0.0810903770971186,SINE
Ailuropoda melanoleuca,21,1.774016,0.0725847780341481,SINE
Ailuropoda melanoleuca,22,1.554688,0.0636108599879334,SINE
Ailuropoda melanoleuca,23,1.443078,0.0590442793728818,SINE
Ailuropoda melanoleuca,24,1.409547,0.0576723412436524,SINE
Ailuropoda melanoleuca,25,1.405759,0.0575173532733109,SINE
Ailuropoda melanoleuca,26,1.381114,0.0565089904092491,SINE
Ailuropoda melanoleuca,27,1.397088,0.0571625748438412,SINE
Ailuropoda melanoleuca,28,1.428358,0.0584420029939412,SINE
Ailuropoda melanoleuca,29,1.44171,0.0589883069485346,SINE
Ailuropoda melanoleuca,30,1.418764,0.0580494595442431,SINE
Ailuropoda melanoleuca,31,1.395271,0.0570882313533158,SINE
Ailuropoda melanoleuca,32,1.324973,0.0542119524887257,SINE
Ailuropoda melanoleuca,33,1.242255,0.0508275029294046,SINE
Ailuropoda melanoleuca,34,1.118538,0.0457655581757774,SINE
Ailuropoda melanoleuca,35,0.995489,0.0407309449860858,SINE
Ailuropoda melanoleuca,36,0.896443,0.0366784268999072,SINE
Ailuropoda melanoleuca,37,0.761168,0.03114358062537,SINE
Ailuropoda melanoleuca,38,0.620462,0.0253865221895539,SINE
Ailuropoda melanoleuca,39,0.500076,0.0204608670159709,SINE
Ailuropoda melanoleuca,40,0.407029,0.0166538011035195,SINE
