species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Gallus gallus,NC_052532.1,196.449156,3541,18.02502017,1.053332251
Gallus gallus,NC_052533.1,149.539284,2419,16.17635136,1.053332251
Gallus gallus,NC_052534.1,110.642502,1965,17.75990207,1.053332251
Gallus gallus,NC_052535.1,90.861225,1751,19.27114674,1.053332251
Gallus gallus,NC_052572.1,86.044486,1492,17.33986766,1.053332251
Gallus gallus,NC_052536.1,59.506338,1418,23.82939444,1.053332251
Gallus gallus,NC_052538.1,36.382834,778,21.38371079,1.053332251
Gallus gallus,NC_052537.1,36.220557,843,23.2740761,1.053332251
Gallus gallus,NC_052539.1,29.578256,766,25.89740247,1.053332251
Gallus gallus,NC_052540.1,23.733309,671,28.2725009,1.053332251
Gallus gallus,NC_052541.1,20.453248,634,30.99752176,1.053332251
Gallus gallus,NC_052543.1,20.119077,525,26.09463645,1.053332251
Gallus gallus,NC_052542.1,19.638187,543,27.65021028,1.053332251
Gallus gallus,NC_052544.1,17.905061,505,28.20431609,1.053332251
Gallus gallus,NC_052545.1,15.331188,578,37.70092703,1.053332251
Gallus gallus,NC_052551.1,14.265659,479,33.57713794,1.053332251
Gallus gallus,NC_052546.1,12.703657,486,38.25670041,1.053332251
Gallus gallus,NC_052549.1,11.623896,449,38.62732426,1.053332251
Gallus gallus,NC_052548.1,11.092391,451,40.65850185,1.053332251
Gallus gallus,NC_052550.1,10.455293,520,49.73557412,1.053332251
Gallus gallus,NC_052571.1,9.10994,127,13.9408163,1.053332251
Gallus gallus,NC_052552.1,6.970754,322,46.19299433,1.053332251
Gallus gallus,NC_052555.1,6.478339,244,37.66397529,1.053332251
Gallus gallus,NC_052554.1,6.253421,351,56.12927708,1.053332251
Gallus gallus,NC_052559.1,5.437364,407,74.85244688,1.053332251
Gallus gallus,NC_052557.1,5.349051,344,64.31047302,1.053332251
Gallus gallus,NC_052558.1,5.228753,410,78.41257753,1.053332251
Gallus gallus,NC_052553.1,4.686657,230,49.0754924,1.053332251
Gallus gallus,NC_052564.1,3.839931,211,54.94890403,1.053332251
Gallus gallus,NC_052565.1,3.469343,308,88.77761582,1.053332251
Gallus gallus,NC_052556.1,3.067737,386,125.8256493,1.053332251
Gallus gallus,NC_052547.1,2.706039,309,114.1890416,1.053332251
Gallus gallus,NC_052562.1,2.457334,268,109.0612835,1.053332251
Gallus gallus,NC_052561.1,0.755666,77,101.8968698,1.053332251
Gallus gallus,NC_052560.1,0.726478,37,50.93065447,1.053332251
Gallus gallus,NC_052569.1,0.667312,70,104.8984583,1.053332251
Gallus gallus,NC_052566.1,0.554126,49,88.42754175,1.053332251
Gallus gallus,NC_052567.1,0.358375,18,50.22671782,1.053332251
Gallus gallus,NC_052570.1,0.177356,20,112.767541,1.053332251
Gallus gallus,NC_052568.1,0.157853,22,139.3701735,1.053332251
Gallus gallus,NC_052563.1,0.125424,15,119.594336,1.053332251
