species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Lagopus muta,NC_064433.1,194.907523,2608,13.38070465,1.02677181
Lagopus muta,NC_064434.1,110.440899,1558,14.1070927,1.02677181
Lagopus muta,NC_064435.1,94.578995,1143,12.08513582,1.02677181
Lagopus muta,NC_064472.1,75.337723,895,11.87983874,1.02677181
Lagopus muta,NC_064436.1,71.2297,1136,15.94840355,1.02677181
Lagopus muta,NC_064437.1,65.8776,1349,20.47737015,1.02677181
Lagopus muta,NC_064438.1,59.591877,1224,20.53971215,1.02677181
Lagopus muta,NC_064439.1,51.912046,796,15.33362796,1.02677181
Lagopus muta,NC_064440.1,36.747764,674,18.341252,1.02677181
Lagopus muta,NC_064441.1,23.253069,580,24.94294409,1.02677181
Lagopus muta,NC_064442.1,19.919154,500,25.10146766,1.02677181
Lagopus muta,NC_064443.1,19.850105,456,22.97217068,1.02677181
Lagopus muta,NC_064444.1,19.30287,469,24.29690507,1.02677181
Lagopus muta,NC_064445.1,19.049105,414,21.73330453,1.02677181
Lagopus muta,NC_064446.1,17.971384,446,24.81723166,1.02677181
Lagopus muta,NC_064447.1,15.347146,473,30.82006257,1.02677181
Lagopus muta,NC_064448.1,14.683214,438,29.82998137,1.02677181
Lagopus muta,NC_064449.1,12.68867,431,33.96731099,1.02677181
Lagopus muta,NC_064450.1,10.896487,380,34.87362487,1.02677181
Lagopus muta,NC_064451.1,10.45717,346,33.08734581,1.02677181
Lagopus muta,NC_064452.1,10.248382,393,38.34751671,1.02677181
Lagopus muta,NC_064453.1,6.977006,289,41.42177891,1.02677181
Lagopus muta,NC_064471.1,6.802803,69,10.14287787,1.02677181
Lagopus muta,NC_064454.1,6.675088,209,31.31044864,1.02677181
Lagopus muta,NC_064455.1,6.107212,264,43.22758077,1.02677181
Lagopus muta,NC_064456.1,5.878797,325,55.28341938,1.02677181
Lagopus muta,NC_064457.1,5.130816,405,78.93481271,1.02677181
Lagopus muta,NC_064458.1,4.861958,320,65.81710496,1.02677181
Lagopus muta,NC_064459.1,4.687828,193,41.1704525,1.02677181
Lagopus muta,NC_064460.1,3.263872,233,71.38760344,1.02677181
Lagopus muta,NC_064461.1,2.525746,291,115.2134854,1.02677181
Lagopus muta,NC_064462.1,1.991433,124,62.26671949,1.02677181
Lagopus muta,NC_064463.1,1.02618,29,28.26014929,1.02677181
Lagopus muta,NC_064464.1,1.008941,75,74.33536748,1.02677181
Lagopus muta,NC_064465.1,0.836365,78,93.26071751,1.02677181
Lagopus muta,NC_064466.1,0.699225,45,64.35696664,1.02677181
Lagopus muta,NC_064468.1,0.396253,13,32.80732259,1.02677181
Lagopus muta,NC_064467.1,0.196355,10,50.92816582,1.02677181
Lagopus muta,NC_064469.1,0.102085,16,156.732135,1.02677181
Lagopus muta,NC_064470.1,0.054903,4,72.8557638,1.02677181
