species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Strigops habroptila,NC_044277.2,155.644563,1713,11.00584541,1.148597545
Strigops habroptila,NC_044278.2,123.023803,1374,11.16857036,1.148597545
Strigops habroptila,NC_044302.2,101.869369,1326,13.0166704,1.148597545
Strigops habroptila,NC_044279.2,89.082643,1236,13.87475672,1.148597545
Strigops habroptila,NC_046358.1,86.46039,1643,19.00292145,1.148597545
Strigops habroptila,NC_044281.2,83.240647,1247,14.98066203,1.148597545
Strigops habroptila,NC_044282.2,76.431904,871,11.39576478,1.148597545
Strigops habroptila,NC_044283.2,70.131234,837,11.9347679,1.148597545
Strigops habroptila,NC_044284.2,63.488934,1212,19.08994093,1.148597545
Strigops habroptila,NC_044285.2,44.431488,928,20.88608871,1.148597545
Strigops habroptila,NC_046359.1,43.764472,579,13.22990941,1.148597545
Strigops habroptila,NC_046360.1,39.18711,819,20.89972953,1.148597545
Strigops habroptila,NC_044301.2,37.425726,398,10.63439624,1.148597545
Strigops habroptila,NC_044288.2,27.433492,687,25.0423825,1.148597545
Strigops habroptila,NC_044289.2,16.47616,430,26.09831417,1.148597545
Strigops habroptila,NC_044290.2,12.884122,389,30.19220091,1.148597545
Strigops habroptila,NC_044291.2,12.307978,339,27.54311066,1.148597545
Strigops habroptila,NC_044292.2,8.419051,276,32.78279226,1.148597545
Strigops habroptila,NC_044293.2,7.441144,211,28.35585496,1.148597545
Strigops habroptila,NC_044294.2,6.734548,279,41.42817009,1.148597545
Strigops habroptila,NC_044295.2,5.789228,383,66.15735293,1.148597545
Strigops habroptila,NC_044296.2,5.645757,326,57.74247811,1.148597545
Strigops habroptila,NC_044297.2,5.492648,211,38.41498672,1.148597545
