species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Fundulus heteroclitus,NC_046372.1,49.273114,1409,28.59571652,1.203505739
Fundulus heteroclitus,NC_046380.1,47.993555,1387,28.89971372,1.203505739
Fundulus heteroclitus,NC_046363.1,47.212184,1414,29.94989598,1.203505739
Fundulus heteroclitus,NC_046365.1,44.126044,1313,29.75566992,1.203505739
Fundulus heteroclitus,NC_046367.1,44.089915,1096,24.85829242,1.203505739
Fundulus heteroclitus,NC_046361.1,44.038137,1381,31.35918306,1.203505739
Fundulus heteroclitus,NC_046373.1,42.418174,1398,32.95757144,1.203505739
Fundulus heteroclitus,NC_046382.1,42.39784,991,23.37383225,1.203505739
Fundulus heteroclitus,NC_046381.1,42.355451,984,23.23195661,1.203505739
Fundulus heteroclitus,NC_046364.1,41.051309,1001,24.38411891,1.203505739
Fundulus heteroclitus,NC_046369.1,40.030575,1085,27.10428216,1.203505739
Fundulus heteroclitus,NC_046362.1,39.997022,1132,28.30210709,1.203505739
Fundulus heteroclitus,NC_046371.1,39.656907,1119,28.21702661,1.203505739
Fundulus heteroclitus,NC_046383.1,39.340135,1122,28.52049186,1.203505739
Fundulus heteroclitus,NC_046378.1,39.175644,1075,27.44051891,1.203505739
Fundulus heteroclitus,NC_046376.1,37.84193,1342,35.4633075,1.203505739
Fundulus heteroclitus,NC_046368.1,35.810078,910,25.41184077,1.203505739
Fundulus heteroclitus,NC_046374.1,35.742472,1177,32.93001111,1.203505739
Fundulus heteroclitus,NC_046366.1,34.002518,1058,31.11534269,1.203505739
Fundulus heteroclitus,NC_046379.1,33.976892,1009,29.69665383,1.203505739
Fundulus heteroclitus,NC_046370.1,33.287791,924,27.75792482,1.203505739
Fundulus heteroclitus,NC_046375.1,32.299159,851,26.34743524,1.203505739
Fundulus heteroclitus,NC_046384.1,28.860465,877,30.38759078,1.203505739
Fundulus heteroclitus,NC_046377.1,25.94708,655,25.24368831,1.203505739
