species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Equus caballus,NC_091684.1,199.560798,3052,15.29358487,2.769454835
Equus caballus,NC_091715.1,146.127322,1391,9.519095957,2.769454835
Equus caballus,NC_091685.1,126.756713,1845,14.55544212,2.769454835
Equus caballus,NC_091686.1,125.508388,1518,12.09480915,2.769454835
Equus caballus,NC_091687.1,113.754244,1220,10.72487458,2.769454835
Equus caballus,NC_091697.1,109.711571,1310,11.94039961,2.769454835
Equus caballus,NC_091698.1,107.32125,1271,11.84294816,2.769454835
Equus caballus,NC_091688.1,105.154058,1898,18.0497076,2.769454835
Equus caballus,NC_091691.1,102.523008,1378,13.44088539,2.769454835
Equus caballus,NC_091700.1,101.335605,789,7.786009666,2.769454835
Equus caballus,NC_091690.1,100.966422,2154,21.33382522,2.769454835
Equus caballus,NC_091689.1,99.223387,1702,17.15321409,2.769454835
Equus caballus,NC_091692.1,98.976748,943,9.527490234,2.769454835
Equus caballus,NC_091699.1,98.824009,1255,12.69934313,2.769454835
Equus caballus,NC_091693.1,91.400425,1838,20.10931568,2.769454835
Equus caballus,NC_091701.1,83.294675,793,9.520416521,2.769454835
Equus caballus,NC_091704.1,72.807114,840,11.53733411,2.769454835
Equus caballus,NC_091702.1,70.216923,899,12.80318136,2.769454835
Equus caballus,NC_091706.1,68.952953,751,10.89148423,2.769454835
Equus caballus,NC_091703.1,67.666725,1452,21.45810958,2.769454835
Equus caballus,NC_091694.1,61.566247,1723,27.98611388,2.769454835
Equus caballus,NC_091707.1,60.690812,830,13.67587568,2.769454835
Equus caballus,NC_091710.1,57.703169,505,8.751685718,2.769454835
Equus caballus,NC_091696.1,53.943766,1099,20.37306776,2.769454835
Equus caballus,NC_091711.1,51.691651,675,13.0582016,2.769454835
Equus caballus,NC_091705.1,51.040807,913,17.88764821,2.769454835
Equus caballus,NC_091695.1,50.450047,1648,32.66597551,2.769454835
Equus caballus,NC_091709.1,48.862945,449,9.188967223,2.769454835
Equus caballus,NC_091708.1,47.890729,909,18.98070919,2.769454835
Equus caballus,NC_091712.1,44.861072,441,9.830349128,2.769454835
Equus caballus,NC_091713.1,38.719181,395,10.20166207,2.769454835
Equus caballus,NC_091714.1,26.06787,299,11.47005874,2.769454835
