species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Nothobranchius furzeri,NC_091741.1,115.738151,2336,20.18349161,1.479202486
Nothobranchius furzeri,NC_091742.1,102.493808,5782,56.413164,1.479202486
Nothobranchius furzeri,NC_091743.1,92.942049,2527,27.18898526,1.479202486
Nothobranchius furzeri,NC_091744.1,88.83972,2061,23.19908257,1.479202486
Nothobranchius furzeri,NC_091745.1,83.446151,2085,24.98617342,1.479202486
Nothobranchius furzeri,NC_091746.1,82.716695,1659,20.05641062,1.479202486
Nothobranchius furzeri,NC_091747.1,81.612824,1978,24.23638716,1.479202486
Nothobranchius furzeri,NC_091748.1,81.344259,1023,12.57617947,1.479202486
Nothobranchius furzeri,NC_091749.1,76.394082,1414,18.50928715,1.479202486
Nothobranchius furzeri,NC_091750.1,75.422261,2141,28.38684457,1.479202486
Nothobranchius furzeri,NC_091751.1,73.712375,1607,21.80095269,1.479202486
Nothobranchius furzeri,NC_091752.1,73.269357,1864,25.44037612,1.479202486
Nothobranchius furzeri,NC_091753.1,68.415129,1395,20.39022685,1.479202486
Nothobranchius furzeri,NC_091754.1,65.168837,2711,41.59963757,1.479202486
Nothobranchius furzeri,NC_091755.1,65.048175,1288,19.80070924,1.479202486
Nothobranchius furzeri,NC_091756.1,63.446964,1339,21.1042407,1.479202486
Nothobranchius furzeri,NC_091757.1,59.404421,1067,17.96162612,1.479202486
Nothobranchius furzeri,NC_091758.1,46.813504,1520,32.46926357,1.479202486
Nothobranchius furzeri,NC_091759.1,27.461926,855,31.13401442,1.479202486
