species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Numida meleagris,NC_034409.1,194.437802,2916,14.99708375,1.04326415
Numida meleagris,NC_034410.1,147.128157,2051,13.94022763,1.04326415
Numida meleagris,NC_034411.1,112.045409,1805,16.10954002,1.04326415
Numida meleagris,NC_034412.1,97.48482,1735,17.79764275,1.04326415
Numida meleagris,NC_034438.1,75.253249,1027,13.6472513,1.04326415
Numida meleagris,NC_034413.1,71.5867,1405,19.62655074,1.04326415
Numida meleagris,NC_034414.1,61.17898,1309,21.39623773,1.04326415
Numida meleagris,NC_034415.1,30.184877,687,22.75974158,1.04326415
Numida meleagris,NC_034417.1,20.192527,527,26.09876416,1.04326415
Numida meleagris,NC_034419.1,20.042104,450,22.45273251,1.04326415
Numida meleagris,NC_034418.1,19.763385,490,24.79332361,1.04326415
Numida meleagris,NC_034416.1,19.549463,456,23.32544889,1.04326415
Numida meleagris,NC_034420.1,17.892257,444,24.81520358,1.04326415
Numida meleagris,NC_034421.1,15.549469,516,33.18441292,1.04326415
Numida meleagris,NC_034427.1,14.019296,448,31.95595556,1.04326415
Numida meleagris,NC_034422.1,13.198683,454,34.39737131,1.04326415
Numida meleagris,NC_034425.1,10.643954,378,35.51311853,1.04326415
Numida meleagris,NC_034424.1,10.36852,356,34.33469772,1.04326415
Numida meleagris,NC_034426.1,10.219231,390,38.16334125,1.04326415
Numida meleagris,NC_034428.1,7.000625,304,43.42469422,1.04326415
Numida meleagris,NC_034431.1,6.529417,234,35.8378091,1.04326415
Numida meleagris,NC_034430.1,5.986824,274,45.76717138,1.04326415
Numida meleagris,NC_034433.1,5.495279,307,55.86613528,1.04326415
Numida meleagris,NC_034435.1,5.069901,337,66.47072596,1.04326415
Numida meleagris,NC_034434.1,4.768521,321,67.31646982,1.04326415
Numida meleagris,NC_034429.1,4.685633,204,43.53734063,1.04326415
Numida meleagris,NC_034437.1,1.443594,116,80.35500286,1.04326415
Numida meleagris,NC_034423.1,0.252168,59,233.9710035,1.04326415
Numida meleagris,NC_034436.1,0.11079,19,171.4956223,1.04326415
