species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Oncorhynchus kisutch,NC_034188.2,95.906753,1929,20.1132865,2.375911593
Oncorhynchus kisutch,NC_034184.2,91.447791,1454,15.89978264,2.375911593
Oncorhynchus kisutch,NC_034187.2,90.355878,1777,19.66667846,2.375911593
Oncorhynchus kisutch,NC_034190.2,88.828318,2086,23.48350219,2.375911593
Oncorhynchus kisutch,NC_034191.2,85.416383,1588,18.59128125,2.375911593
Oncorhynchus kisutch,NC_034179.2,85.211253,2107,24.7267811,2.375911593
Oncorhynchus kisutch,NC_034177.2,83.15142,1583,19.03755823,2.375911593
Oncorhynchus kisutch,NC_034175.2,80.365763,1876,23.34327368,2.375911593
Oncorhynchus kisutch,NC_034178.2,79.151382,1692,21.37675878,2.375911593
Oncorhynchus kisutch,NC_034181.2,78.93809,1794,22.72667099,2.375911593
Oncorhynchus kisutch,NC_034176.2,78.219168,1680,21.47811135,2.375911593
Oncorhynchus kisutch,NC_034186.2,77.794808,1973,25.36158968,2.375911593
Oncorhynchus kisutch,NC_034174.2,76.396483,1819,23.80999659,2.375911593
Oncorhynchus kisutch,NC_034183.2,68.916532,1805,26.19110317,2.375911593
Oncorhynchus kisutch,NC_034192.2,68.2657,1600,23.43783188,2.375911593
Oncorhynchus kisutch,NC_034195.2,58.805855,1229,20.8992795,2.375911593
Oncorhynchus kisutch,NC_034185.2,58.696743,1261,21.48330445,2.375911593
Oncorhynchus kisutch,NC_034180.2,57.284449,1176,20.52913174,2.375911593
Oncorhynchus kisutch,NC_034199.2,52.71289,870,16.50450203,2.375911593
Oncorhynchus kisutch,NC_034193.2,52.667967,1843,34.99280692,2.375911593
Oncorhynchus kisutch,NC_034201.2,52.544049,1158,22.0386518,2.375911593
Oncorhynchus kisutch,NC_034189.2,52.456294,1466,27.94707533,2.375911593
Oncorhynchus kisutch,NC_034196.2,50.050857,1201,23.99559312,2.375911593
Oncorhynchus kisutch,NC_034203.2,49.369813,1226,24.83298853,2.375911593
Oncorhynchus kisutch,NC_034202.2,47.307659,1223,25.85205072,2.375911593
Oncorhynchus kisutch,NC_034194.2,47.27792,851,17.99994585,2.375911593
Oncorhynchus kisutch,NC_034182.2,46.857769,1465,31.26482612,2.375911593
Oncorhynchus kisutch,NC_034197.2,46.446771,1445,31.11088174,2.375911593
Oncorhynchus kisutch,NC_034198.2,46.409288,1031,22.21538068,2.375911593
Oncorhynchus kisutch,NC_034200.2,44.479749,1181,26.55140882,2.375911593
