species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Myotis daubentonii,NC_081840.1,234.112155,3132,13.37820328,2.127807131
Myotis daubentonii,NC_081841.1,222.567163,2884,12.95788633,2.127807131
Myotis daubentonii,NC_081842.1,220.0808,2922,13.27694192,2.127807131
Myotis daubentonii,NC_081861.1,140.352115,1848,13.16688388,2.127807131
Myotis daubentonii,NC_081843.1,116.923786,1623,13.88083687,2.127807131
Myotis daubentonii,NC_081844.1,111.432089,2159,19.3750294,2.127807131
Myotis daubentonii,NC_081845.1,102.234773,1357,13.2733703,2.127807131
Myotis daubentonii,NC_081846.1,97.173998,1027,10.56867085,2.127807131
Myotis daubentonii,NC_081847.1,95.744235,1269,13.25406172,2.127807131
Myotis daubentonii,NC_081848.1,86.660771,1896,21.8784114,2.127807131
Myotis daubentonii,NC_081849.1,86.42525,1130,13.07488263,2.127807131
Myotis daubentonii,NC_081850.1,82.559787,1183,14.32900984,2.127807131
Myotis daubentonii,NC_081851.1,80.362818,1084,13.48882514,2.127807131
Myotis daubentonii,NC_081852.1,64.611165,857,13.26396142,2.127807131
Myotis daubentonii,NC_081853.1,59.697952,807,13.51805167,2.127807131
Myotis daubentonii,NC_081854.1,59.549911,1627,27.32161934,2.127807131
Myotis daubentonii,NC_081855.1,57.790901,1632,28.23973968,2.127807131
Myotis daubentonii,NC_081856.1,54.852286,648,11.81354593,2.127807131
Myotis daubentonii,NC_081857.1,44.301205,1215,27.42589056,2.127807131
Myotis daubentonii,NC_081858.1,29.699348,715,24.07460258,2.127807131
Myotis daubentonii,NC_081859.1,18.696202,334,17.86459089,2.127807131
Myotis daubentonii,NC_081860.1,18.477076,439,23.75917055,2.127807131
Myotis daubentonii,NC_081862.1,17.193225,162,9.422316058,2.127807131
