species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Equus quagga,NC_060267.1,186.174912,2312,12.4184294,2.500930762
Equus quagga,NC_060268.1,184.877488,1986,10.74224894,2.500930762
Equus quagga,NC_060269.1,155.584316,1015,6.523793825,2.500930762
Equus quagga,NC_060270.1,142.331337,995,6.990730369,2.500930762
Equus quagga,NC_060271.1,139.66079,1601,11.4634895,2.500930762
Equus quagga,NC_060272.1,136.399747,827,6.063061099,2.500930762
Equus quagga,NC_060273.1,135.4445,1596,11.78342421,2.500930762
Equus quagga,NC_060274.1,132.98633,1083,8.143694168,2.500930762
Equus quagga,NC_060276.1,122.556673,895,7.302743931,2.500930762
Equus quagga,NC_060275.1,121.198693,821,6.774000442,2.500930762
Equus quagga,NC_060277.1,116.536076,1671,14.33890738,2.500930762
Equus quagga,NC_060278.1,111.969383,1064,9.502597688,2.500930762
Equus quagga,NC_060279.1,107.675105,2147,19.93961371,2.500930762
Equus quagga,NC_060280.1,97.434454,1661,17.04735781,2.500930762
Equus quagga,NC_060281.1,94.29492,1578,16.73472972,2.500930762
Equus quagga,NC_060282.1,83.458741,561,6.72188429,2.500930762
Equus quagga,NC_060283.1,59.182139,1237,20.9015764,2.500930762
Equus quagga,NC_060284.1,50.248907,405,8.059876805,2.500930762
Equus quagga,NC_060285.1,45.829797,467,10.18987712,2.500930762
Equus quagga,NC_060286.1,45.739406,536,11.71856058,2.500930762
Equus quagga,NC_060287.1,41.249279,279,6.763754586,2.500930762
Equus quagga,NC_060288.1,38.43024,236,6.140997298,2.500930762
