species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Periophthalmus magnuspinnatus,NC_047135.1,36.988977,977,26.41327442,0.752605561
Periophthalmus magnuspinnatus,NC_047128.1,36.957123,960,25.97604797,0.752605561
Periophthalmus magnuspinnatus,NC_047134.1,36.17185,1343,37.1283194,0.752605561
Periophthalmus magnuspinnatus,NC_047126.1,36.05297,1292,35.83615996,0.752605561
Periophthalmus magnuspinnatus,NC_047129.1,35.021165,1048,29.92476121,0.752605561
Periophthalmus magnuspinnatus,NC_047132.1,34.908682,1211,34.69051052,0.752605561
Periophthalmus magnuspinnatus,NC_047130.1,34.011676,1160,34.10593468,0.752605561
Periophthalmus magnuspinnatus,NC_047141.1,33.977497,1331,39.17298558,0.752605561
Periophthalmus magnuspinnatus,NC_047131.1,33.835733,1056,31.20960908,0.752605561
Periophthalmus magnuspinnatus,NC_047146.1,33.436419,1068,31.94121954,0.752605561
Periophthalmus magnuspinnatus,NC_047140.1,32.865169,965,29.36239275,0.752605561
Periophthalmus magnuspinnatus,NC_047138.1,32.620125,1014,31.08510467,0.752605561
Periophthalmus magnuspinnatus,NC_047136.2,32.464558,938,28.893047,0.752605561
Periophthalmus magnuspinnatus,NC_047139.1,32.379725,1039,32.08798098,0.752605561
Periophthalmus magnuspinnatus,NC_047142.1,31.521007,1109,35.18288613,0.752605561
Periophthalmus magnuspinnatus,NC_047133.1,29.687151,1169,39.37730502,0.752605561
Periophthalmus magnuspinnatus,NC_047144.1,29.583991,1083,36.60763688,0.752605561
Periophthalmus magnuspinnatus,NC_047147.1,29.018424,1053,36.28729114,0.752605561
Periophthalmus magnuspinnatus,NC_047143.1,28.378236,831,29.28300406,0.752605561
Periophthalmus magnuspinnatus,NC_047145.1,28.06809,695,24.7612146,0.752605561
Periophthalmus magnuspinnatus,NC_047149.1,27.914776,881,31.56034639,0.752605561
Periophthalmus magnuspinnatus,NC_047148.1,24.170445,1012,41.86931602,0.752605561
Periophthalmus magnuspinnatus,NC_047127.1,19.540339,475,24.30868779,0.752605561
Periophthalmus magnuspinnatus,NC_047137.1,19.532153,418,21.40061057,0.752605561
