species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Pan paniscus,NC_073249.2,227.705052,4018,17.64563397,3.244905271
Pan paniscus,NC_085926.1,196.431891,2032,10.34455245,3.244905271
Pan paniscus,NC_073255.2,196.309857,1997,10.17269347,3.244905271
Pan paniscus,NC_073254.2,191.151712,2147,11.23191614,3.244905271
Pan paniscus,NC_073252.2,188.614375,1631,8.647273041,3.244905271
Pan paniscus,NC_073253.2,176.551333,1748,9.900803185,3.244905271
Pan paniscus,NC_073256.2,162.793952,1585,9.736233936,3.244905271
Pan paniscus,NC_073272.2,160.241051,1742,10.87112191,3.244905271
Pan paniscus,NC_073257.2,147.028407,1460,9.930053857,3.244905271
Pan paniscus,NC_073262.2,144.872268,1271,8.773245684,3.244905271
Pan paniscus,NC_073259.2,141.815175,1833,12.92527404,3.244905271
Pan paniscus,NC_073258.2,135.750398,2173,16.00731955,3.244905271
Pan paniscus,NC_073261.2,126.551469,1252,9.893207956,3.244905271
Pan paniscus,NC_073260.2,124.758961,1454,11.65447346,3.244905271
Pan paniscus,NC_073263.2,116.12643,883,7.603781499,3.244905271
Pan paniscus,NC_073264.2,108.452746,1383,12.75209758,3.244905271
Pan paniscus,NC_073268.2,100.792412,1912,18.96968196,3.244905271
Pan paniscus,NC_073267.2,100.427192,1587,15.80249301,3.244905271
Pan paniscus,NC_073266.2,98.270466,691,7.031614158,3.244905271
Pan paniscus,NC_073265.2,91.859929,1322,14.3914764,3.244905271
Pan paniscus,NC_073270.2,76.791327,910,11.85029658,3.244905271
Pan paniscus,NC_073269.2,70.721293,1900,26.86602464,3.244905271
Pan paniscus,NC_085927.1,65.05238,832,12.78969347,3.244905271
Pan paniscus,NC_073271.2,48.483276,435,8.97216599,3.244905271
Pan paniscus,NC_073273.2,46.954669,319,6.793786577,3.244905271
