species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Malaclemys terrapin pileata,NC_071505.1,356.035893,3341,9.383885349,2.21122138
Malaclemys terrapin pileata,NC_071506.1,287.939129,2292,7.960015743,2.21122138
Malaclemys terrapin pileata,NC_071507.1,209.4847,1660,7.924206398,2.21122138
Malaclemys terrapin pileata,NC_071508.1,154.637676,2077,13.43139689,2.21122138
Malaclemys terrapin pileata,NC_071509.1,144.565223,1077,7.449924523,2.21122138
Malaclemys terrapin pileata,NC_071510.1,134.400859,1030,7.663641495,2.21122138
Malaclemys terrapin pileata,NC_071511.1,128.564339,1328,10.32945847,2.21122138
Malaclemys terrapin pileata,NC_071512.1,110.734712,1144,10.3309972,2.21122138
Malaclemys terrapin pileata,NC_071513.1,106.342416,1071,10.07124006,2.21122138
Malaclemys terrapin pileata,NC_071514.1,87.964153,1053,11.97078542,2.21122138
Malaclemys terrapin pileata,NC_071515.1,80.279977,717,8.931243216,2.21122138
Malaclemys terrapin pileata,NC_071516.1,50.359489,1265,25.11939706,2.21122138
Malaclemys terrapin pileata,NC_071517.1,46.69062,1249,26.75055504,2.21122138
Malaclemys terrapin pileata,NC_071518.1,44.538819,521,11.69766087,2.21122138
Malaclemys terrapin pileata,NC_071519.1,35.236932,1480,42.0013865,2.21122138
Malaclemys terrapin pileata,NC_071520.1,33.587576,538,16.01782754,2.21122138
Malaclemys terrapin pileata,NC_071521.1,27.359296,406,14.83956312,2.21122138
Malaclemys terrapin pileata,NC_071522.1,26.203773,424,16.18087594,2.21122138
Malaclemys terrapin pileata,NC_071523.1,23.482147,331,14.095815,2.21122138
Malaclemys terrapin pileata,NC_071525.1,21.628354,720,33.28963452,2.21122138
Malaclemys terrapin pileata,NC_071526.1,20.494329,323,15.76045744,2.21122138
Malaclemys terrapin pileata,NC_071527.1,20.003749,541,27.04493043,2.21122138
Malaclemys terrapin pileata,NC_071524.1,19.375135,462,23.84499514,2.21122138
Malaclemys terrapin pileata,NC_071528.1,17.851537,380,21.28668249,2.21122138
Malaclemys terrapin pileata,NC_071529.1,17.025087,378,22.20252971,2.21122138
