species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Eptesicus fuscus,NC_072473.1,136.610247,1589,11.63163112,2.008057866
Eptesicus fuscus,NC_072474.1,117.737274,1267,10.76124796,2.008057866
Eptesicus fuscus,NC_072475.1,114.489496,1247,10.89182889,2.008057866
Eptesicus fuscus,NC_072476.1,113.496811,1602,14.11493403,2.008057866
Eptesicus fuscus,NC_072477.1,109.427268,1761,16.09288098,2.008057866
Eptesicus fuscus,NC_072478.1,108.689991,2194,20.18585134,2.008057866
Eptesicus fuscus,NC_072479.1,108.338125,1782,16.44850324,2.008057866
Eptesicus fuscus,NC_072480.1,104.875252,959,9.144197336,2.008057866
Eptesicus fuscus,NC_072481.1,102.817582,1616,15.71715624,2.008057866
Eptesicus fuscus,NC_072482.1,98.429404,1314,13.34966937,2.008057866
Eptesicus fuscus,NC_072483.1,94.365151,989,10.48056395,2.008057866
Eptesicus fuscus,NC_072484.1,93.64043,1298,13.86153395,2.008057866
Eptesicus fuscus,NC_072485.1,84.692089,1859,21.95010209,2.008057866
Eptesicus fuscus,NC_072486.1,83.77492,1068,12.74844548,2.008057866
Eptesicus fuscus,NC_072487.1,79.547056,1252,15.7391117,2.008057866
Eptesicus fuscus,NC_072488.1,68.204956,983,14.4124424,2.008057866
Eptesicus fuscus,NC_072489.1,61.976777,881,14.21500185,2.008057866
Eptesicus fuscus,NC_072490.1,59.915438,837,13.96968841,2.008057866
Eptesicus fuscus,NC_072491.1,55.588978,643,11.56704122,2.008057866
Eptesicus fuscus,NC_072492.1,51.871983,1543,29.74630833,2.008057866
Eptesicus fuscus,NC_072493.1,50.731864,1530,30.1585607,2.008057866
Eptesicus fuscus,NC_072494.1,44.65049,1220,27.32332837,2.008057866
Eptesicus fuscus,NC_072495.1,29.110831,746,25.62620078,2.008057866
Eptesicus fuscus,NC_072496.1,18.256768,343,18.7875532,2.008057866
Eptesicus fuscus,NC_072497.1,12.930955,343,26.52549638,2.008057866
