species,name,size.Mbp,genecount,genedens,asmblysize.Gbp
Mugilogobius chula,CM100118.1,71.1432,2379,33.43959788,1.0033621
Mugilogobius chula,CM100120.1,51.587779,1912,37.06304162,1.0033621
Mugilogobius chula,CM100131.1,50.63335,1691,33.3969607,1.0033621
Mugilogobius chula,CM100130.1,49.9384,1512,30.27730164,1.0033621
Mugilogobius chula,CM100125.1,46.622646,1429,30.65034104,1.0033621
Mugilogobius chula,CM100117.1,44.343319,1560,35.18004595,1.0033621
Mugilogobius chula,CM100137.1,43.936539,1445,32.8883438,1.0033621
Mugilogobius chula,CM100124.1,43.630627,1424,32.63762402,1.0033621
Mugilogobius chula,CM100119.1,42.897597,1440,33.56831386,1.0033621
Mugilogobius chula,CM100121.1,42.493428,1374,32.33441181,1.0033621
Mugilogobius chula,CM100127.1,42.457289,1236,29.11160908,1.0033621
Mugilogobius chula,CM100126.1,41.693962,1255,30.10028167,1.0033621
Mugilogobius chula,CM100135.1,41.162573,1424,34.59453324,1.0033621
Mugilogobius chula,CM100134.1,40.455209,1338,33.07361482,1.0033621
Mugilogobius chula,CM100129.1,40.310086,1112,27.58614804,1.0033621
Mugilogobius chula,CM100128.1,39.256862,1420,36.17202007,1.0033621
Mugilogobius chula,CM100133.1,38.663316,1311,33.90811073,1.0033621
Mugilogobius chula,CM100123.1,36.37526,1303,35.8210498,1.0033621
Mugilogobius chula,CM100122.1,36.234887,1148,31.68217414,1.0033621
Mugilogobius chula,CM100136.1,32.107074,1170,36.44056758,1.0033621
Mugilogobius chula,CM100138.1,25.150145,785,31.21254371,1.0033621
Mugilogobius chula,CM100132.1,20.86135,643,30.82254983,1.0033621
