species,contig.name,contig.size.Mbp,contig.gene.count,contig.genedens.geneperMbp,asmbly.size.Mbp
Acanthochromis polyacanthus,MVNR01000001.1,2.466117,56,22.7077628514787,991.584656
Acanthochromis polyacanthus,MVNR01000014.1,2.425186,65,26.8020679650963,991.584656
Acanthochromis polyacanthus,MVNR01000009.1,2.39689,51,21.2775721872927,991.584656
Acanthochromis polyacanthus,MVNR01000008.1,2.368326,75,31.6679376065626,991.584656
Acanthochromis polyacanthus,MVNR01000002.1,2.338421,39,16.6779206994805,991.584656
Acanthochromis polyacanthus,MVNR01000003.1,2.213793,56,25.295951337817,991.584656
Acanthochromis polyacanthus,MVNR01000006.1,2.094391,54,25.7831512835951,991.584656
Acanthochromis polyacanthus,MVNR01000036.1,2.092499,57,27.2401563871715,991.584656
Acanthochromis polyacanthus,MVNR01000004.1,2.013838,42,20.8556994157425,991.584656
Acanthochromis polyacanthus,MVNR01000005.1,1.950346,45,23.0728291287802,991.584656
Acanthochromis polyacanthus,MVNR01000057.1,1.771567,33,18.6275766030864,991.584656
Acanthochromis polyacanthus,MVNR01000038.1,1.73874,50,28.7564558243326,991.584656
Acanthochromis polyacanthus,MVNR01000007.1,1.729193,91,52.6257045916795,991.584656
Acanthochromis polyacanthus,MVNR01000010.1,1.656807,44,26.557106530815,991.584656
Acanthochromis polyacanthus,MVNR01000011.1,1.655897,34,20.5326780590822,991.584656
Acanthochromis polyacanthus,MVNR01000012.1,1.625962,70,43.0514366264402,991.584656
Acanthochromis polyacanthus,MVNR01000013.1,1.604512,53,33.0318501824854,991.584656
Acanthochromis polyacanthus,MVNR01000015.1,1.538358,87,56.5538060711486,991.584656
Acanthochromis polyacanthus,MVNR01000102.1,1.527505,43,28.1504806858243,991.584656
Acanthochromis polyacanthus,MVNR01000029.1,1.478258,50,33.8235950693316,991.584656
Acanthochromis polyacanthus,MVNR01000016.1,1.473421,54,36.6494029880123,991.584656
Acanthochromis polyacanthus,MVNR01000017.1,1.449072,53,36.5751322225535,991.584656
Acanthochromis polyacanthus,MVNR01000018.1,1.446198,50,34.5734124926186,991.584656
Acanthochromis polyacanthus,MVNR01000019.1,1.439524,50,34.7337036409258,991.584656
Acanthochromis polyacanthus,MVNR01000088.1,1.438594,70,48.6586208478556,991.584656
Acanthochromis polyacanthus,MVNR01000035.1,1.407686,87,61.8035556224897,991.584656
Acanthochromis polyacanthus,MVNR01000020.1,1.406558,52,36.9696805961788,991.584656
Acanthochromis polyacanthus,MVNR01000021.1,1.380417,36,26.0790761052638,991.584656
Acanthochromis polyacanthus,MVNR01000022.1,1.379187,30,21.7519451676966,991.584656
Acanthochromis polyacanthus,MVNR01000023.1,1.369605,62,45.2685263269337,991.584656
Acanthochromis polyacanthus,MVNR01000079.1,1.364387,28,20.522036636233,991.584656
Acanthochromis polyacanthus,MVNR01000024.1,1.35766,25,18.4140359147356,991.584656
Acanthochromis polyacanthus,MVNR01000025.1,1.346746,28,20.7908544001616,991.584656
Acanthochromis polyacanthus,MVNR01000026.1,1.328352,34,25.5956252559563,991.584656
Acanthochromis polyacanthus,MVNR01000027.1,1.313791,82,62.414798091934,991.584656
Acanthochromis polyacanthus,MVNR01000028.1,1.302082,36,27.648028311581,991.584656
Acanthochromis polyacanthus,MVNR01000030.1,1.294408,30,23.1766181914821,991.584656
Acanthochromis polyacanthus,MVNR01000061.1,1.27389,23,18.0549340994905,991.584656
Acanthochromis polyacanthus,MVNR01000031.1,1.272593,25,19.6449296829387,991.584656
Acanthochromis polyacanthus,MVNR01000081.1,1.271148,31,24.3874041417679,991.584656
Acanthochromis polyacanthus,MVNR01000032.1,1.269055,26,20.4876857189011,991.584656
Acanthochromis polyacanthus,MVNR01000213.1,1.268823,22,17.3389038502612,991.584656
Acanthochromis polyacanthus,MVNR01000033.1,1.245739,26,20.8711455609883,991.584656
Acanthochromis polyacanthus,MVNR01000034.1,1.244597,32,25.7111338047577,991.584656
Acanthochromis polyacanthus,MVNR01000068.1,1.218019,28,22.9881471471299,991.584656
Acanthochromis polyacanthus,MVNR01000037.1,1.208609,19,15.7205514769458,991.584656
Acanthochromis polyacanthus,MVNR01000133.1,1.203319,39,32.4103583505288,991.584656
Acanthochromis polyacanthus,MVNR01000039.1,1.202091,17,14.1420241895164,991.584656
Accipiter nisus,BJBX01000455.1,0.94095,3,3.18826717678942,1190.649881
Accipiter nisus,BJBX01003607.1,0.850097,11,12.9396998224908,1190.649881
Accipiter nisus,BJBX01000099.1,0.848721,4,4.71297399263127,1190.649881
Accipiter nisus,BJBX01000876.1,0.743259,8,10.763408179383,1190.649881
Accipiter nisus,BJBX01000452.1,0.741327,13,17.5361210370053,1190.649881
Accipiter nisus,BJBX01001233.1,0.720635,20,27.7533009082268,1190.649881
Accipiter nisus,BJBX01002516.1,0.684695,1,1.46050431213898,1190.649881
Accipiter nisus,BJBX01001685.1,0.672918,6,8.9163910015782,1190.649881
Accipiter nisus,BJBX01001964.1,0.657398,5,7.60574263992285,1190.649881
Accipiter nisus,BJBX01002841.1,0.653142,12,18.3727275232645,1190.649881
Accipiter nisus,BJBX01000297.1,0.649111,2,3.08113712446716,1190.649881
Accipiter nisus,BJBX01002159.1,0.648652,12,18.4999044171605,1190.649881
Accipiter nisus,BJBX01002139.1,0.635132,5,7.87237928493604,1190.649881
Accipiter nisus,BJBX01002983.1,0.631596,36,56.9984610415519,1190.649881
Accipiter nisus,BJBX01000159.1,0.626213,1,1.59690073505341,1190.649881
Accipiter nisus,BJBX01001674.1,0.624192,11,17.6227827335179,1190.649881
Accipiter nisus,BJBX01001970.1,0.596672,7,11.7317387107154,1190.649881
Accipiter nisus,BJBX01000838.1,0.59292,5,8.43284085542738,1190.649881
Accipiter nisus,BJBX01002786.1,0.591265,6,10.1477340955409,1190.649881
Accipiter nisus,BJBX01004232.1,0.591212,12,20.2972876057996,1190.649881
Accipiter nisus,BJBX01002290.1,0.580753,18,30.9942436801876,1190.649881
Accipiter nisus,BJBX01001039.1,0.580292,5,8.61635176773073,1190.649881
Accipiter nisus,BJBX01000453.1,0.577318,15,25.9822143082322,1190.649881
Accipiter nisus,BJBX01000017.1,0.567826,11,19.3721316036955,1190.649881
Accipiter nisus,BJBX01001622.1,0.562286,10,17.7845438086668,1190.649881
Accipiter nisus,BJBX01000071.1,0.56117,13,23.1658855605253,1190.649881
Accipiter nisus,BJBX01001008.1,0.55576,27,48.5821217791853,1190.649881
Accipiter nisus,BJBX01001054.1,0.550523,12,21.7974544206146,1190.649881
Accipiter nisus,BJBX01005433.1,0.545572,11,20.1623250460068,1190.649881
Accipiter nisus,BJBX01003788.1,0.534488,11,20.5804433401685,1190.649881
Accipiter nisus,BJBX01004113.1,0.521994,4,7.66292332862064,1190.649881
Accipiter nisus,BJBX01000295.1,0.518239,4,7.71844650827128,1190.649881
Accipiter nisus,BJBX01003892.1,0.516845,5,9.67408023682149,1190.649881
Accipiter nisus,BJBX01001037.1,0.512668,2,3.90116020504498,1190.649881
Accipiter nisus,BJBX01000696.1,0.50839,10,19.6699384330927,1190.649881
Accipiter nisus,BJBX01003476.1,0.503454,9,17.8765090753078,1190.649881
Accipiter nisus,BJBX01000517.1,0.502412,9,17.9135848666035,1190.649881
Accipiter nisus,BJBX01000873.1,0.501811,14,27.8989500030888,1190.649881
Accipiter nisus,BJBX01000200.1,0.500601,9,17.9783899752498,1190.649881
Accipiter nisus,BJBX01000247.1,0.499837,1,2.00065221262131,1190.649881
Accipiter nisus,BJBX01000080.1,0.497679,5,10.0466364865707,1190.649881
Accipiter nisus,BJBX01005545.1,0.490632,8,16.3054998450978,1190.649881
Accipiter nisus,BJBX01001852.1,0.487505,11,22.5638711397832,1190.649881
Accipiter nisus,BJBX01004419.1,0.482969,10,20.7052626566094,1190.649881
Accipiter nisus,BJBX01002418.1,0.478079,2,4.18340901817482,1190.649881
Accipiter nisus,BJBX01004129.1,0.475475,1,2.10315999789684,1190.649881
Accipiter nisus,BJBX01003001.1,0.469719,8,17.0314592341379,1190.649881
Accipiter nisus,BJBX01003767.1,0.468925,14,29.8555206056406,1190.649881
Accipiter nisus,BJBX01007339.1,0.466739,5,10.7126252573708,1190.649881
Accipiter nisus,BJBX01003407.1,0.465997,1,2.14593656182336,1190.649881
Accipiter nisus,BJBX01001882.1,0.465152,1,2.14983489268024,1190.649881
Accipiter nisus,BJBX01000014.1,0.464546,25,53.8159837777099,1190.649881
Accipiter nisus,BJBX01000889.1,0.463553,5,10.7862531361031,1190.649881
Accipiter nisus,BJBX01001000.1,0.45942,11,23.9432327717557,1190.649881
Accipiter nisus,BJBX01001050.1,0.457379,5,10.9318530146771,1190.649881
Accipiter nisus,BJBX01000084.1,0.45713,25,54.6890381291974,1190.649881
Accipiter nisus,BJBX01000720.1,0.451229,9,19.9455265508201,1190.649881
Accipiter nisus,BJBX01006447.1,0.45106,7,15.51899968962,1190.649881
Accipiter nisus,BJBX01001563.1,0.450401,6,13.3214624301456,1190.649881
Accipiter nisus,BJBX01000614.1,0.450261,2,4.44186816091112,1190.649881
Accipiter nisus,BJBX01001493.1,0.44774,3,6.70031714834502,1190.649881
Accipiter nisus,BJBX01004229.1,0.44715,1,2.23638600022364,1190.649881
Accipiter nisus,BJBX01003084.1,0.446521,11,24.6348995903888,1190.649881
Accipiter nisus,BJBX01003172.1,0.446456,8,17.9188990628416,1190.649881
Ailuropoda melanoleuca,1,212.770937,1572,7.38822708667209,2444.060653
Ailuropoda melanoleuca,2,199.809881,1833,9.17372049283188,2444.060653
Ailuropoda melanoleuca,3,147.62792,1094,7.4105223456376,2444.060653
Ailuropoda melanoleuca,4,144.794249,1682,11.6164834695886,2444.060653
Ailuropoda melanoleuca,7,141.533052,1085,7.66605386281079,2444.060653
Ailuropoda melanoleuca,6,131.587389,1061,8.06308270164096,2444.060653
Ailuropoda melanoleuca,5,130.990914,1141,8.71052781569262,2444.060653
Ailuropoda melanoleuca,8,129.24572,1472,11.3891585732974,2444.060653
Ailuropoda melanoleuca,X,112.850221,868,7.69161098940161,2444.060653
Ailuropoda melanoleuca,10,110.580333,1174,10.6167160845862,2444.060653
Ailuropoda melanoleuca,11,110.513224,818,7.40182912408745,2444.060653
Ailuropoda melanoleuca,14,106.650358,925,8.67320107823736,2444.060653
Ailuropoda melanoleuca,9,103.688518,724,6.9824510366712,2444.060653
