"species","chromnum.1n","chromnum.source","chromnum.database","is.estimate","asmbly.size.Mbp","beta","pval.beta","rsq","cv","weightcv","clade","class","order","family","est.gnsz.Mbp","est.gnsz.source","est.gnsz.db","repcontent.Mbp","repcontent.percentcoverage","k2p.mean","k2p.median"
"Acanthochromis polyacanthus",24,"Arai, R. (2011). Fish karyotypes: a check list. Springer Science & Business Media.","Rom·n?Palacios, C., Medina, C. A., Zhan, S. H., & Barker, M. S. (2021). Animal chromosome counts reveal a similar range of chromosome numbers but with less polyploidy in animals compared to flowering plants. Journal of Evolutionary Biology, 34(8), 1333ñ1339. https://doi.org/10.1111/jeb.13884",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter nisus",33,"Venturini, G., R. D'Ambrogi, and E. Capanna (1986). Size and structure of the bird genome. I. DNA content of 48 species of Neognathae.. Comparative Biochemistry and Physiology 85B: 61-65.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ailuropoda melanoleuca",21,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",NA,2444.060653,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,"Mammalia","Mammalia","Carnivora","Ursidae",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",746.129205,30.5282605848653,18.7027212719813,19.4453585517341
"Amazona collaria",35,"de Oliveira Furo, I., Kretschmer, R., dos Santos, M. S., de Lima Carvalho, C. A., Gunski, R. J., OÔøΩBrien, P. C. M., Ferguson-Smith, M. A., Cioffi, M. B., & de Oliveira, E. H. C. (2017). Chromosomal Mapping of Repetitive DNAs in Myiopsitta monachus and Amazona aestiva (Psittaciformes, Psittacidae) with Emphasis on the Sex Chromosomes. Cytogenetic and Genome Research, 151(3), 151ÔøΩ160. https://doi.org/10.1159/000464458","",NA,1258.720284,7.68080594151649,6.14061468703724e-06,0.499546219937218,0.534315066553486,0.487174793992657,"Sauria","Aves","Psittaciformes","Psittacidae",1496.34,"Andrews, C.B. and T.R. Gregory (2009). Genome size is inversely correlated with relative brain size in parrots and cockatoos. Genome 52: 261-267.","",166.336982,13.2147693267808,10.2859951793522,7.51615045654246
"Amphilophus citrinellus",24,"Thompson, K. W. (1979). Cytotaxonomy of 41 Species of Neotropical Cichlidae. Copeia, 1979(4), 679. https://doi.org/10.2307/1443877","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphiprion ocellaris",24,"Arai R. (2011) Fish Karyotypes, Springer.","",NA,863.468154,26.4869209859686,0.000128345236304348,0.493919427764668,0.129928590529469,0.125387321476051,"Actinopterygii","Actinopterygii",NA,"Pomacentridae",805.385376,"Ryu, T., Herrera, M., Moore, B., Izumiyama, M., Kawai, E., Laudet, V., & Ravasi, T. (2022). A chromosome-scale genome assembly of the false clownfish, Amphiprion ocellaris. G3 Genes|Genomes|Genetics, 12(5). https://doi.org/10.1093/g3journal/jkac074","",NA,NA,NA,NA
"Amphiprion percula",24,"Arai R. (2011) Fish Karyotypes, Springer.Lehmann, R., Lightfoot, D. J., Schunter, C., Michell, C. T., Ohyanagi, H., Mineta, K., Foret, S., Berumen, M. L., Miller, D. J., Aranda, M., Gojobori, T., Munday, P. L., & Ravasi, T. (2019). Finding Nemo‚Äôs Genes: A chromosome-scale reference assembly of the genome of the orange clownfish Amphiprion percula. Molecular Ecology Resources, 19(3), 570‚Äì585. https://doi.org/10.1111/1755-0998.12939","",NA,908.939294,28.9689567926012,1.50436478532206e-05,0.580868044351042,0.124734638717197,0.121989094018601,"Actinopterygii","Actinopterygii",NA,"Pomacentridae",938.88,"Hardie, D.C. and P.D.N. Hebert (2004). Genome-size evolution in fishes. Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",354.065578,38.9537101473358,10.5981917705652,9.28528357328021
"Anabas testudineus",23,"Kushwaha, B., N. S. Nagpure, S. Srivastava, M. Pandey, R. Kumar, S. Raizada, S. Agarwal, M. Singh, V. S. Basheer, R. G. Kumar, P. Das, S. P. Das, S. Patnaik, A. Bit, S. K. Srivastava, A. L. Vishwakarma, C. G. Joshi, D. Kumar, and J. K. Jena (2023). Genome size estimation and its associations with body length, chromosome number and evolution in teleost fishes. Gene 864: 147294.","",NA,555.641398,32.9398435336966,0.000156735313737371,0.501357342971063,0.133876946827013,0.130900406921383,"Actinopterygii","Actinopterygii","Anabantiformes","Anabantidae",704.16,"Kushwaha, B., N. S. Nagpure, S. Srivastava, M. Pandey, R. Kumar, S. Raizada, S. Agarwal, M. Singh, V. S. Basheer, R. G. Kumar, P. Das, S. P. Das, S. Patnaik, A. Bit, S. K. Srivastava, A. L. Vishwakarma, C. G. Joshi, D. Kumar, and J. K. Jena (2023). Genome size estimation and its associations with body length, chromosome number and evolution in teleost fishes. Gene 864: 147294.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",62.091308,11.1747087642307,12.6675601680029,12.4069792433415
"Anas platyrhynchos",40,"WÔøΩjcik, E., & Smalec, E. (2007). Description of the Mallard Duck (Anas platyrhynchos) Karyotype. Folia Biologica, 55(3), 115ÔøΩ120. https://doi.org/10.3409/173491607781492588","",NA,1211.992756,9.58649890848478,1.48700759341489e-15,0.960929769887932,0.343840471321058,0.349761892790865,"Sauria","Aves","Anseriformes","Anatidae",1457.22,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",187.507335,15.4709946962752,13.8252777791333,13.2217468408904
"Anas zonorhyncha",40,"Abu-Almaaty, A., Hassan, M., El-Bakary, N., & Ahmed, S. (2019). Chromosomal evolution and molecular genetic analysis of four species of genus Anas (Aves: Anatidae). Genetika, 51(1), 103ÔøΩ119. https://doi.org/10.2298/gensr1901103a","",NA,1310.797575,16.0212409564327,0.0236721278958071,0.7596830537662,0.360984391768981,0.303630827498373,"Sauria","Aves","Anseriformes","Anatidae",NA,NA,NA,NA,NA,NA,NA
"Anolis carolinensis",18,"Olmo, E. (1976). Genome size in some reptiles. Journal of Experimental Zoology 195: 305-308","",NA,1799.126364,12.2404260578923,1.25976124882414e-05,0.965859798205649,0.140718115804031,0.109386243187489,"Sauria","Reptilia","Squamata","Dactyloidae",1574.58,"De Smet, W.H.O. (1981). The nuclear Feulgen-DNA content of the vertebrates (especially reptiles), as measured by fluorescence cytophotometry, with notes on the cell and chromosome size. Acta Zoologica et Pathologica Antverpiensia 76: 119-167.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",828.835537,46.0687783573606,12.5724408279082,11.2852361581655
"Anser brachyrhynchus",40,"Andraszek, K., Smalec, E., & ?ukasz, W. (2007). Description of G bands on the chromosomes of the European domestic goose (Anser anser). European Poultry Science, 71(6).","",NA,1116.992394,15.8655006734961,0.00822654823381052,0.427193550072003,0.306455355912656,0.279343048449021,"Sauria","Aves","Anseriformes","Anatidae",NA,NA,NA,NA,NA,NA,NA
"Anser cygnoides",40,"B. Islam, F., Uno, Y., Nunome, M., Nishimura, O., Tarui, H., Agata, K., & Matsuda, Y. (2014). Comparison of the Chromosome Structures between the Chicken and Three Anserid Species, the Domestic Duck (Anas platyrhynchos), Muscovy Duck (Cairina moschata), and Chinese Goose (Anser cygnoides), and the Delineation of their Karyotype Evolution by Comparative Chromosome Mapping. The Journal of Poultry Science, 51(1), 1‚Äì13. https://doi.org/10.2141/jpsa.0130090","",NA,1130.276682,24.4350664960138,0.00591318309593948,0.512634932634215,0.338607245946778,0.317862452586195,"Sauria","Aves","Anseriformes","Anatidae",1220,"Zhang, Y., Ni, H., Xie, H., Yin, Y., Zheng, J., Dong, L., Diao, J., Yan, S., Yang, Y., Sun, H., & Sun, X. (2022). De novo assembly of a wild swan goose (Anser cygnoides) genome. Animal Genetics, 53(6), 878ñ880. https://doi.org/10.1111/age.13262","",58.412548,5.16798664700755,21.6041518510714,19.2039051732597
"Aotus nancymaae",27,"Kumamoto, A. T., & Houck, M. L. (2001). CYTOGENETIC IDENTIFICATION OF A HYBRID OWL MONKEY, AOTUS LEMURINUS GRISEIMEMBRA. Journal of Zoo and Wildlife Medicine, 32(1), 130ÔøΩ133. https://doi.org/10.1638/1042-7260(2001)032[0130:cioaho]2.0.co;2","",NA,2861.668348,11.2010118118412,1.31357359657889e-10,0.551191720967052,0.534471455452891,0.468480162999785,"Mammalia","Mammalia","Primates","Aotidae",NA,NA,NA,NA,NA,NA,NA
"Apteryx haastii",40,"De Boer 1980a","Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apteryx owenii",40,"De Boer 1980a","Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",TRUE,1231.276503,10.099854386413,0.486265724101614,0.521567056755978,0.121028063083042,0.104517839515739,"Sauria","Aves","Apterygiformes","Apterygidae",NA,NA,NA,NA,NA,NA,NA
"Apteryx rowi",40,"De Boer 1980a","Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",TRUE,1228.902913,64.7594572415743,0.218697534683774,0.445013083034601,0.392128899072649,0.352324368223673,"Sauria","Aves","Apterygiformes","Apteryx",NA,NA,NA,NA,NA,NA,NA
"Aquila chrysaetos chrysaetos",31,"Noro, M., Kurose, N., Nishida-Umehara, C., Takechi, H., Yamazaki, T., Kosuge, M., & Yoshida, M. C. (1990). Genetic characteristics of endangered Japanese golden eagles (Aquila chrysaetos japonica) based on mitochondrial DNA D-loop sequences and karyotypes. Zoo Biology, 17. https://doi.org/10.1002/(SICI)1098-2361(1998)17:2%3C111::AID-ZOO6%3E3.0.CO;2-C","",NA,1203.454851,8.52206352149983,4.3242100360748e-05,0.494225575741265,0.376838523493704,0.364611938681696,"Sauria","Aves","Accipitriformes","Accipitridae",NA,NA,NA,NA,NA,NA,NA
"Astatotilapia calliptera",20,"Kuroiwa, A., Terai, Y., Kobayashi, N., Yoshida, K., Suzuki, M., Nakanishi, A., Matsuda, Y., Watanabe, M., & Okada, N. (2013b). Construction of Chromosome Markers from the Lake Victoria Cichlid Paralabidochromis chilotes and Their Application to Comparative Mapping. Cytogenetic and Genome Research, 142(2), 112ÔøΩ120. https://doi.org/10.1159/000356128","",NA,880.428986,35.6446162181185,2.825151704513e-08,0.793000095606379,0.113494278809944,0.107440371508295,"Actinopterygii","Actinopterygii","Cichliformes","Cichlidae",NA,NA,NA,NA,NA,NA,NA
"Astyanax mexicanus",25,"Kavalco, K. F., & De Almeida-Toledo, L. F. (2007). Molecular Cytogenetics of Blind Mexican Tetra and Comments on the Karyotypic Characteristics of GenusAstyanax(Teleostei, Characidae). Zebrafish, 4(2), 103‚Äì111. https://doi.org/10.1089/zeb.2007.0505","",NA,1335.239194,19.7665295869604,1.11244779938356e-14,0.920225759459645,0.105961506449395,0.0970956493638843,"Actinopterygii","Actinopterygii","Characiformes","Characidae",1400,"Warren, W. C., Rice, E. S., Maggs X, Roback, E., Keene, A., Martin, F., Denye Ogeh, Haggerty, L., Carroll, R. A., McGaugh, S., & Rohner, N. (2024). Astyanax mexicanus surface and cavefish chromosome-scale assemblies for trait variation discovery. G3. https://doi.org/10.1093/g3journal/jkae103","",570.674097,42.7394656750916,11.4966061548786,11.1220435486302
"Athene cunicularia",42,"Nogueira, D. M., & Alves, M. A. S. (2011). A case of leucism in the burrowing owl Athene cunicularia (Aves: Strigiformes) with confirmation of species identity using cytogenetic analysis. Zoologia (Curitiba), 28(1), 53ÔøΩ57. https://doi.org/10.1590/s1984-46702011000100008","",NA,1157.06933,7.76709171965913,3.42985428556712e-16,0.925613148632526,0.376615761857088,0.360206218015544,"Sauria","Aves","Strigiformes","Strigidae",NA,NA,NA,NA,NA,NA,NA
"Balaenoptera musculus",22,"√Årnason, √ö., Spilliaert, R., P√°lsd√≥ttir, √Å., & √Årnason, A. (1991). Molecular identification of hybrids between the two largest whale species, the blue whale (Balaenoptera musculus) and the fin whale (B. physalus). Hereditas, 115(2), 183‚Äì189. https://doi.org/10.1111/j.1601-5223.1991.tb03554.x","",NA,2379.995981,8.32078710453584,0.0004654271759,0.46587713629592,0.434553005229197,0.36716345574753,"Mammalia","Mammalia","Artiodactyla","Balaenoptera",2700,"Bukhman, Y. V., Morin, P. A., Meyer, S., Chu, L.-F., Jacobsen, J. K., Antosiewicz-Bourget, J., Mamott, D., Gonzales, M., Argus, C., Bolin, J., Berres, M. E., Olivier Fedrigo, Steill, J., Swanson, S. A., Jiang, P., Arang Rhie, Giulio Formenti, Phillippy, A. M., Harris, R. S., & Wood, J. M. D. (2024). A high-quality blue whale genome, segmental duplications, and historical demography. Molecular Biology and Evolution. https://doi.org/10.1093/molbev/msae036","",860.734798,36.16538871794,16.3730827332021,17.1019813808839
"Betta splendens",21,"Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.","",NA,441.371523,45.6756245100089,6.10036978275385e-08,0.79390622683666,0.118023122373905,0.114156565724931,"Actinopterygii","Actinopterygii","Anabantiformes","Osphronemidae",616.14,"Hardie, D.C. and P.D.N. Hebert (2004). Genome-size evolution in fishes. Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",84.771336,19.2063446739404,9.16560217949143,7.41678149623007
"Bison bison bison",30,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I.. Indian Journal of Dairy Science 17: 107-108.","",NA,2953.606,6.45826162805572,0.00162921716707465,0.158530543936769,0.609063235418432,0.594937260818975,"Mammalia","Mammalia","Artiodactyla","Bovidae",4792.2,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I.. Indian Journal of Dairy Science 17: 107-108.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",1308.664536,44.3073495923288,14.0080233579433,12.1030789113403
"Bos grunniens",30,"Popescu, C. P. (1969). Idiograms of yak (Bos grunniens), cattle (Bos Taurus) and their hybrid. Genetics Selection Evolution, 1(3), 207. https://doi.org/10.1186/1297-9686-1-3-207","",NA,2832.776395,6.52987461698497,0.000234574130426885,0.377737813571678,0.40757892232007,0.37852512729446,"Mammalia","Mammalia","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA
"Bos mutus",30,"Popescu, C. P. (1969). Idiograms of yak (Bos grunniens), cattle (Bos Taurus) and their hybrid. Genetics Selection Evolution, 1(3), 207. https://doi.org/10.1186/1297-9686-1-3-207","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bos taurus",30,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","",NA,2711.193493,8.14414572127095,0.00047414321839733,0.35840645577262,0.358805000482898,0.334849580643174,"Mammalia","Mammalia","Artiodactyla","Bovidae",3618.6,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",1250.220936,46.1133054216872,13.9040161682271,12.3390340502906
"Bubo bubo",40,"Venturini, G., R. D'Ambrogi, and E. Capanna (1986). Size and structure of the bird genome. I. DNA content of 48 species of Neognathae.. Comparative Biochemistry and Physiology 85B: 61-65.","",NA,1258.069325,7.39973359410283,1.79381529715439e-06,0.55026408491499,0.232851442874263,0.23257100791451,"Sauria","Aves","Strigiformes","Strigidae",1985.34,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",95.040271,7.55445420307025,16.8206588131467,13.329768603626
"Buteo japonicus",34,"De Vita, R., D. Cavallo, P. Eleuteri, and G. Dell'Omo (1994). Evaluation of interspecific DNA content variations and sex identification in Falconiformes and Strigiformes by flow cytometric analysis. Cytometry 16: 346-350.","",NA,1259.715124,6.80451801520991,0.000257535115320041,0.363905370644141,0.338345961866929,0.317888572061091,"Sauria","Aves","Accipitriformes","Accipitridae",1496.34,"De Vita, R., D. Cavallo, P. Eleuteri, and G. Dell'Omo (1994). Evaluation of interspecific DNA content variations and sex identification in Falconiformes and Strigiformes by flow cytometric analysis. Cytometry 16: 346-350.","",NA,NA,NA,NA
"Cairina moschata domestica",39,"Wagenmann, M., J.T. Epplen, K. Bachmann, W. Engel, and J. Schmidke (1981). DNA sequence organisation in relation to genome size in birds. Experientia 37: 1274-1276.","",NA,1109.207201,9.36221859745805,7.91197966743382e-16,0.963314710687641,0.342321520580015,0.35250925843695,"Sauria","Aves","Anseriformes","Anatidae",1310.52,"Wagenmann, M., J.T. Epplen, K. Bachmann, W. Engel, and J. Schmidke (1981). DNA sequence organisation in relation to genome size in birds. Experientia 37: 1274-1276.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com.",62.096008,5.59823339985691,19.838032132436,20.01033935712
