"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"chromnum.1n",-0.0165132660077117,-0.507992797734727,0.0131770635832084,0.0053237475679095,0.587791420251356,-0.0190908138948087,0.624476171886015,-0.0350505879191906,-0.0245624244860393,0.0563719087319518,0.0250060302462887
"asmbly.size_bp",-0.448517960384279,0.104182969146477,-0.0918965183294495,-0.00987063750811151,-0.0368363701692844,-0.0306824543579606,0.0723858334871421,0.349725975579358,0.0199165178991147,0.753916712403629,-0.284256527810178
"beta",0.33511160158708,0.0045370521109435,-0.038455724517087,-0.568866399207956,-0.061270539169316,-0.696214697975776,0.0715465431721271,0.153912617577963,0.183454789084341,0.0334521227174845,-0.102665068326367
"pval.beta",-0.0426964362610095,0.0409743691890391,0.754460636110217,0.448896370765397,0.154360953252916,-0.39976669078451,-0.134087577295448,0.11340320642791,0.102755070256365,0.00556231477649803,-0.0266325346500805
"rsq",0.169331116538188,-0.126353854336923,-0.599623076690052,0.505486117583587,0.289965000038859,-0.278870408165701,-0.356849069317485,0.116441705383673,0.188044722001061,0.0128674780454591,-0.0449766940759287
"coef.of.var",-0.314306398694335,-0.211440352620275,0.0985347926209388,-0.435500534481094,0.462468628670057,0.0153797980891588,-0.628902554322169,-0.132988651842147,-0.171671317271103,0.00510953228784078,0.0178695437736245
"est.gnsz_bp",-0.45123499208942,0.0420215153037821,-0.0323732313503072,-0.113620901721637,0.0412307282759341,0.105159043365129,0.0650877667656177,0.214326921780803,0.749329540828401,-0.395146595323616,0.00984896224918607
"rep.content_bp",-0.393427931366136,0.253217350389028,-0.17838741297557,0.0389339841090482,0.0544838665589878,-0.313331686835762,0.160996898153982,0.364525439787579,-0.530224791971475,-0.372842864030452,0.260121789972478
"rep.content_percent.of.assembly",-0.270395007866177,0.430815595045904,-0.12681520171276,0.0561134507251217,0.141351004109416,-0.289646323392824,0.163781483927097,-0.755656725076578,0.0801267035430708,0.0529414539161843,-0.105422968259218
"k2p.mean",-0.245094335075967,-0.466639827372155,-0.0299746771661665,0.0918268754726833,-0.365766024780936,-0.154666585835529,-0.00830988922863315,-0.125368048986036,-0.174784062894199,-0.290074341620879,-0.651659458736884
"k2p.median",-0.255717406823056,-0.446629358287218,-0.0398006205648085,0.0597821624884963,-0.411306036406867,-0.243122719085497,-0.0422124056684423,-0.20765381149865,0.101740104329325,0.212112190194647,0.633598368853563
