species,contig.name,contig.size_bp,contig.gene.count,contig.gene.dens_genes.per.bp,asmbly.size_bp,asmbly.gene.count,species.rsquared,species.pvalue
Ailuropoda melanoleuca,1,212770937,1573,7.39292697667633e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,2,199809881,1833,9.17372049283188e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,3,147627920,1094,7.4105223456376e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,4,144794249,1682,1.16164834695886e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,7,141533052,1085,7.66605386281079e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,6,131587389,1061,8.06308270164096e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,5,130990914,1141,8.71052781569262e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,8,129245720,1472,1.13891585732974e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,X,112850221,868,7.69161098940161e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,10,110580333,1174,1.06167160845862e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,11,110513224,818,7.40182912408745e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,14,106650358,925,8.67320107823736e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,9,103688518,724,6.9824510366712e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,13,92459488,1477,1.59745639084655e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,15,91612352,771,8.41589570803727e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,16,91341929,1380,1.51080671834728e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,12,81781225,1514,1.8512806576326e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,17,42246006,478,1.13146790728572e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,18,38124791,229,6.00659030498029e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,19,35683536,266,7.45441819443006e-06,2444060653,24462,0.576773548866573,3.94748443790969e-05
Ailuropoda melanoleuca,20,30944335,343,1.10844198138367e-05,2444060653,24462,0.576773548866573,3.94748443790969e-05
Amazona collaria,RQIO01000001.1,73408434,561,7.64217364996507e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000002.1,52932692,476,8.99255227752256e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000003.1,46591590,666,1.42944252385463e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000004.1,43311834,388,8.95829070641525e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000005.1,37850111,375,9.9075006675674e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000006.1,35909606,413,1.15011008475002e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000007.1,29257515,389,1.32957293194586e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000008.1,27914016,201,7.20068369954363e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000009.1,27894539,271,9.71516324395969e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000010.1,25534144,273,1.06915665549626e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000011.1,25531680,107,4.19087188935472e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000012.1,23775647,334,1.40479878423498e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000013.1,22795922,404,1.77224680800364e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000014.1,22544513,424,1.88072370425567e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000015.1,17314780,532,3.07251954688422e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000016.1,17014029,177,1.04031796348766e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000017.1,16768272,265,1.58036558567275e-05,1258720284,17423,0.483502260513089,6.02467094851436e-06
Amazona collaria,RQIO01000018.1,15628494,155,9.91778222520993e-06,1258720284,17423,0.483502260513089,6.02467094851436e-06
