"Species","Clade","R²","Assembly size (Mb)","Repeats analyzed?","BUSCO (Single)"
"Acanthochromis polyacanthus","Actinopterygii",NA,NA,"No",NA
"Accipiter nisus","Sauropsida",NA,NA,"No",NA
"Ailuropoda melanoleuca","Mammalia",0.598,2444,"Yes",NA
"Amazona collaria","Sauropsida",NA,NA,"Yes",NA
"Amphilophus citrinellus","Actinopterygii",NA,NA,"No",NA
"Amphiprion ocellaris","Actinopterygii",NA,NA,"No",NA
"Amphiprion percula","Actinopterygii",0.581,908.9,"Yes",NA
"Anabas testudineus","Actinopterygii",0.502,555.6,"Yes",NA
"Anas platyrhynchos","Sauropsida",0.961,1212,"Yes",NA
"Anas zonorhyncha","Sauropsida",NA,NA,"Yes",NA
"Anolis carolinensis","Sauropsida",NA,NA,"Yes",NA
"Anser brachyrhynchus","Sauropsida",NA,NA,"Yes",NA
"Anser cygnoides","Sauropsida",NA,NA,"Yes",NA
"Aotus nancymaae","Mammalia",NA,NA,"Yes",NA
"Apteryx haastii","Sauropsida",NA,NA,"No",NA
"Apteryx owenii","Sauropsida",NA,NA,"No",NA
"Apteryx rowi","Sauropsida",NA,NA,"No",NA
"Aquila chrysaetos chrysaetos","Sauropsida",0.495,1203,"Yes",NA
"Astatotilapia calliptera","Actinopterygii",0.793,880.4,"Yes",NA
"Astyanax mexicanus","Actinopterygii",NA,NA,"Yes",NA
"Athene cunicularia","Sauropsida",0.926,1157,"Yes",96.7
"Balaenoptera musculus","Mammalia",0.466,2380,"Yes",NA
"Betta splendens","Actinopterygii",0.794,441.4,"Yes",NA
"Bison bison bison","Mammalia",NA,NA,"Yes",NA
"Bos grunniens","Mammalia",0.378,2833,"Yes",NA
"Bos mutus","Mammalia",NA,NA,"No",NA
"Bos taurus","Mammalia",0.359,2711,"Yes",NA
"Bubo bubo","Sauropsida",NA,NA,"Yes",NA
"Buteo japonicus","Sauropsida",NA,NA,"Yes",NA
"Cairina moschata domestica","Sauropsida",0.963,1109,"Yes",NA
"Calidris pugnax","Sauropsida",NA,NA,"Yes",NA
"Calidris pygmaea","Sauropsida",NA,NA,"Yes",NA
"Callithrix jacchus","Mammalia",0.715,2830,"Yes",NA
"Callorhinchus milii","Other",NA,NA,"No",NA
"Camarhynchus parvulus","Sauropsida",0.964,1064,"Yes",NA
"Camelus dromedarius","Mammalia",0.471,2154,"Yes",NA
"Canis lupus dingo","Mammalia",0.732,2440,"Yes",NA
"Canis lupus familiaris","Mammalia",0.685,2397,"Yes",95.5
"Capra hircus","Mammalia",0.365,2923,"Yes",NA
"Carassius auratus","Actinopterygii",NA,NA,"Yes",NA
"Carlito syrichta","Mammalia",NA,NA,"No",NA
"Castor canadensis","Mammalia",NA,NA,"No",NA
"Catagonus wagneri","Mammalia",NA,NA,"Yes",NA
"Catharus ustulatus","Sauropsida",0.914,1132,"Yes",NA
"Cavia aperea","Mammalia",NA,NA,"Yes",NA
"Cavia porcellus","Mammalia",NA,NA,"Yes",NA
"Cebus imitator","Mammalia",NA,NA,"Yes",NA
"Cercocebus atys","Mammalia",NA,NA,"Yes",NA
"Cervus hanglu yarkandensis","Mammalia",0.52,2594,"Yes",NA
"Chelonoidis abingdonii","Sauropsida",NA,NA,"No",NA
"Chelydra serpentina","Sauropsida",NA,NA,"Yes",NA
"Chinchilla lanigera","Mammalia",NA,NA,"Yes",NA
"Chlorocebus sabaeus","Mammalia",0.275,2790,"Yes",NA
"Choloepus hoffmanni","Mammalia",NA,NA,"No",NA
"Chrysemys picta bellii","Sauropsida",NA,NA,"Yes",NA
"Chrysolophus pictus","Sauropsida",NA,NA,"No",NA
"Clupea harengus","Actinopterygii",0.734,786.3,"Yes",93.8
"Colobus angolensis palliatus","Mammalia",NA,NA,"Yes",NA
"Corvus moneduloides","Sauropsida",0.919,1113,"Yes",98.6
"Cottoperca gobio","Actinopterygii",0.668,609.4,"No",93.8
"Coturnix japonica","Sauropsida",0.984,927.7,"Yes",NA
"Cricetulus griseus","Mammalia",NA,NA,"No",NA
"Crocodylus porosus","Sauropsida",0.922,2050,"Yes",96.5
"Cyanistes caeruleus","Sauropsida",NA,NA,"Yes",NA
"Cyclopterus lumpus","Actinopterygii",0.618,572.9,"No",97.3
"Cynoglossus semilaevis","Actinopterygii",0.707,470.2,"Yes",96.6
"Cyprinodon variegatus","Actinopterygii",NA,NA,"No",NA
"Cyprinus carpio carpio","Actinopterygii",0.822,1460,"Yes",NA
"Danio rerio","Actinopterygii",0.728,1373,"No",96.9
"Dasypus novemcinctus","Mammalia",NA,NA,"Yes",NA
"Delphinapterus leucas","Mammalia",0.525,2363,"Yes",97.7
"Denticeps clupeoides","Actinopterygii",0.86,567.4,"No",NA
"Dicentrarchus labrax","Actinopterygii",0.728,695.9,"Yes",99.1
"Dipodomys ordii","Mammalia",NA,NA,"Yes",NA
"Dromaius novaehollandiae","Sauropsida",NA,NA,"Yes",NA
"Echeneis naucrates","Actinopterygii",0.486,544.2,"No",97.8
"Echinops telfairi","Mammalia",NA,NA,"No",NA
"Electrophorus electricus","Actinopterygii",0.885,589.4,"Yes",97.8
"Eptatretus burgeri","Other",NA,NA,"Yes",NA
"Equus asinus","Mammalia",0.687,2432,"Yes",97.8
"Equus caballus","Mammalia",0.872,2507,"Yes",97.6
"Erinaceus europaeus","Mammalia",NA,NA,"No",NA
"Erpetoichthys calabaricus","Actinopterygii",0.72,3811,"Yes",90.5
"Erythrura gouldiae","Sauropsida",NA,NA,"Yes",NA
"Esox lucius","Actinopterygii",0.704,918.7,"Yes",98.3
"Falco tinnunculus","Sauropsida",NA,NA,"Yes",NA
"Felis catus","Mammalia",0.72,2522,"Yes",98.2
"Ficedula albicollis","Sauropsida",0.95,1118,"Yes",98.6
"Fukomys damarensis","Mammalia",NA,NA,"Yes",NA
"Fundulus heteroclitus","Actinopterygii",NA,NA,"No",NA
"Gadus morhua","Actinopterygii",0.571,669.9,"Yes",95
"Gallus gallus","Sauropsida",0.986,1053,"Yes",98.6
"Gambusia affinis","Actinopterygii",NA,NA,"Yes",NA
"Gasterosteus aculeatus","Actinopterygii",0.802,471.9,"Yes",95.9
"Geospiza fortis","Sauropsida",NA,NA,"Yes",NA
"Gopherus agassizii","Sauropsida",NA,NA,"No",NA
"Gopherus evgoodei","Sauropsida",0.943,2299,"Yes",97.5
"Gorilla gorilla","Mammalia",0.53,3063,"Yes",93.8
"Gouania willdenowi","Actinopterygii",0.829,937.2,"No",94.8
"Haplochromis burtoni","Actinopterygii",NA,NA,"No",NA
"Heterocephalus glaber","Mammalia",0.369,2500,"No",NA
"Hippocampus comes","Actinopterygii",NA,NA,"No",NA
"Homo sapiens","Mammalia",0.628,3100,"Yes",97.9
"Hucho hucho","Actinopterygii",NA,NA,"No",NA
"Ictalurus punctatus","Actinopterygii",0.818,783.3,"Yes",NA
"Ictidomys tridecemlineatus","Mammalia",NA,NA,"Yes",NA
"Jaculus jaculus","Mammalia",NA,NA,"Yes",NA
"Junco hyemalis","Sauropsida",0.973,958.3,"Yes",NA
"Kryptolebias marmoratus","Actinopterygii",NA,NA,"No",NA
"Labrus bergylta","Actinopterygii",NA,NA,"No",NA
"Larimichthys crocea","Actinopterygii",0.863,657.9,"Yes",98.8
"Lates calcarifer","Actinopterygii",NA,NA,"No",NA
"Laticauda laticaudata","Sauropsida",NA,NA,"No",NA
"Latimeria chalumnae","Other",NA,NA,"No",NA
"Lepidothrix coronata","Sauropsida",NA,NA,"No",NA
"Lepisosteus oculatus","Actinopterygii",0.915,945.9,"Yes",93.6
"Leptobrachium leishanense","Other",0.96,3549,"Yes",NA
"Lonchura striata domestica","Sauropsida",NA,NA,"Yes",NA
"Loxodonta africana","Mammalia",0.666,3197,"Yes",94.7
"Lynx canadensis","Mammalia",0.474,2409,"Yes",NA
"Macaca fascicularis","Mammalia",0.509,2906,"Yes",NA
"Macaca mulatta","Mammalia",0.511,2971,"Yes",98.5
"Macaca nemestrina","Mammalia",NA,NA,"Yes",NA
"Malurus cyaneus samueli","Sauropsida",0.951,1079,"Yes",NA
"Manacus vitellinus","Sauropsida",NA,NA,"No",NA
"Mandrillus leucophaeus","Mammalia",NA,NA,"No",NA
"Marmota marmota marmota","Mammalia",NA,NA,"Yes",NA
"Mastacembelus armatus","Actinopterygii",0.485,592,"Yes",98.5
"Maylandia zebra","Actinopterygii",NA,NA,"Yes",NA
"Meleagris gallopavo","Sauropsida",0.942,1115,"Yes",91.9
"Melopsittacus undulatus","Sauropsida",0.764,1172,"Yes",97
"Meriones unguiculatus","Mammalia",NA,NA,"No",NA
"Mesocricetus auratus","Mammalia",NA,NA,"Yes",NA
"Microcebus murinus","Mammalia",0.676,2487,"Yes",96.4
"Microtus ochrogaster","Mammalia",0.806,2287,"Yes",97.7
"Mola mola","Actinopterygii",NA,NA,"Yes",NA
"Monodelphis domestica","Mammalia",0.963,3601,"Yes",90.3
"Monodon monoceros","Mammalia",0.475,2356,"Yes",97.4
"Monopterus albus","Actinopterygii",NA,NA,"No",NA
"Moschus moschiferus","Mammalia",NA,NA,"Yes",NA
"Mus caroli","Mammalia",0.703,2553,"Yes",NA
"Mus musculus","Mammalia",0.591,2728,"Yes",98.6
"Mus pahari","Mammalia",0.781,2475,"Yes",NA
"Mus spicilegus","Mammalia",NA,NA,"No",NA
"Mus spretus","Mammalia",0.713,2626,"Yes",NA
"Mustela putorius furo","Mammalia",NA,NA,"Yes",NA
"Myotis lucifugus","Mammalia",NA,NA,"Yes",NA
"Myripristis murdjan","Actinopterygii",0.395,835.3,"No",98.2
"Naja naja","Sauropsida",0.984,1769,"Yes",NA
"Nannospalax galili","Mammalia",NA,NA,"Yes",NA
"Neogobius melanostomus","Actinopterygii",NA,NA,"Yes",NA
"Neolamprologus brichardi","Actinopterygii",NA,NA,"Yes",NA
"Neovison vison","Mammalia",NA,NA,"Yes",NA
"Nomascus leucogenys","Mammalia",0.579,2962,"Yes",NA
"Notamacropus eugenii","Mammalia",NA,NA,"No",NA
"Notechis scutatus","Sauropsida",NA,NA,"Yes",NA
"Nothobranchius furzeri","Actinopterygii",0.78,1243,"Yes",94.5
"Nothoprocta perdicaria","Sauropsida",NA,NA,"No",NA
"Numida meleagris","Sauropsida",0.985,1043,"Yes",98.9
"Ochotona princeps","Mammalia",NA,NA,"No",NA
"Octodon degus","Mammalia",NA,NA,"Yes",NA
"Oncorhynchus kisutch","Actinopterygii",0.895,2376,"Yes",57.1
"Oncorhynchus mykiss","Actinopterygii",0.843,2342,"Yes",55.5
"Oncorhynchus tshawytscha","Actinopterygii",0.884,2295,"Yes",60.2
"Oreochromis aureus","Actinopterygii",0.936,1006,"Yes",97.5
"Oreochromis niloticus","Actinopterygii",0.823,1006,"Yes",99.1
"Ornithorhynchus anatinus","Mammalia",0.903,1859,"Yes",NA
"Oryctolagus cuniculus","Mammalia",0.809,2737,"Yes",91.3
"Oryzias javanicus","Actinopterygii",0.452,809.7,"Yes",NA
"Oryzias latipes","Actinopterygii",0.426,734.1,"Yes",97.7
"Oryzias melastigma","Actinopterygii",NA,NA,"Yes",NA
"Oryzias sinensis","Actinopterygii",NA,NA,"No",NA
"Otolemur garnettii","Mammalia",NA,NA,"No",NA
"Otus sunia","Sauropsida",NA,NA,"No",NA
"Ovis aries rambouillet","Mammalia",0.772,2628,"Yes",96.9
"Pan paniscus","Mammalia",0.465,3287,"Yes",94.4
"Pan troglodytes","Mammalia",0.572,3231,"Yes",89.3
"Panthera leo","Mammalia",0.608,2407,"Yes",NA
"Panthera pardus","Mammalia",NA,NA,"Yes",NA
"Panthera tigris altaica","Mammalia",NA,NA,"Yes",NA
"Papio anubis","Mammalia",0.484,2870,"Yes",95.3
"Parambassis ranga","Actinopterygii",0.793,551,"No",NA
"Paramormyrops kingsleyae","Actinopterygii",NA,NA,"No",NA
"Parus major","Sauropsida",0.978,1020,"Yes",NA
"Pavo cristatus","Sauropsida",NA,NA,"No",NA
"Pelodiscus sinensis","Sauropsida",NA,NA,"Yes",NA
"Pelusios castaneus","Sauropsida",NA,NA,"Yes",NA
"Periophthalmus magnuspinnatus","Actinopterygii",0.579,752.6,"Yes",NA
"Peromyscus maniculatus bairdii","Mammalia",0.733,2512,"Yes",NA
"Petromyzon marinus","Other",NA,NA,"No",NA
"Phascolarctos cinereus","Mammalia",NA,NA,"Yes",NA
"Phasianus colchicus","Sauropsida",NA,NA,"Yes",NA
"Phocoena sinus","Mammalia",0.47,2372,"Yes",96.9
"Physeter catodon","Mammalia",0.43,2512,"Yes",93.5
"Piliocolobus tephrosceles","Mammalia",NA,NA,"No",NA
"Podarcis muralis","Sauropsida",0.669,1511,"Yes",93.5
"Poecilia formosa","Actinopterygii",NA,NA,"No",NA
"Poecilia latipinna","Actinopterygii",NA,NA,"No",NA
"Poecilia mexicana","Actinopterygii",NA,NA,"No",NA
"Poecilia reticulata","Actinopterygii",0.633,731.6,"Yes",96.7
"Pogona vitticeps","Sauropsida",NA,NA,"Yes",NA
"Pongo abelii","Mammalia",0.404,3065,"Yes",98.3
"Procavia capensis","Mammalia",NA,NA,"No",NA
"Prolemur simus","Mammalia",NA,NA,"Yes",NA
"Propithecus coquereli","Mammalia",NA,NA,"No",NA
"Pseudonaja textilis","Sauropsida",NA,NA,"Yes",NA
"Pteropus vampyrus","Mammalia",NA,NA,"No",NA
"Pundamilia nyererei","Actinopterygii",NA,NA,"No",NA
"Pygocentrus nattereri","Actinopterygii",0.827,1222,"No",99
"Rattus norvegicus","Mammalia",0.745,2648,"Yes",98
"Rhinolophus ferrumequinum","Mammalia",0.374,2076,"Yes",NA
"Rhinopithecus bieti","Mammalia",NA,NA,"Yes",NA
"Rhinopithecus roxellana","Mammalia",NA,NA,"No",NA
"Saimiri boliviensis boliviensis","Mammalia",NA,NA,"Yes",NA
"Salarias fasciatus","Actinopterygii",0.48,797.5,"Yes",91.4
"Salmo salar","Actinopterygii",0.904,2757,"Yes",54.3
"Salmo trutta","Actinopterygii",0.804,2372,"Yes",54.3
"Salvator merianae","Sauropsida",NA,NA,"Yes",NA
"Sander lucioperca","Actinopterygii",NA,NA,"Yes",NA
"Sarcophilus harrisii","Mammalia",0.964,3087,"Yes",94.5
"Sciurus vulgaris","Mammalia",0.791,2879,"Yes",NA
"Scleropages formosus","Actinopterygii",0.87,784.5,"No",95.5
"Scophthalmus maximus","Actinopterygii",0.199,556.7,"Yes",98.5
"Serinus canaria","Sauropsida",NA,NA,"Yes",NA
"Seriola dumerili","Actinopterygii",NA,NA,"Yes",NA
"Seriola lalandi dorsalis","Actinopterygii",NA,NA,"No",NA
"Sinocyclocheilus anshuiensis","Actinopterygii",NA,NA,"No",NA
"Sinocyclocheilus grahami","Actinopterygii",NA,NA,"No",NA
"Sinocyclocheilus rhinocerous","Actinopterygii",NA,NA,"No",NA
"Sorex araneus","Mammalia",NA,NA,"No",NA
"Sparus aurata","Actinopterygii",0.416,833.6,"Yes",98.1
"Spermophilus dauricus","Mammalia",NA,NA,"No",NA
"Sphaeramia orbicularis","Actinopterygii",0.698,1343,"No",95.4
