species,rsq,assem.sz,class,order,family,clade
Ailuropoda_melanoleuca,0.597934871,2444.060653,Mammalia,Carnivora,Ursidae,Mammalia
Amphiprion_percula,0.581392633,908.939294,Actinopterygii,NA,Pomacentridae,Actinopterygii
Anabas_testudineus,0.501898089,555.641398,Actinopterygii,Anabantiformes,Anabantidae,Actinopterygii
Anas_platyrhynchos,0.960890216,1211.992756,Aves,Anseriformes,Anatidae,Sauropsida
Aquila_chrysaetos_chrysaetos,0.49450193,1203.454851,Aves,Accipitriformes,Accipitridae,Sauropsida
Astatotilapia_calliptera,0.793115494,880.428986,Actinopterygii,Cichliformes,Cichlidae,Actinopterygii
Athene_cunicularia,0.925736166,1157.06933,Aves,Strigiformes,Strigidae,Sauropsida
Balaenoptera_musculus,0.465928176,2379.995981,Mammalia,Artiodactyla,Balaenoptera,Mammalia
Betta_splendens,0.794144981,441.371523,Actinopterygii,Anabantiformes,Osphronemidae,Actinopterygii
Bos_grunniens,0.377934324,2832.776395,Mammalia,Artiodactyla,Bovidae,Mammalia
Bos_taurus,0.358570534,2711.209831,Mammalia,Artiodactyla,Bovidae,Mammalia
Cairina_moschata_domestica,0.96328227,1109.207201,Aves,Anseriformes,Anatidae,Sauropsida
Callithrix_jacchus,0.715420125,2829.711198,Mammalia,Primates,Callitrichidae,Mammalia
Camarhynchus_parvulus,0.96431031,1064.016364,Aves,Passeriformes,Thraupidae,Sauropsida
Camelus_dromedarius,0.470824766,2154.386959,Mammalia,Artiodactyla,Camelidae,Mammalia
Canis_lupus_dingo,0.731516538,2439.831507,Mammalia,Carnivora,Canidae,Mammalia
Canis_lupus_familiaris,0.685460447,2396.858295,Mammalia,Carnivora,Canidae,Mammalia
Capra_hircus,0.365096903,2922.813246,Mammalia,Artiodactyla,Bovidae,Mammalia
Catharus_ustulatus,0.914063784,1131.61643,Aves,Passeriformes,Turdidae,Sauropsida
Cervus_hanglu_yarkandensis,0.520154079,2594.114534,Mammalia,Artiodactyla,Cervidae,Mammalia
Chlorocebus_sabaeus,0.275151825,2789.656328,Mammalia,Primaes,Cercopithecidae,Mammalia
Clupea_harengus,0.734439434,786.325606,Actinopterygii,Clupeiformes,Clupeidae,Actinopterygii
Corvus_moneduloides,0.918858472,1112.734094,Aves,Passeriformes,Corvidae,Sauropsida
Cottoperca_gobio,0.667516759,609.391784,Actinopterygii,Perciformes,Bovichtidae,Actinopterygii
Coturnix_japonica,0.984127328,927.656957,Aves,Galliformes,Phasianidae,Sauropsida
Crocodylus_porosus,0.922376715,2049.536252,Reptilia,Crocodilia,Crocodylidae,Sauropsida
Cyclopterus_lumpus,0.61776849,572.885595,Actinopterygii,Scorpaeniformes,Cyclopteridae,Actinopterygii
Cynoglossus_semilaevis,0.707305499,470.199494,Actinopterygii,Pleuronectiformes,Cynoglossidae,Actinopterygii
Cyprinus_carpio_carpio,0.822292344,1460.365368,Actinopterygii,Cypriniformes,Cyprinidae,Actinopterygii
Danio_rerio,0.728288344,1373.471384,Actinopterygii,Cypriniformes,Cyprinidae,Actinopterygii
Delphinapterus_leucas,0.52538626,2362.774659,Mammalia,Artiodactyla,Monodontidae,Mammalia
Denticeps_clupeoides,0.859721831,567.401054,Actinopterygii,Clupeiformes,Denticipitidae,Actinopterygii
Dicentrarchus_labrax,0.727590545,695.892153,Actinopterygii,Moroniformes,Moronidae,Actinopterygii
Echeneis_naucrates,0.485577522,544.212633,Actinopterygii,Carangiformes,Echeneidae,Actinopterygii
Electrophorus_electricus,0.884942135,589.358956,Actinopterygii,Gymnotiformes,Gymnotidae,Actinopterygii
Equus_asinus,0.686734571,2431.907375,Mammalia,Perissodactyla,Equidae,Mammalia
Equus_caballus,0.872289738,2506.966135,Mammalia,Perissodactyla,Equidae,Mammalia
Erpetoichthys_calabaricus,0.719574662,3811.022027,Actinopterygii,Polypteriformes,Polypteridae,Actinopterygii
Esox_lucius,0.703855922,918.748614,Actinopterygii,Esociformes,Esocidae,Actinopterygii
Felis_catus,0.719726845,2521.863845,Mammalia,Carnivora,Felidae,Mammalia
Ficedula_albicollis,0.949627981,1118.343587,Aves,Passeriformes,Muscicapidae,Sauropsida
Gadus_morhua,0.57060654,669.949713,Actinopterygii,Gadiformes,Gadidae,Actinopterygii
Gallus_gallus,0.985617705,1053.332251,Aves,Galliformes,Phasianidae,Sauropsida
Gasterosteus_aculeatus,0.801617373,471.877818,Actinopterygii,Scorpaeniformes,Gasterosteidae,Actinopterygii
Gopherus_evgoodei,0.943080114,2298.547364,Reptilia,Testudines,Testudinidae,Sauropsida
Gorilla_gorilla,0.52950115,3063.362794,Mammalia,Primates,Hominidae,Mammalia
Gouania_willdenowi,0.828657886,937.150793,Actinopterygii,Gobiesociformes,Gobiesocidae,Actinopterygii
Heterocephalus_glaber,0.368531503,2500.150894,Mammalia,Rodentia,Heterocephalidae,Mammalia
