"species","rsq","assem.sz","class","order","family","clade"
"Ailuropoda_melanoleuca",0.597725010616401,2444,"Mammalia","Carnivora","Ursidae","Mammalia"
"Amphiprion_percula",0.580868044351042,909,"Actinopterygii",NA,"Pomacentridae","Actinopterygii"
"Anabas_testudineus",0.501357342971063,556,"Actinopterygii","Anabantiformes","Anabantidae","Actinopterygii"
"Anas_platyrhynchos",0.960929769887932,1212,"Aves","Anseriformes","Anatidae","Sauria"
"Aquila_chrysaetos_chrysaetos",0.494225575741265,1203,"Aves","Accipitriformes","Accipitridae","Sauria"
"Astatotilapia_calliptera",0.793000095606379,880,"Actinopterygii","Cichliformes","Cichlidae","Actinopterygii"
"Athene_cunicularia",0.925613148632526,1157,"Aves","Strigiformes","Strigidae","Sauria"
"Balaenoptera_musculus",0.46587713629592,2380,"Mammalia","Artiodactyla","Balaenoptera","Mammalia"
"Betta_splendens",0.79390622683666,441,"Actinopterygii","Anabantiformes","Osphronemidae","Actinopterygii"
"Bos_grunniens",0.377737813571678,2833,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"Bos_taurus",0.35840645577262,2711,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"Cairina_moschata_domestica",0.963314710687641,1109,"Aves","Anseriformes","Anatidae","Sauria"
"Callithrix_jacchus",0.715365784125069,2830,"Mammalia","Primates","Callitrichidae","Mammalia"
"Camarhynchus_parvulus",0.964204039871611,1064,"Aves","Passeriformes","Thraupidae","Sauria"
"Camelus_dromedarius",0.470656076980791,2154,"Mammalia","Artiodactyla","Camelidae","Mammalia"
"Canis_lupus_dingo",0.731483205395549,2440,"Mammalia","Carnivora","Canidae","Mammalia"
"Canis_lupus_familiaris",0.685296635154962,2397,"Mammalia","Carnivora","Canidae","Mammalia"
"Capra_hircus",0.364869648733151,2923,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"Catharus_ustulatus",0.913930101635514,1132,"Aves","Passeriformes","Turdidae","Sauria"
"Cervus_hanglu_yarkandensis",0.519976481606078,2594,"Mammalia","Artiodactyla","Cervidae","Mammalia"
"Chlorocebus_sabaeus",0.275034066683327,2790,"Mammalia","Primaes","Cercopithecidae","Mammalia"
"Clupea_harengus",0.734731667741583,786,"Actinopterygii","Clupeiformes","Clupeidae","Actinopterygii"
"Corvus_moneduloides",0.91870586338101,1113,"Aves","Passeriformes","Corvidae","Sauria"
"Cottoperca_gobio",0.667358871199237,609,"Actinopterygii","Perciformes","Bovichtidae","Actinopterygii"
"Coturnix_japonica",0.984139378451707,928,"Aves","Galliformes","Phasianidae","Sauria"
"Crocodylus_porosus",0.922311874980754,2050,"Reptilia","Crocodilia","Crocodylidae","Sauria"
"Cyclopterus_lumpus",0.617352183496759,573,"Actinopterygii","Scorpaeniformes","Cyclopteridae","Actinopterygii"
"Cynoglossus_semilaevis",0.707003653145966,470,"Actinopterygii","Pleuronectiformes","Cynoglossidae","Actinopterygii"
"Cyprinus_carpio_carpio",0.822353179155623,1460,"Actinopterygii","Cypriniformes","Cyprinidae","Actinopterygii"
"Danio_rerio",0.728406634481907,1373,"Actinopterygii","Cypriniformes","Cyprinidae","Actinopterygii"
"Delphinapterus_leucas",0.39620020073265,388,"Mammalia","Artiodactyla","Monodontidae","Mammalia"
"Denticeps_clupeoides",0.85955026714117,567,"Actinopterygii","Clupeiformes","Denticipitidae","Actinopterygii"
"Dicentrarchus_labrax",0.727154469211116,696,"Actinopterygii","Moroniformes","Moronidae","Actinopterygii"
