"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Monopterus albus","KV884691.1",11676166,376,3.22023513540318e-05,684127526,22708
"Monopterus albus","KV884706.1",10146043,388,3.82415095224808e-05,684127526,22708
"Monopterus albus","KV884690.1",8873700,323,3.639969798393e-05,684127526,22708
"Monopterus albus","KV884692.1",8771891,300,3.420015136987e-05,684127526,22708
"Monopterus albus","KV884694.1",7362726,348,4.72651026263914e-05,684127526,22708
"Monopterus albus","KV884719.1",7233435,172,2.37784676298329e-05,684127526,22708
"Monopterus albus","KV884739.1",7210046,154,2.13590870294031e-05,684127526,22708
"Monopterus albus","KV884728.1",6890715,166,2.40903882978762e-05,684127526,22708
"Monopterus albus","KV884729.1",6455291,156,2.41662227155987e-05,684127526,22708
"Monopterus albus","KV884700.1",6447076,227,3.52097602075732e-05,684127526,22708
"Monopterus albus","KV884689.1",6411284,208,3.24427992895027e-05,684127526,22708
"Monopterus albus","KV884704.1",6086815,179,2.94078265891111e-05,684127526,22708
"Monopterus albus","KV884722.1",6032531,237,3.92869924746346e-05,684127526,22708
"Monopterus albus","KV884695.1",5747303,269,4.68045620702441e-05,684127526,22708
"Monopterus albus","KV884738.1",5224853,127,2.43069039454316e-05,684127526,22708
"Monopterus albus","KV884717.1",5206414,195,3.74538021755473e-05,684127526,22708
"Monopterus albus","KV884726.1",4842900,181,3.73743005224143e-05,684127526,22708
"Monopterus albus","KV884757.1",4807879,194,4.03504331119814e-05,684127526,22708
"Monopterus albus","KV884701.1",4588008,220,4.79510933721127e-05,684127526,22708
"Monopterus albus","KV884740.1",4557624,184,4.0371913084537e-05,684127526,22708
"Monopterus albus","KV884753.1",4551940,103,2.26277147765568e-05,684127526,22708
"Monopterus albus","KV884727.1",4489592,208,4.63293769233374e-05,684127526,22708
"Monopterus albus","KV884784.1",4483444,76,1.69512544374369e-05,684127526,22708
"Monopterus albus","KV884705.1",4474239,81,1.81036372889334e-05,684127526,22708
