"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Anabas testudineus","2",34285027,1330,3.87924442935396e-05,555641398,26037
"Anabas testudineus","18",31080915,1467,4.71993826436577e-05,555641398,26037
"Anabas testudineus","9",28519589,1278,4.4811304959549e-05,555641398,26037
"Anabas testudineus","3",27937778,973,3.48273939323306e-05,555641398,26037
"Anabas testudineus","1",27357120,1377,5.03342457100747e-05,555641398,26037
"Anabas testudineus","5",26719370,1251,4.68199661893226e-05,555641398,26037
"Anabas testudineus","4",26090302,1100,4.21612597661767e-05,555641398,26037
"Anabas testudineus","13",25912841,1140,4.39936323462178e-05,555641398,26037
"Anabas testudineus","7",25106443,1268,5.05049640046581e-05,555641398,26037
"Anabas testudineus","6",25063394,1215,4.84770737754033e-05,555641398,26037
"Anabas testudineus","21",24496341,1040,4.2455320163938e-05,555641398,26037
"Anabas testudineus","16",24434175,1252,5.12397083183697e-05,555641398,26037
"Anabas testudineus","10",23456640,1011,4.31008021609233e-05,555641398,26037
"Anabas testudineus","17",23416631,1289,5.50463471880306e-05,555641398,26037
"Anabas testudineus","11",22362968,1090,4.87412940894071e-05,555641398,26037
"Anabas testudineus","15",21921250,867,3.95506643097451e-05,555641398,26037
"Anabas testudineus","8",21832553,1385,6.34373817848971e-05,555641398,26037
"Anabas testudineus","22",20982477,1065,5.07566385036428e-05,555641398,26037
"Anabas testudineus","24",19933469,956,4.79595398071455e-05,555641398,26037
"Anabas testudineus","14",19875000,956,4.81006289308176e-05,555641398,26037
"Anabas testudineus","12",19394341,935,4.82099391776189e-05,555641398,26037
"Anabas testudineus","19",18693732,1056,5.64895227983369e-05,555641398,26037
"Anabas testudineus","23",15359112,623,4.05622408378818e-05,555641398,26037
"Anabas testudineus","OOHO03000013.1",180166,12,6.66052418325322e-05,555641398,26037
"Anabas testudineus","OOHO03000011.1",79734,9,0.000112875310407104,555641398,26037
"Anabas testudineus","OOHO03000023.1",76425,8,0.000104677788681714,555641398,26037
"Anabas testudineus","OOHO03000027.1",72881,3,4.11629917262387e-05,555641398,26037
"Anabas testudineus","OOHO03000012.1",68151,6,8.80397939868821e-05,555641398,26037
"Anabas testudineus","OOHO03000022.1",67391,6,8.90326601474975e-05,555641398,26037
"Anabas testudineus","OOHO03000021.1",66098,2,3.02581016067052e-05,555641398,26037
"Anabas testudineus","OOHO03000020.1",49691,3,6.03731057938057e-05,555641398,26037
"Anabas testudineus","OOHO03000001.1",48454,3,6.1914393032567e-05,555641398,26037
"Anabas testudineus","OOHO03000002.1",46238,2,4.32544660236169e-05,555641398,26037
"Anabas testudineus","OOHO03000003.1",42183,39,0.000924543062371097,555641398,26037
"Anabas testudineus","OOHO03000004.1",35848,3,8.36866770810087e-05,555641398,26037
"Anabas testudineus","OOHO03000008.1",30595,2,6.53701585226344e-05,555641398,26037
