species,contigName,contigSize.bp,contigGeneCount,contigGeneDens.genesPerBp,asmblySize.bp,asmblyGeneCount
Tupaia belangeri,GeneScaffold_5603,2509283,2,7.97040429477265e-07,3670324638,20857
Tupaia belangeri,GeneScaffold_1490,2232731,10,4.47881988470622e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4225,2210053,2,9.04955673008747e-07,3670324638,20857
Tupaia belangeri,GeneScaffold_1207,2192427,10,4.56115528590006e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3551,2152088,4,1.8586600547933e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_5826,1936110,9,4.64849621147559e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_878,1743885,4,2.2937292309986e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4956,1742293,5,2.86978137431534e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_2507,1640114,9,5.48742343520024e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4923,1616367,7,4.3306996492752e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_843,1605291,8,4.9835201218969e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_625,1604011,7,4.36405984746987e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3536,1592600,16,1.00464649001633e-05,3670324638,20857
Tupaia belangeri,GeneScaffold_2539,1578983,3,1.8999571243009e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_5450,1558265,5,3.20869685194752e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1925,1501902,3,1.99746721157572e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4508,1482344,4,2.69842897465096e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1380,1464661,13,8.87577398456025e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_671,1446182,4,2.76590359996183e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4575,1434537,3,2.09126707780977e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_2596,1417023,3,2.11711454224808e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1747,1388657,7,5.0408416189167e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3985,1382515,2,1.44663891531014e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1587,1365807,6,4.39300721112134e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_5541,1348349,10,7.41647748468683e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_6075,1335406,7,5.24185154177831e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3504,1307597,10,7.64761619979244e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_713,1305752,6,4.59505327198427e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_6057,1302720,5,3.83812331122574e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1468,1302594,7,5.37389240239092e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4147,1289845,10,7.7528695308351e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_434,1281115,4,3.12228020123096e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4281,1279650,12,9.37756417770484e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4975,1277197,5,3.9148228503512e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_5821,1276119,3,2.35087793536496e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_2417,1265266,3,2.37104292694184e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1595,1258373,3,2.38403080803546e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3758,1252438,12,9.58131260788957e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4973,1244659,3,2.41029872438957e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_395,1242711,3,2.41407696560182e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_5081,1240771,3,2.41785148105493e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3235,1225113,2,1.63250247120062e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1363,1222085,4,3.2730947520017e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_6034,1219232,6,4.9211306789848e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_2983,1212623,6,4.94795167170671e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_123,1212047,2,1.65010102743541e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_739,1211873,10,8.25168973976646e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_616,1209948,17,1.40501905867029e-05,3670324638,20857
Tupaia belangeri,GeneScaffold_4345,1209462,2,1.65362781137398e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_2416,1206353,7,5.80261333125545e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3481,1190930,5,4.19839957008388e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_1594,1183745,5,4.22388267743475e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_6045,1183581,10,8.44893589876823e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3432,1183244,5,4.22567112108745e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_4036,1179336,2,1.69586954014802e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_2959,1170196,7,5.98190388618659e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_5410,1163529,2,1.71890859617594e-06,3670324638,20857
Tupaia belangeri,GeneScaffold_3932,1152594,5,4.33804097539984e-06,3670324638,20857
