"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Parus major","2",150265477,1839,1.22383400147194e-05,1020293992,20006
"Parus major","1",114059860,1577,1.38260734319681e-05,1020293992,20006
"Parus major","3",111636321,1584,1.41889305004954e-05,1020293992,20006
"Parus major","Z",74514349,1006,1.35007554048416e-05,1020293992,20006
"Parus major","1A",71365269,1086,1.52174862537126e-05,1020293992,20006
"Parus major","4",68030631,1002,1.47286595063333e-05,1020293992,20006
"Parus major","5",61875929,1174,1.89734525036384e-05,1020293992,20006
"Parus major","7",37653027,674,1.79002872730524e-05,1020293992,20006
"Parus major","6",34342011,654,1.90437304326762e-05,1020293992,20006
"Parus major","8",31324166,633,2.02080400161332e-05,1020293992,20006
"Parus major","9",25106277,569,2.2663654989547e-05,1020293992,20006
"Parus major","12",20466350,424,2.07169329167145e-05,1020293992,20006
"Parus major","11",20315886,461,2.26916020300567e-05,1020293992,20006
"Parus major","10",20202851,523,2.58874353921632e-05,1020293992,20006
"Parus major","4A",19934923,444,2.22724712806766e-05,1020293992,20006
"Parus major","13",16480340,403,2.44533789958217e-05,1020293992,20006
"Parus major","14",16193477,477,2.94563051529946e-05,1020293992,20006
"Parus major","20",14661763,414,2.82367134157059e-05,1020293992,20006
"Parus major","15",13820886,438,3.16911665431579e-05,1020293992,20006
"Parus major","18",11572643,360,3.11078463234371e-05,1020293992,20006
"Parus major","17",10486032,332,3.16611660158962e-05,1020293992,20006
"Parus major","19",9871655,378,3.82914516360225e-05,1020293992,20006
"Parus major","21",7693166,294,3.82157358881896e-05,1020293992,20006
"Parus major","24",6808513,211,3.09906142501307e-05,1020293992,20006
"Parus major","23",6655392,304,4.56772493641246e-05,1020293992,20006
"Parus major","26",6596997,309,4.68394937878553e-05,1020293992,20006
"Parus major","28",5101010,296,5.80277239213411e-05,1020293992,20006
"Parus major","27",4327975,234,5.40668557466252e-05,1020293992,20006
"Parus major","22",4276343,198,4.63012438431623e-05,1020293992,20006
"Parus major","KQ954623.1",2566323,19,7.40358871428109e-06,1020293992,20006
"Parus major","25LG1",1092960,86,7.86854047723613e-05,1020293992,20006
"Parus major","KQ954624.1",861987,19,2.20420957624651e-05,1020293992,20006
"Parus major","25LG2",809223,93,0.000114925057740573,1020293992,20006
"Parus major","LGE22",773534,49,6.3345631866214e-05,1020293992,20006
"Parus major","KQ954625.1",657964,62,9.42300794572347e-05,1020293992,20006
"Parus major","KQ954626.1",489712,18,3.67562975789852e-05,1020293992,20006
"Parus major","KQ954627.1",441427,3,6.7961406982355e-06,1020293992,20006
"Parus major","KQ954628.1",422071,21,4.97546621303051e-05,1020293992,20006
"Parus major","KQ954629.1",378167,25,6.61083595342798e-05,1020293992,20006
"Parus major","KQ954630.1",362917,20,5.5109019417663e-05,1020293992,20006
"Parus major","KQ954632.1",263591,4,1.51750249439473e-05,1020293992,20006
"Parus major","KQ954633.1",257311,20,7.77269529868525e-05,1020293992,20006
"Parus major","KQ954634.1",230853,21,9.09669789866279e-05,1020293992,20006
"Parus major","KQ954636.1",210744,16,7.59214971719242e-05,1020293992,20006
"Parus major","KQ954635.1",201175,3,1.49123897104511e-05,1020293992,20006
"Parus major","KQ954637.1",185635,4,2.15476607320818e-05,1020293992,20006
"Parus major","KQ954640.1",183820,13,7.07213578500707e-05,1020293992,20006
"Parus major","KQ954644.1",180093,12,6.66322400093285e-05,1020293992,20006
"Parus major","KQ954639.1",178978,8,4.46982310675055e-05,1020293992,20006
"Parus major","KQ954641.1",171232,8,4.67202392076248e-05,1020293992,20006
"Parus major","KQ954646.1",150607,13,8.63173690465915e-05,1020293992,20006
"Parus major","KQ954642.1",147986,3,2.02721879096671e-05,1020293992,20006
"Parus major","KQ954645.1",138454,21,0.000151674924523669,1020293992,20006
"Parus major","KQ954643.1",134206,3,2.23536950657944e-05,1020293992,20006
"Parus major","KQ954652.1",133682,7,5.23630705704583e-05,1020293992,20006
"Parus major","KQ954651.1",132963,3,2.25626678098418e-05,1020293992,20006
"Parus major","KQ954648.1",119800,17,0.000141903171953255,1020293992,20006
"Parus major","KQ954650.1",117055,13,0.000111058903934048,1020293992,20006
"Parus major","KQ954653.1",116023,5,4.30949035967007e-05,1020293992,20006
"Parus major","KQ954656.1",114924,2,1.74028053322196e-05,1020293992,20006
"Parus major","KQ954662.1",114463,10,8.73644758568271e-05,1020293992,20006
"Parus major","KQ954649.1",114330,2,1.74932213767165e-05,1020293992,20006
"Parus major","KQ954660.1",107729,8,7.42604127022436e-05,1020293992,20006
"Parus major","KQ954657.1",103988,9,8.65484478978344e-05,1020293992,20006
"Parus major","KQ954654.1",97637,5,5.12100945338345e-05,1020293992,20006
"Parus major","KQ954655.1",97421,6,6.15883639051129e-05,1020293992,20006
"Parus major","KQ954677.1",94880,5,5.26981450252951e-05,1020293992,20006
"Parus major","KQ954664.1",93770,3,3.19931747893783e-05,1020293992,20006
"Parus major","KQ954670.1",93058,6,6.44759182445357e-05,1020293992,20006
"Parus major","KQ954659.1",89498,7,7.82140383025319e-05,1020293992,20006
"Parus major","JRXK01020407.1",88378,2,2.26300663060943e-05,1020293992,20006
"Parus major","KQ954658.1",87202,2,2.29352537785831e-05,1020293992,20006
"Parus major","KQ954663.1",83268,3,3.60282461449777e-05,1020293992,20006
"Parus major","KQ954666.1",81246,2,2.46165965093666e-05,1020293992,20006
