"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Strigops habroptila","1",172115758,1801,1.04638879143187e-05,1165621973,20192
"Strigops habroptila","2",104142482,1219,1.17051176099298e-05,1165621973,20192
"Strigops habroptila","3",101254409,1441,1.42314790460137e-05,1165621973,20192
"Strigops habroptila","4",88151028,1280,1.45205340089738e-05,1165621973,20192
"Strigops habroptila","5",86460390,1713,1.98125407484283e-05,1165621973,20192
"Strigops habroptila","6",83147210,1355,1.62963976782865e-05,1165621973,20192
"Strigops habroptila","7",76401667,936,1.2251041590493e-05,1165621973,20192
"Strigops habroptila","8",69915743,898,1.2844031422222e-05,1165621973,20192
"Strigops habroptila","9",63755163,1252,1.96376252696586e-05,1165621973,20192
"Strigops habroptila","10",43987489,938,2.13242451734401e-05,1165621973,20192
"Strigops habroptila","11",43764472,627,1.43266894662867e-05,1165621973,20192
"Strigops habroptila","12",39187110,887,2.26349940069579e-05,1165621973,20192
"Strigops habroptila","13",35700789,317,8.87935557950834e-06,1165621973,20192
"Strigops habroptila","15",27433492,740,2.6974327584691e-05,1165621973,20192
"Strigops habroptila","RXXE01000004.1",18881121,258,1.36644429109903e-05,1165621973,20192
"Strigops habroptila","14",16476160,435,2.64017829397141e-05,1165621973,20192
"Strigops habroptila","17",12884122,377,2.92608219636542e-05,1165621973,20192
"Strigops habroptila","18",12307978,361,2.93305691641633e-05,1165621973,20192
"Strigops habroptila","RXXE01000055.1",11483721,377,3.28290803999853e-05,1165621973,20192
"Strigops habroptila","19",8419051,292,3.46832439903262e-05,1165621973,20192
"Strigops habroptila","16",7441144,206,2.76839152689425e-05,1165621973,20192
"Strigops habroptila","RXXE01000009.1",6734548,307,4.55858359016819e-05,1165621973,20192
"Strigops habroptila","20",5789228,321,5.54478075487785e-05,1165621973,20192
"Strigops habroptila","21",5645757,324,5.73882297803466e-05,1165621973,20192
